Time	Channel1	Channel2	Channel3
4.272272524E+4	-9.920044E-1	1.423436E-1	-1.031450E-3
4.272282328E+4	-9.910312E-1	1.423436E-1	1.563573E-3
4.272292425E+4	-9.900581E-1	1.416949E-1	4.158596E-3
4.272302351E+4	-9.894093E-1	1.423436E-1	6.753619E-3
4.272312440E+4	-9.887606E-1	1.423436E-1	9.348643E-3
4.272322339E+4	-9.887606E-1	1.423436E-1	1.161929E-2
4.272332312E+4	-9.881118E-1	1.423436E-1	1.421431E-2
4.272342341E+4	-9.868143E-1	1.420192E-1	1.680933E-2
4.272352312E+4	-9.861656E-1	1.423436E-1	1.940436E-2
4.272362543E+4	-9.855168E-1	1.420192E-1	2.167500E-2
4.272372327E+4	-9.848681E-1	1.423436E-1	2.427003E-2
4.272382507E+4	-9.838949E-1	1.420192E-1	2.654067E-2
4.272392427E+4	-9.835706E-1	1.423436E-1	2.913570E-2
4.272402430E+4	-9.832462E-1	1.416949E-1	3.205510E-2
4.272412424E+4	-9.822730E-1	1.423436E-1	3.367699E-2
4.272422312E+4	-9.819487E-1	1.420192E-1	3.659639E-2
4.272432412E+4	-9.816243E-1	1.426680E-1	3.854266E-2
4.272442346E+4	-9.809755E-1	1.423436E-1	4.081330E-2
4.272452314E+4	-9.809755E-1	1.423436E-1	4.308395E-2
4.272462439E+4	-9.806512E-1	1.426680E-1	4.503022E-2
4.272472430E+4	-9.790293E-1	1.426680E-1	4.730086E-2
4.272482551E+4	-9.787049E-1	1.423436E-1	4.924713E-2
4.272492551E+4	-9.777318E-1	1.420192E-1	5.151778E-2
4.272502320E+4	-9.770830E-1	1.420192E-1	5.313966E-2
4.272512410E+4	-9.764343E-1	1.423436E-1	5.541031E-2
4.272522405E+4	-9.761099E-1	1.423436E-1	5.735658E-2
4.272532383E+4	-9.754611E-1	1.423436E-1	5.897847E-2
4.272542450E+4	-9.754611E-1	1.420192E-1	6.060036E-2
4.272552408E+4	-9.751368E-1	1.423436E-1	6.222225E-2
4.272562500E+4	-9.744880E-1	1.426680E-1	6.384414E-2
4.272572443E+4	-9.738392E-1	1.420192E-1	6.579041E-2
4.272582424E+4	-9.735149E-1	1.420192E-1	6.708792E-2
4.272592491E+4	-9.738392E-1	1.423436E-1	6.870981E-2
4.272602520E+4	-9.731905E-1	1.420192E-1	7.033170E-2
4.272612524E+4	-9.731905E-1	1.423436E-1	7.130483E-2
4.272622523E+4	-9.722174E-1	1.423436E-1	7.260234E-2
4.272632522E+4	-9.715686E-1	1.423436E-1	7.357548E-2
4.272642553E+4	-9.722174E-1	1.423436E-1	7.487299E-2
4.272652503E+4	-9.712442E-1	1.420192E-1	7.552175E-2
4.272662951E+4	-9.709199E-1	1.420192E-1	7.681926E-2
4.272672494E+4	-9.712442E-1	1.423436E-1	7.779239E-2
4.272682524E+4	-9.712442E-1	1.423436E-1	7.811677E-2
4.272692356E+4	-9.705955E-1	1.423436E-1	7.908990E-2
4.272702342E+4	-9.705955E-1	1.423436E-1	7.941428E-2
4.272712424E+4	-9.702711E-1	1.423436E-1	8.038742E-2
4.272722439E+4	-9.696223E-1	1.423436E-1	8.071179E-2
4.272732414E+4	-9.696223E-1	1.420192E-1	8.103617E-2
4.272742537E+4	-9.696223E-1	1.423436E-1	8.136055E-2
4.272752547E+4	-9.692980E-1	1.423436E-1	8.233368E-2
