Time	Channel1	Channel2	Channel3
4.681031837E+6	-1.771806E+0	6.600515E-1	-1.954429E+0
4.681031939E+6	-1.769535E+0	6.607003E-1	-1.805865E+0
4.681032038E+6	-1.768562E+0	6.613490E-1	-1.652435E+0
4.681032137E+6	-1.767589E+0	6.607003E-1	-1.499329E+0
4.681032238E+6	-1.765318E+0	6.600515E-1	-1.343953E+0
4.681032338E+6	-1.764021E+0	6.600515E-1	-1.187604E+0
4.681032437E+6	-1.765967E+0	6.597271E-1	-1.029632E+0
4.681032538E+6	-1.766616E+0	6.590784E-1	-8.710118E-1
4.681032637E+6	-1.764021E+0	6.587540E-1	-7.114182E-1
4.681032739E+6	-1.764669E+0	6.590784E-1	-5.521490E-1
4.681032839E+6	-1.764021E+0	6.590784E-1	-3.909334E-1
4.681032938E+6	-1.763696E+0	6.590784E-1	-2.293934E-1
4.681033039E+6	-1.764994E+0	6.600515E-1	-6.915080E-2
4.681033138E+6	-1.766291E+0	6.600515E-1	9.141627E-2
4.681033237E+6	-1.763696E+0	6.603759E-1	2.523078E-1
4.681033339E+6	-1.764669E+0	6.600515E-1	4.135238E-1
4.681033438E+6	-1.764021E+0	6.607003E-1	5.744155E-1
4.681033538E+6	-1.759804E+0	6.607003E-1	7.336855E-1
4.681033639E+6	-1.759155E+0	6.603759E-1	8.932799E-1
4.681033738E+6	-1.761101E+0	6.603759E-1	1.051577E+0
4.681033837E+6	-1.758831E+0	6.603759E-1	1.208901E+0
4.681033938E+6	-1.755262E+0	6.597271E-1	1.365252E+0
4.681034039E+6	-1.753965E+0	6.594027E-1	1.519981E+0
4.681034139E+6	-1.753965E+0	6.597271E-1	1.673088E+0
4.681034237E+6	-1.754938E+0	6.600515E-1	1.824898E+0
4.681034338E+6	-1.756235E+0	6.600515E-1	1.973789E+0
4.681034437E+6	-1.756884E+0	6.600515E-1	2.122030E+0
4.681034538E+6	-1.754614E+0	6.597271E-1	2.267677E+0
4.681034637E+6	-1.753640E+0	6.603759E-1	2.411703E+0
4.681034738E+6	-1.751045E+0	6.610246E-1	2.552808E+0
4.681034837E+6	-1.750721E+0	6.607003E-1	2.691968E+0
4.681034938E+6	-1.751694E+0	6.607003E-1	2.828208E+0
4.681035038E+6	-1.752667E+0	6.607003E-1	2.960880E+0
4.681035137E+6	-1.751370E+0	6.613490E-1	3.091282E+0
4.681035238E+6	-1.749099E+0	6.610246E-1	3.217791E+0
