Time,Channel1,Channel2,Channel3
4679947.039,-1.785754,0.6564833,-4.852721
4679947.137,-1.786402,0.656159,-4.902999
4679947.239,-1.788024,0.6564833,-4.948088
4679947.337,-1.788349,0.656159,-4.98831
4679947.437,-1.790295,0.6564833,-5.023667
4679947.538,-1.789646,0.6564833,-5.054482
4679947.638,-1.789646,0.6571321,-5.079784
4679947.737,-1.791917,0.6568077,-5.099895
4679947.838,-1.792241,0.6568077,-5.115465
4679947.938,-1.790619,0.656159,-5.126169
4679948.038,-1.790295,0.6564833,-5.131035
4679948.137,-1.7877,0.6564833,-5.131359
4679948.24,-1.7877,0.6564833,-5.126493
4679948.338,-1.788349,0.6564833,-5.116762
4679948.437,-1.789646,0.656159,-5.101841
4679948.538,-1.789322,0.6568077,-5.082054
4679948.638,-1.788349,0.6564833,-5.056753
4679948.739,-1.787051,0.6564833,-5.026911
4679948.838,-1.786402,0.6564833,-4.992202
4679948.938,-1.785429,0.6571321,-4.95198
4679949.039,-1.788997,0.6568077,-4.907216
4679949.138,-1.789322,0.6564833,-4.857587
4679949.237,-1.788349,0.656159,-4.803092
4679949.338,-1.786727,0.6568077,-4.743732
4679949.439,-1.785754,0.6568077,-4.680154
4679949.538,-1.786078,0.6568077,-4.611387
4679949.638,-1.787051,0.656159,-4.538402
4679949.738,-1.788024,0.656159,-4.461201
4679949.837,-1.787376,0.6558346,-4.379135
4679949.939,-1.7877,0.6564833,-4.292526
4679950.039,-1.787376,0.656159,-4.20235
4679950.137,-1.791592,0.6568077,-4.107957
4679950.238,-1.790619,0.656159,-4.009023
4679950.337,-1.789971,0.656159,-3.906196
4679950.438,-1.791592,0.6568077,-3.800126
4679950.538,-1.789971,0.6568077,-3.689514
4679950.637,-1.790944,0.6564833,-3.575334
4679950.738,-1.791917,0.6564833,-3.45791
4679950.838,-1.789971,0.656159,-3.336918
4679950.938,-1.788997,0.6564833,-3.213007
4679951.038,-1.789646,0.6568077,-3.085852
4679951.138,-1.789322,0.6568077,-2.954804
4679951.237,-1.788024,0.6568077,-2.82181
4679951.337,-1.788024,0.6574565,-2.684924
4679951.438,-1.789322,0.6574565,-2.546091
4679951.538,-1.7877,0.6571321,-2.405312
4679951.638,-1.785105,0.6568077,-2.260965
4679951.738,-1.785754,0.6568077,-2.114671
4679951.838,-1.785429,0.6571321,-1.96708
4679951.939,-1.785754,0.6571321,-1.817218
4679952.04,-1.785754,0.6574565,-1.665086
4679952.138,-1.785105,0.6571321,-1.511007
4679952.238,-1.783159,0.6564833,-1.355631
4679952.338,-1.783483,0.6558346,-1.19993
4679952.438,-1.784781,0.656159,-1.041634
4679952.538,-1.783807,0.6564833,-0.8836625
4679952.64,-1.785105,0.6564833,-0.7243933
4679952.739,-1.782834,0.6564833,-0.5647997
4679952.837,-1.780239,0.656159,-0.4039085
4679952.938,-1.780239,0.6564833,-0.2430173
4679953.038,-1.779915,0.6564833,-0.08212592
4679953.14,-1.778942,0.6564833,0.07844115
4679953.237,-1.779591,0.656159,0.2396571
4679953.339,-1.779915,0.6564833,0.4005487
4679953.438,-1.777644,0.6564833,0.5614404
4679953.538,-1.776671,0.6558346,0.7210347
4679953.638,-1.776347,0.6551858,0.8806291
4679953.74,-1.776347,0.6551858,1.038277
4679953.838,-1.776996,0.6558346,1.195926
4679953.938,-1.775374,0.6564833,1.353574
4679954.038,-1.774401,0.6564833,1.508303
4679954.139,-1.773752,0.656159,1.661086
4679954.239,-1.774401,0.6568077,1.812247
4679954.338,-1.775374,0.656159,1.962111
4679954.438,-1.775049,0.6564833,2.109704
4679954.538,-1.773752,0.6568077,2.255675
4679954.638,-1.772779,0.6571321,2.399376
4679954.738,-1.773427,0.6571321,2.541455
4679954.838,-1.772454,0.6571321,2.679966
4679954.938,-1.773103,0.6564833,2.816206
4679955.037,-1.772454,0.656159,2.949203
4679955.138,-1.773103,0.6564833,3.080253
4679955.238,-1.773427,0.6568077,3.207735
4679955.338,-1.774401,0.6568077,3.332623
4679955.439,-1.774076,0.656159,3.453293
4679955.54,-1.774401,0.6564833,3.570719
4679955.638,-1.774725,0.6564833,3.685227
4679955.738,-1.77732,0.6568077,3.795841
4679955.838,-1.775374,0.6568077,3.901915
4679955.938,-1.775049,0.6564833,4.005069
4679956.038,-1.77213,0.6564833,4.104006
4679956.139,-1.771157,0.6564833,4.198726
4679956.238,-1.771157,0.6564833,4.289878
4679956.339,-1.772454,0.6555102,4.376489
4679956.438,-1.771806,0.6558346,4.458882
4679956.538,-1.771157,0.6555102,4.53641
4679956.638,-1.770184,0.656159,4.609721
4679956.739,-1.770832,0.656159,4.678166
4679956.837,-1.770184,0.6568077,4.741746
4679956.939,-1.771481,0.6571321,4.801757
4679957.037,-1.771481,0.6574565,4.856578
4679957.138,-1.770184,0.6571321,4.907182
4679957.238,-1.771481,0.6564833,4.952272
4679957.338,-1.770832,0.6571321,4.992496
4679957.437,-1.77213,0.6571321,5.027854
4679957.538,-1.773103,0.6568077,5.057373
4679957.637,-1.774076,0.6564833,5.083648
4679957.739,-1.775698,0.6558346,5.103435
4679957.838,-1.774076,0.656159,5.119655
4679957.939,-1.772454,0.6568077,5.130035
4679958.038,-1.772779,0.6564833,5.135874
4679958.138,-1.771481,0.6564833,5.136847
4679958.239,-1.771481,0.6564833,5.131008
4679958.339,-1.773103,0.6571321,5.121925
4679958.438,-1.772779,0.6571321,5.106355
4679958.538,-1.769859,0.6574565,5.086243
4679958.638,-1.767589,0.6568077,5.061914
4679958.738,-1.769535,0.6568077,5.031746
4679958.838,-1.770184,0.6558346,4.997361
4679958.938,-1.770184,0.6555102,4.957462
4679959.038,-1.769211,0.6551858,4.912048
4679959.137,-1.771157,0.6555102,4.862093
4679959.238,-1.771806,0.6558346,4.807596
4679959.339,-1.77213,0.656159,4.748233
4679959.437,-1.77213,0.656159,4.68433
4679959.538,-1.772779,0.6564833,4.616533
4679959.637,-1.773752,0.656159,4.543222
4679959.738,-1.774076,0.6558346,4.465694
4679959.838,-1.772454,0.6558346,4.383625
4679959.937,-1.771806,0.656159,4.297339
4679960.039,-1.770832,0.6564833,4.206836
4679960.138,-1.769859,0.6568077,4.11244
4679960.238,-1.770184,0.6568077,4.013827
4679960.338,-1.771806,0.6571321,3.910998
4679960.439,-1.769535,0.6571321,3.804275
4679960.537,-1.770184,0.6577808,3.693661
4679960.638,-1.769211,0.6574565,3.579478
4679960.738,-1.769535,0.6568077,3.461402
4679960.84,-1.768886,0.6571321,3.341381
4679960.938,-1.771157,0.6571321,3.216494
4679961.038,-1.772454,0.656159,3.08966
4679961.138,-1.772779,0.6564833,2.959907
4679961.237,-1.773427,0.656159,2.825938
4679961.338,-1.773427,0.6568077,2.689049
4679961.438,-1.771481,0.6568077,2.550213
4679961.538,-1.774725,0.656159,2.408459
4679961.638,-1.775049,0.6564833,2.264109
4679961.742,-1.773752,0.656159,2.119111
4679961.838,-1.775698,0.6558346,1.971194
4679961.937,-1.775374,0.6564833,1.820032
4679962.038,-1.773752,0.6568077,1.668222
4679962.138,-1.773752,0.6564833,1.514791
4679962.237,-1.776996,0.6571321,1.359737
4679962.338,-1.77732,0.6574565,1.202738
4679962.438,-1.775049,0.6574565,1.045414
4679962.54,-1.776022,0.6577808,0.8867923
4679962.638,-1.775698,0.6574565,0.7271979
4679962.738,-1.775374,0.6574565,0.5666305
4679962.838,-1.776022,0.6568077,0.4067119
4679962.938,-1.776671,0.6571321,0.2448471
4679963.039,-1.776347,0.6571321,0.08460433
4679963.138,-1.776671,0.6568077,-0.07628711
4679963.238,-1.774725,0.6574565,-0.2365297
4679963.339,-1.776671,0.6571321,-0.3977454
4679963.438,-1.778293,0.6568077,-0.5579878
4679963.538,-1.780888,0.6568077,-0.7179058
4679963.637,-1.781537,0.6571321,-0.8771749
4679963.739,-1.780239,0.6568077,-1.035471
4679963.838,-1.780239,0.656159,-1.193118
4679963.938,-1.778942,0.6568077,-1.349143
4679964.038,-1.780239,0.6568077,-1.503871
4679964.138,-1.781861,0.6564833,-1.657625
4679964.238,-1.783483,0.6568077,-1.811379
4679964.34,-1.782186,0.6571321,-1.959295
4679964.438,-1.784456,0.6568077,-2.106886
4679964.537,-1.785105,0.6564833,-2.252206
4679964.637,-1.786402,0.6564833,-2.396554
4679964.738,-1.785105,0.6564833,-2.537657
4679964.838,-1.785429,0.6564833,-2.67649
4679964.938,-1.787051,0.6568077,-2.813376
4679965.039,-1.7877,0.6571321,-2.946046
4679965.138,-1.787376,0.6571321,-3.076445
4679965.238,-1.787051,0.6568077,-3.204573
4679965.337,-1.788673,0.6574565,-3.328484
4679965.437,-1.788349,0.6577808,-3.449476
4679965.539,-1.787376,0.6574565,-3.5669
4679965.637,-1.788997,0.6571321,-3.680756
4679965.739,-1.788349,0.6571321,-3.791367
4679965.838,-1.788024,0.6574565,-3.898411
4679965.939,-1.788673,0.6577808,-4.000589
4679966.038,-1.788349,0.6574565,-4.099848
4679966.137,-1.788024,0.6574565,-4.194565
4679966.238,-1.789646,0.6564833,-4.28539
4679966.338,-1.788997,0.6564833,-4.371998
4679966.438,-1.788349,0.6564833,-4.454065
4679966.538,-1.785754,0.6564833,-4.531266
4679966.638,-1.786727,0.6564833,-4.605872
4679966.739,-1.788024,0.6568077,-4.673667
4679966.838,-1.788673,0.6571321,-4.737893
4679966.938,-1.790944,0.6568077,-4.798226
4679967.038,-1.793539,0.6568077,-4.853046
4679967.139,-1.794188,0.6571321,-4.902675
4679967.237,-1.792241,0.6564833,-4.948088
4679967.338,-1.791917,0.6571321,-4.988634
4679967.438,-1.790619,0.6568077,-5.023667
4679967.538,-1.791917,0.6574565,-5.054158
4679967.638,-1.795485,0.6574565,-5.079784
4679967.739,-1.794188,0.6568077,-5.099895
4679967.838,-1.795809,0.6568077,-5.115465
4679967.938,-1.798729,0.6568077,-5.125845
4679968.037,-1.798404,0.6571321,-5.131035
4679968.138,-1.796783,0.6571321,-5.131359
4679968.237,-1.797107,0.6564833,-5.126818
4679968.338,-1.797431,0.6571321,-5.116438
4679968.439,-1.798404,0.6568077,-5.101841
4679968.538,-1.796783,0.656159,-5.082054
4679968.638,-1.795809,0.6568077,-5.056753
4679968.738,-1.79289,0.6571321,-5.026911
4679968.838,-1.794512,0.6568077,-4.992202
4679968.938,-1.796134,0.656159,-4.952304
4679969.037,-1.796134,0.656159,-4.907216
4679969.138,-1.794836,0.6558346,-4.857263
4679969.239,-1.793539,0.656159,-4.802768
4679969.34,-1.791917,0.6568077,-4.744056
4679969.438,-1.790944,0.6571321,-4.679505
4679969.537,-1.791917,0.6571321,-4.611387
4679969.638,-1.789322,0.6568077,-4.538727
4679969.738,-1.7877,0.6568077,-4.460877
4679969.838,-1.788673,0.6568077,-4.37881
4679969.939,-1.789971,0.656159,-4.292851
4679970.038,-1.791268,0.6571321,-4.202026
4679970.139,-1.793214,0.6568077,-4.107633
4679970.237,-1.793539,0.6568077,-4.009023
4679970.338,-1.789971,0.6568077,-3.905872
4679970.439,-1.789971,0.6568077,-3.799477
4679970.537,-1.788024,0.6571321,-3.688865
4679970.638,-1.7877,0.6574565,-3.575009
4679970.737,-1.788673,0.6571321,-3.45791
4679970.837,-1.790619,0.6568077,-3.336918
4679970.938,-1.788024,0.6571321,-3.213007
4679971.038,-1.787051,0.6564833,-3.085203
