Time,Channel1,Channel2,Channel3
4734228.44,-1.336817,0.7479581,-0.08147716
4734228.54,-1.331627,0.7479581,0.07876553
4734228.641,-1.336168,0.74958,0.2399814
4734228.739,-1.336817,0.74958,0.4015218
4734228.84,-1.335844,0.74958,0.5620892
4734228.939,-1.340061,0.7492556,0.7216835
4734229.039,-1.342007,0.7489313,0.8809535
4734229.139,-1.341034,0.7479581,1.038926
4734229.239,-1.341682,0.7476338,0.7022207
4734229.339,-1.342656,0.7473094,0.2922063
4734229.438,-1.336168,0.7479581,0.1235297
4734229.539,-1.339087,0.7479581,0.05151778
4734229.639,-1.342007,0.7476338,0.02070187
4734229.739,-1.335195,0.7479581,0.007726753
4734229.839,-1.338439,0.7482825,0.001239195
4734229.939,-1.331951,0.7479581,-0.002004584
4734230.039,-1.332276,0.7479581,-0.002977718
4734230.139,-1.333249,0.7479581,-0.003626474
4734230.238,-1.344277,0.7479581,-0.004599607
4734230.338,-1.334222,0.7482825,-0.004275229
4734230.439,-1.324166,0.7476338,-0.003950852
4734230.538,-1.334546,0.7466606,-0.003950852
4734230.639,-1.334871,0.7463362,-0.004599607
4734230.738,-1.324491,0.7460119,-0.004275229
4734230.839,-1.339736,0.7456875,-0.004599607
4734230.939,-1.345899,0.7460119,-0.004275229
4734231.039,-1.337141,0.7456875,-0.004275229
4734231.139,-1.326112,0.7463362,-0.003626474
4734231.239,-1.321895,0.746985,-0.003626474
4734231.338,-1.358226,0.7479581,-0.004275229
4734231.439,-1.354009,0.7499044,-0.004275229
4734231.538,-1.370228,0.7505532,-0.004275229
4734231.638,-1.376391,0.7515263,-0.003950852
4734231.738,-1.356604,0.7518507,-0.003302096
4734231.84,-1.376066,0.7531482,-0.003626474
4734231.94,-1.378337,0.7537969,-0.003950852
4734232.039,-1.366659,0.7541213,-0.003626474
4734232.14,-1.376715,0.7541213,-0.003626474
4734232.238,-1.382878,0.7544457,-0.003302096
4734232.339,-1.366011,0.7541213,-0.003302096
4734232.439,-1.379959,0.7541213,-0.003302096
4734232.538,-1.382554,0.7537969,-0.002977718
4734232.639,-1.350441,0.7544457,-0.002328962
4734232.738,-1.388393,0.7537969,-0.002977718
4734232.839,-1.400395,0.7541213,-0.003302096
4734232.938,-1.402341,0.7541213,-0.003302096
4734233.041,-1.404287,0.7541213,-0.003302096
4734233.138,-1.403963,0.7544457,-0.00265334
4734233.238,-1.403638,0.7541213,-0.002977718
4734233.339,-1.40299,0.7541213,-0.002977718
4734233.439,-1.403638,0.7544457,-0.002977718
4734233.539,-1.40818,0.7541213,-0.00265334
4734233.64,-1.409802,0.7544457,-0.00265334
4734233.74,-1.412397,0.7541213,0.06416852
4734233.84,-1.412072,0.7544457,0.195866
4734233.94,-1.413694,0.7541213,0.3467019
