Time	Channel1	Channel2	Channel3
4.748031838E+6	-1.779266E+0	6.519420E-1	-2.734229E+0
4.748031939E+6	-1.778942E+0	6.525908E-1	-2.596693E+0
4.748032037E+6	-1.778942E+0	6.512933E-1	-2.455266E+0
4.748032138E+6	-1.779591E+0	6.519420E-1	-2.312540E+0
4.748032239E+6	-1.780888E+0	6.509689E-1	-2.167544E+0
4.748032337E+6	-1.777644E+0	6.516176E-1	-2.019953E+0
4.748032438E+6	-1.778617E+0	6.516176E-1	-1.870740E+0
4.748032538E+6	-1.778942E+0	6.522664E-1	-1.719257E+0
4.748032637E+6	-1.778942E+0	6.516176E-1	-1.566475E+0
4.748032738E+6	-1.777320E+0	6.522664E-1	-1.412072E+0
4.748032838E+6	-1.775374E+0	6.506445E-1	-1.255723E+0
4.748032939E+6	-1.775049E+0	6.519420E-1	-1.099373E+0
4.748033038E+6	-1.775698E+0	6.506445E-1	-9.410772E-1
4.748033138E+6	-1.773752E+0	6.519420E-1	-7.827812E-1
4.748033238E+6	-1.773752E+0	6.509689E-1	-6.228633E-1
4.748033338E+6	-1.774076E+0	6.525908E-1	-4.622965E-1
4.748033437E+6	-1.774076E+0	6.509689E-1	-3.010809E-1
4.748033538E+6	-1.774401E+0	6.529152E-1	-1.395408E-1
4.748033638E+6	-1.773103E+0	6.516176E-1	2.005311E-2
4.748033738E+6	-1.772779E+0	6.535639E-1	1.806202E-1
4.748033838E+6	-1.773752E+0	6.516176E-1	3.421606E-1
4.748033938E+6	-1.774401E+0	6.532395E-1	5.027279E-1
4.748034038E+6	-1.774725E+0	6.516176E-1	6.632953E-1
4.748034139E+6	-1.774725E+0	6.532395E-1	8.225653E-1
4.748034238E+6	-1.774076E+0	6.516176E-1	9.815110E-1
4.748034338E+6	-1.773752E+0	6.542127E-1	1.138835E+0
4.748034438E+6	-1.772454E+0	6.516176E-1	1.295834E+0
4.748034539E+6	-1.771806E+0	6.535639E-1	1.451212E+0
4.748034638E+6	-1.772130E+0	6.512933E-1	1.604968E+0
