Time,Channel1,Channel2,Channel3
4820276.867,-2.411151,0.7878567,4.751477
4820276.968,-2.408556,0.7878567,4.809867
4820277.067,-2.409204,0.7881811,4.864688
4820277.167,-2.41407,0.7881811,4.913994
4820277.268,-2.403366,0.7878567,4.958435
4820277.368,-2.410177,0.7881811,4.99801
4820277.468,-2.417638,0.7878567,5.032719
4820277.569,-2.423152,0.7878567,5.062887
4820277.667,-2.423801,0.7868836,5.087865
4820277.768,-2.42445,0.7875323,5.106679
4820277.867,-2.428991,0.787208,5.121601
4820277.968,-2.42964,0.7875323,2.432787
4820278.067,-2.430289,0.7885055,1.059686
4820278.167,-2.427694,0.7881811,0.482292
4820278.267,-2.426396,0.7878567,0.231872
4820278.367,-2.420233,0.7878567,0.1199615
4820278.468,-2.422504,0.7888299,0.06838543
4820278.568,-2.439371,0.7891542,0.04211081
4820278.668,-2.447156,0.7894786,0.02881132
4820278.767,-2.451049,0.7891542,0.02232376
4820278.866,-2.455914,0.7891542,0.01680933
4820278.969,-2.4504,0.7891542,0.01421431
4820279.067,-2.449427,0.7885055,0.01259242
4820279.168,-2.442939,0.7885055,0.01097053
4820279.268,-2.440669,0.7885055,0.009673021
4820279.368,-2.442291,0.7888299,0.008375509
4820279.467,-2.437749,0.7891542,0.007726753
4820279.568,-2.453644,0.7891542,0.007077997
4820279.667,-2.458834,0.789803,0.006104864
4820279.768,-2.458185,0.789803,0.006104864
4820279.868,-2.461104,0.7891542,0.005456108
4820279.968,-2.464673,0.7894786,0.004807352
4820280.069,-2.462402,0.7894786,0.00513173
4820280.167,-2.464024,0.789803,0.004158596
4820280.267,-2.468241,0.789803,0.003834218
4820280.367,-2.475701,0.7901274,0.00350984
4820280.468,-2.474404,0.7901274,0.00350984
4820280.567,-2.470511,0.7904518,0.003185462
4820280.669,-2.473755,0.7904518,0.003185462
4820280.768,-2.473431,0.7904518,0.003185462
4820280.868,-2.473106,0.789803,0.002861084
4820280.969,-2.472782,0.789803,0.002536707
4820281.068,-2.471809,0.7904518,0.002536707
4820281.169,-2.466619,0.7904518,0.002212329
4820281.267,-2.467916,0.7901274,0.001887951
4820281.367,-2.473431,0.7901274,0.001887951
4820281.469,-2.476999,0.7901274,0.001887951
4820281.568,-2.479269,0.7901274,0.001887951
4820281.669,-2.478945,0.7891542,0.001887951
4820281.769,-2.475701,0.7891542,0.002212329
4820281.868,-2.479594,0.7885055,0.001563573
4820281.969,-2.481864,0.7888299,0.001563573
4820282.068,-2.479269,0.7881811,0.001563573
4820282.167,-2.479269,0.7885055,0.001563573
4820282.267,-2.483162,0.7881811,0.001563573
4820282.369,-2.485433,0.7881811,0.01032178
4820282.468,-2.484135,0.7885055,0.1086083
4820282.568,-2.486081,0.7881811,0.2500372
4820282.667,-2.487379,0.7878567,0.4041168
4820282.768,-2.488676,0.7878567,0.5620892
4820282.869,-2.489649,0.7878567,0.7207103
4820282.968,-2.492244,0.7885055,0.879656
4820283.067,-2.490298,0.7888299,1.037629
4820283.168,-2.489649,0.789803,1.194628
4820283.268,-2.48673,0.7894786,1.350655
4820283.368,-2.485108,0.789803,1.505708
4820283.468,-2.484135,0.789803,1.65914
4820283.569,-2.483486,0.7901274,1.810625
4820283.668,-2.483811,0.7901274,1.960489
4820283.769,-2.484135,0.7904518,2.107758
4820283.869,-2.482838,0.7904518,2.253729
4820283.968,-2.482838,0.7901274,2.397754
4820284.068,-2.482838,0.789803,2.539184
4820284.168,-2.482838,0.7894786,2.678344
4820284.267,-2.482189,0.789803,2.814584
4820284.367,-2.482513,0.789803,2.947905
4820284.468,-2.481864,0.7901274,3.078307
4820284.569,-2.482513,0.789803,3.20514
4820284.668,-2.482513,0.7894786,3.329703
