Time	Channel1	Channel2	Channel3
4.869649268E+6	-3.458559E+0	6.632953E-1	3.926892E+0
4.869649368E+6	-3.458883E+0	6.632953E-1	3.822116E+0
4.869649469E+6	-3.459207E+0	6.639440E-1	3.712151E+0
4.869649569E+6	-3.461154E+0	6.639440E-1	3.597968E+0
4.869649668E+6	-3.463749E+0	6.642684E-1	3.479892E+0
4.869649769E+6	-3.463424E+0	6.636197E-1	3.360195E+0
4.869649867E+6	-3.462127E+0	6.632953E-1	3.235957E+0
4.869649968E+6	-3.461802E+0	6.626465E-1	3.108799E+0
4.869650068E+6	-3.463749E+0	6.629709E-1	2.979370E+0
4.869650169E+6	-3.465371E+0	6.629709E-1	2.846049E+0
4.869650267E+6	-3.466019E+0	6.632953E-1	2.710133E+0
4.869650370E+6	-3.465695E+0	6.632953E-1	2.571298E+0
4.869650467E+6	-3.466668E+0	6.629709E-1	2.430192E+0
4.869650567E+6	-3.465695E+0	6.632953E-1	2.286816E+0
4.869650667E+6	-3.467641E+0	6.629709E-1	2.140845E+0
4.869650768E+6	-3.468290E+0	6.629709E-1	1.993900E+0
4.869650868E+6	-3.467641E+0	6.626465E-1	1.844036E+0
4.869650968E+6	-3.469587E+0	6.626465E-1	1.692227E+0
4.869651068E+6	-3.472182E+0	6.626465E-1	1.538470E+0
4.869651169E+6	-3.471858E+0	6.626465E-1	1.384066E+0
4.869651267E+6	-3.471858E+0	6.626465E-1	1.227390E+0
4.869651368E+6	-3.471858E+0	6.623221E-1	1.070715E+0
4.869651468E+6	-3.473156E+0	6.626465E-1	9.114451E-1
4.869651568E+6	-3.473480E+0	6.626465E-1	7.524994E-1
4.869651668E+6	-3.474777E+0	6.626465E-1	5.929051E-1
4.869651769E+6	-3.473480E+0	6.619978E-1	4.316890E-1
4.869651869E+6	-3.472507E+0	6.626465E-1	2.707974E-1
4.869651967E+6	-3.471209E+0	6.629709E-1	1.099058E-1
4.869652068E+6	-3.473480E+0	6.632953E-1	-4.936375E-2
4.869652168E+6	-3.474777E+0	6.636197E-1	-2.109039E-1
4.869652268E+6	-3.472831E+0	6.642684E-1	-3.721195E-1
4.869652368E+6	-3.473156E+0	6.642684E-1	-5.326864E-1
4.869652467E+6	-3.475102E+0	6.642684E-1	-6.922800E-1
4.869652568E+6	-3.474129E+0	6.636197E-1	-8.521979E-1
4.869652667E+6	-3.473804E+0	6.636197E-1	-1.010818E+0
4.869652767E+6	-3.477697E+0	6.636197E-1	-1.167817E+0
4.869652867E+6	-3.479643E+0	6.632953E-1	-1.325139E+0
4.869652969E+6	-3.478346E+0	6.636197E-1	-1.479867E+0
4.869653068E+6	-3.480616E+0	6.636197E-1	-1.633297E+0
4.869653167E+6	-3.478670E+0	6.632953E-1	-1.785754E+0
4.869653267E+6	-3.477372E+0	6.632953E-1	-1.935616E+0
4.869653367E+6	-3.479319E+0	6.639440E-1	-2.083531E+0
4.869653469E+6	-3.478994E+0	6.636197E-1	-2.229824E+0
4.869653569E+6	-3.478021E+0	6.636197E-1	-2.373523E+0
4.869653669E+6	-3.478021E+0	6.626465E-1	-2.515600E+0
4.869653768E+6	-3.478994E+0	6.629709E-1	-2.653784E+0
4.869653868E+6	-3.479319E+0	6.629709E-1	-2.791319E+0
4.869653968E+6	-3.480941E+0	6.636197E-1	-2.924961E+0
4.869654068E+6	-3.480941E+0	6.632953E-1	-3.056009E+0
4.869654167E+6	-3.480292E+0	6.632953E-1	-3.183813E+0
4.869654268E+6	-3.479319E+0	6.629709E-1	-3.308697E+0
4.869654367E+6	-3.478670E+0	6.629709E-1	-3.430014E+0
4.869654467E+6	-3.478346E+0	6.629709E-1	-3.548086E+0
4.869654567E+6	-3.478994E+0	6.623221E-1	-3.662591E+0
4.869654668E+6	-3.478994E+0	6.623221E-1	-3.773527E+0
