Time,Channel1,Channel2,Channel3
50683.02404,-0.01595283,0.1429924,0.07389986
50683.12305,-0.007519008,0.1423436,0.1128252
50683.223,0.0005904391,0.1429924,0.1514262
50683.32498,0.009024265,0.1429924,0.1897028
50683.42303,0.01745809,0.142668,0.2270063
50683.52512,0.02589192,0.142668,0.263661
50683.62298,0.03367699,0.1433168,0.2986939
50683.72304,0.04178644,0.1433168,0.3327536
50683.82396,0.04892275,0.1429924,0.3655158
50683.92305,0.05735658,0.1433168,0.3966561
50684.02407,0.06416852,0.142668,0.4268233
50684.12503,0.07162921,0.1429924,0.4547199
50684.22503,0.0790899,0.1429924,0.4813189
50684.32504,0.08460433,0.142668,0.5056473
50684.42605,0.09044313,0.1429924,0.527705
50684.52297,0.09628194,0.1429924,0.5481409
50684.62299,0.1008232,0.1433168,0.5666305
50684.72397,0.1056889,0.142668,0.582525
50684.82385,0.1099058,0.142668,0.5961489
50684.92399,0.1141227,0.142668,0.6078265
50685.02402,0.1180153,0.1429924,0.6165848
50685.124,0.1206103,0.142668,0.6230723
50685.22405,0.1232053,0.1433168,0.6269649
50685.32504,0.1251516,0.1429924,0.6289111
50685.42704,0.1258003,0.142668,0.6276136
50685.523,0.1270979,0.1429924,0.6240455
50685.62387,0.1270979,0.1429924,0.6182066
50685.72386,0.1270979,0.1429924,0.6100972
50685.82387,0.1267735,0.1429924,0.5993927
50685.92303,0.1251516,0.1433168,0.5860932
50686.02307,0.1228809,0.1433168,0.5708474
50686.12503,0.1209347,0.1429924,0.5526822
50686.22404,0.1183396,0.1433168,0.5328951
50686.32503,0.1144471,0.1433168,0.5108373
50686.42374,0.1108789,0.1429924,0.4871577
50686.52406,0.106662,0.1433168,0.4615318
50686.62402,0.1024451,0.1429924,0.4336353
50686.7239,0.09725507,0.1433168,0.4041168
50686.82399,0.09271378,0.1429924,0.3733009
50686.92501,0.08557746,0.1429924,0.3405387
50687.02401,0.07941428,0.1429924,0.3071277
50687.12381,0.07260234,0.1429924,0.2724193
50687.22269,0.06579041,0.142668,0.2357645
50687.3237,0.05865409,0.1433168,0.1991098
50687.42353,0.0511934,0.1429924,0.1608332
50687.52348,0.04340833,0.1429924,0.1228809
50687.62249,0.03627201,0.1429924,0.0836312
50687.72325,0.02816256,0.1433168,0.04438146
50687.8227,0.01940436,0.142668,0.004807352
50687.92403,0.01161929,0.1429924,-0.03411799
50688.02503,0.002861084,0.142668,-0.07336771
50688.12504,-0.006221497,0.1433168,-0.1126174
50688.22403,-0.01400657,0.142668,-0.1515428
50688.32404,-0.02244039,0.1429924,-0.1898193
50688.42404,-0.03152297,0.142668,-0.2271228
50688.52397,-0.04125431,0.1429924,-0.2637774
50688.62279,-0.04968813,0.142668,-0.2984858
50688.72388,-0.05779758,0.142668,-0.3328699
50688.82393,-0.06558265,0.1429924,-0.365632
50688.92405,-0.07369209,0.1429924,-0.3970966
50689.02502,-0.0808284,0.1433168,-0.4272637
50689.12505,-0.08764034,0.1429924,-0.4548358
50689.22504,-0.09445227,0.142668,-0.4817591
50689.32477,-0.1006155,0.1423436,-0.505763
50689.42412,-0.1064543,0.142668,-0.5284695
50689.52405,-0.1122931,0.142668,-0.5489052
50689.62304,-0.1178075,0.1423436,-0.5673947
50689.72305,-0.1220244,0.1429924,-0.5829649
50689.82288,-0.1262413,0.142668,-0.5962643
50689.92503,-0.1298095,0.1429924,-0.6082663
50690.02405,-0.133702,0.1429924,-0.6170245
50690.12503,-0.136297,0.1429924,-0.6231876
50690.22504,-0.1385677,0.1429924,-0.6274045
50690.32401,-0.1405139,0.1429924,-0.628702
50690.42404,-0.1421358,0.142668,-0.6283777
50690.52386,-0.1431089,0.1429924,-0.6248095
50690.62395,-0.1431089,0.142668,-0.6186464
50690.72501,-0.1427846,0.142668,-0.6105369
50690.82405,-0.1427846,0.142668,-0.5995081
50690.92398,-0.1408383,0.1429924,-0.586533
50691.02404,-0.1392164,0.142668,-0.5709629
50691.12362,-0.1372701,0.1429924,-0.5537709
50691.22353,-0.1340264,0.142668,-0.5336595
50691.32246,-0.1304582,0.142668,-0.5116018
50691.42405,-0.1265657,0.142668,-0.4882467
50691.52378,-0.1226731,0.1423436,-0.4619721
50691.6237,-0.1181319,0.1420192,-0.4344
50691.72319,-0.1135906,0.142668,-0.4045573
50691.82279,-0.1080761,0.142668,-0.3734171
50691.92404,-0.1015886,0.142668,-0.3409793
50692.024,-0.09510103,0.142668,-0.3069197
50692.12404,-0.08828909,0.1429924,-0.2722113
50692.22304,-0.08147716,0.142668,-0.235881
