Freq;V_s;V/div
10;0.882;0.124
15;1.41;0.14
20;1.14;0.184
30;1.23;0.196
50;1.33;0.2
70;1.42;0.23
100;1.53;0.25
200;1.85;0.29
300;2.2;0.34
400;2.51;0.39
500;2.85;0.44
600;3.2;0.56
700;3.56;0.56
800;3.91;0.62
900;4.31;0.72
1000;4.66;0.72
1300;5.67;0.96
1600;6.67;1.16
2000;7.82;1.36
2500;9.03;1.44
3000;10.06;1.68
4000;11.7;2
5000;12.6;2.2
6000;13.2;2.2
7000;13.7;2.3
8000;14.1;2.4
9000;14.3;2.4
10000;14.6;2.5
15000;15;2.5
20000;15.2;2.5
25000;15.2;2.5
30000;15.2;2.7
50000;15.2;2.6
