Time,Channel1,Channel2,Channel3
4872125.268,-3.393035,0.6574565,2.762034
4872125.369,-3.391413,0.6581052,2.897626
4872125.468,-3.387196,0.6577808,3.029649
4872125.569,-3.389142,0.6581052,3.158105
4872125.669,-3.392062,0.6581052,3.283316
4872125.768,-3.391737,0.6577808,3.406257
4872125.868,-3.394332,0.6574565,3.525306
4872125.969,-3.39563,0.6581052,3.639813
4872126.068,-3.400171,0.6581052,3.752374
4872126.168,-3.400171,0.6584296,3.860394
4872126.268,-3.402442,0.6581052,1.969572
4872126.37,-3.405037,0.6590784,0.8468937
4872126.468,-3.396927,0.658754,0.3778422
4872126.568,-3.387845,0.6581052,0.1760789
4872126.668,-3.397576,0.6584296,0.08687498
4872126.768,-3.399198,0.658754,0.04632773
4872126.869,-3.396927,0.6584296,0.02718943
4872126.967,-3.410876,0.6590784,0.01680933
4872127.068,-3.412822,0.6584296,0.01161929
4872127.169,-3.406983,0.6584296,0.008375509
4872127.269,-3.397901,0.6577808,0.006429241
4872127.367,-3.399847,0.6577808,0.005456108
4872127.467,-3.403091,0.6581052,0.004158596
4872127.567,-3.402117,0.6577808,0.002861084
4872127.668,-3.418012,0.6574565,0.001887951
4872127.768,-3.412497,0.6571321,0.002212329
4872127.869,-3.413471,0.6564833,0.002212329
4872127.968,-3.426121,0.6568077,0.001239195
4872128.068,-3.414119,0.6568077,0.000914817
4872128.168,-3.408605,0.6568077,0.001239195
4872128.268,-3.425797,0.6574565,0.0002660612
4872128.368,-3.424824,0.6574565,0.0005904391
4872128.468,-3.419958,0.6574565,0.0002660612
4872128.568,-3.424824,0.6581052,-5.831672e-05
4872128.667,-3.427419,0.658754,-5.831672e-05
4872128.768,-3.425797,0.6590784,-5.831672e-05
4872128.867,-3.428392,0.6594027,-5.831672e-05
4872128.968,-3.426446,0.6597271,-5.831672e-05
4872129.068,-3.417687,0.6600515,0.0002660612
4872129.168,-3.409902,0.6597271,0.0002660612
4872129.268,-3.428067,0.6590784,-0.0003826946
4872129.367,-3.428067,0.6590784,-0.00103145
4872129.468,-3.435204,0.6594027,-0.0007070725
4872129.569,-3.434555,0.6594027,-0.0007070725
4872129.668,-3.439096,0.6600515,-0.00103145
4872129.769,-3.437799,0.6603759,-0.0007070725
4872129.868,-3.438123,0.6600515,-0.0007070725
4872129.968,-3.434555,0.6600515,-0.0007070725
4872130.067,-3.433257,0.6597271,-0.0007070725
4872130.168,-3.443637,0.6594027,-0.001355828
4872130.268,-3.457586,0.6594027,-0.001355828
4872130.368,-3.454342,0.6590784,-0.001355828
4872130.468,-3.454017,0.6590784,-0.0007070725
4872130.568,-3.464722,0.6594027,-0.001680206
4872130.669,-3.45791,0.6590784,0.01421431
4872130.767,-3.451422,0.6594027,0.1189884
4872130.868,-3.456612,0.6597271,0.2626879
4872130.968,-3.461478,0.6590784,0.4174164
4872131.067,-3.459207,0.6590784,0.5753887
4872131.168,-3.458883,0.6590784,0.7343342
4872131.269,-3.461154,0.6590784,0.8936042
4872131.368,-3.458883,0.6584296,1.050928
4872131.467,-3.455964,0.6581052,1.208252
4872131.569,-3.455315,0.6590784,1.364279
4872131.669,-3.450774,0.658754,1.519332
4872131.767,-3.454017,0.6584296,1.672115
4872131.869,-3.455639,0.658754,1.8236
4872131.968,-3.454666,0.658754,1.97314
4872132.069,-3.455964,0.658754,2.120733
4872132.168,-3.456937,0.658754,2.266704
4872132.268,-3.45272,0.6590784,2.409756
4872132.368,-3.452396,0.658754,2.550538
4872132.468,-3.453044,0.6577808,2.690022
4872132.569,-3.451422,0.6584296,2.826262
4872132.667,-3.453693,0.6581052,2.958934
4872132.768,-3.454017,0.6584296,3.089011
4872132.868,-3.450774,0.658754,3.216494
4872132.967,-3.451422,0.6584296,3.340083
4872133.068,-3.45272,0.6594027,3.461727
4872133.168,-3.450774,0.6597271,3.579153
4872133.268,-3.450125,0.6597271,3.693336
4872133.369,-3.451422,0.6594027,3.804275
4872133.469,-3.451098,0.658754,3.910998
4872133.569,-3.447206,0.6590784,4.013178
4872133.667,-3.453693,0.6594027,4.111467
4872133.769,-3.453369,0.6600515,4.205862
4872133.868,-3.448827,0.6597271,4.295717
4872133.967,-3.451422,0.6590784,4.382652
4872134.069,-3.452396,0.6590784,4.464721
4872134.168,-3.451422,0.6590784,4.542249
4872134.27,-3.452071,0.6584296,4.615884
4872134.369,-3.452071,0.6590784,4.684654
4872134.468,-3.44753,0.658754,4.748558
4872134.568,-3.448827,0.658754,4.808569
4872134.669,-3.443637,0.658754,4.862741
4872134.768,-3.450449,0.6590784,4.913021
4872134.868,-3.447854,0.6594027,4.957462
4872134.968,-3.448179,0.658754,4.997361
4872135.068,-3.454017,0.6590784,5.032071
4872135.168,-3.450125,0.6594027,5.062563
4872135.267,-3.452396,0.6594027,5.088514
4872135.367,-3.449476,0.6597271,5.107977
4872135.468,-3.450125,0.6597271,5.123223
4872135.568,-3.450449,0.6597271,5.132955
4872135.667,-3.448827,0.6597271,5.13782
4872135.768,-3.448503,0.6594027,5.138145
4872135.868,-3.449801,0.6594027,5.13263
4872135.968,-3.451747,0.6594027,5.122574
4872136.067,-3.449801,0.6597271,5.107328
4872136.168,-3.446232,0.6594027,5.087541
4872136.267,-3.449152,0.6590784,5.062563
4872136.368,-3.449152,0.6590784,5.032071
4872136.468,-3.444935,0.6590784,4.996713
4872136.568,-3.446881,0.6600515,4.957138
4872136.668,-3.444935,0.6597271,4.911399
