Time	Channel1	Channel2	Channel3
4.871984089E+6	-3.364814E+0	6.542127E-1	3.083173E+0
4.871984168E+6	-3.390440E+0	6.545371E-1	3.210006E+0
4.871984267E+6	-3.368382E+0	6.542127E-1	3.334244E+0
4.871984367E+6	-3.369356E+0	6.542127E-1	3.454915E+0
4.871984467E+6	-3.387521E+0	6.538883E-1	3.572341E+0
4.871984568E+6	-3.372924E+0	6.538883E-1	3.686200E+0
4.871984666E+6	-3.361895E+0	6.538883E-1	3.797139E+0
4.871984767E+6	-3.382655E+0	6.535639E-1	3.903537E+0
4.871984867E+6	-3.376167E+0	6.535639E-1	4.006691E+0
4.871984967E+6	-3.362219E+0	6.529152E-1	4.105303E+0
4.871985066E+6	-3.379087E+0	6.532395E-1	4.200023E+0
4.871985166E+6	-3.379087E+0	6.535639E-1	4.290851E+0
4.871985267E+6	-3.365787E+0	6.535639E-1	4.377462E+0
4.871985367E+6	-3.382331E+0	6.529152E-1	4.459207E+0
4.871985467E+6	-3.383952E+0	6.532395E-1	4.537059E+0
4.871985567E+6	-3.367409E+0	6.532395E-1	4.610370E+0
4.871985667E+6	-3.378438E+0	6.522664E-1	4.679788E+0
4.871985767E+6	-3.382331E+0	6.525908E-1	4.743368E+0
4.871985867E+6	-3.367085E+0	6.532395E-1	4.803379E+0
4.871985967E+6	-3.375519E+0	6.535639E-1	4.858200E+0
4.871986067E+6	-3.385574E+0	6.532395E-1	4.907507E+0
4.871986168E+6	-3.377465E+0	6.535639E-1	4.953245E+0
4.871986267E+6	-3.377141E+0	6.535639E-1	4.993469E+0
4.871986367E+6	-3.385250E+0	6.538883E-1	5.028178E+0
4.871986467E+6	-3.377465E+0	6.535639E-1	5.059319E+0
4.871986567E+6	-3.370977E+0	6.538883E-1	5.083648E+0
4.871986667E+6	-3.380709E+0	6.538883E-1	5.104084E+0
4.871986767E+6	-3.380384E+0	6.538883E-1	5.119979E+0
4.871986867E+6	-3.371302E+0	6.538883E-1	5.131008E+0
4.871986967E+6	-3.378762E+0	6.538883E-1	5.135874E+0
4.871987067E+6	-3.380060E+0	6.538883E-1	5.135874E+0
4.871987167E+6	-3.371626E+0	6.538883E-1	5.131008E+0
4.871987267E+6	-3.377465E+0	6.535639E-1	5.121277E+0
4.871987368E+6	-3.381033E+0	6.545371E-1	5.106031E+0
4.871987468E+6	-3.373897E+0	6.542127E-1	5.085919E+0
4.871987568E+6	-3.374546E+0	6.538883E-1	5.060941E+0
4.871987667E+6	-3.383952E+0	6.545371E-1	5.030449E+0
4.871987768E+6	-3.372924E+0	6.542127E-1	4.995739E+0
4.871987868E+6	-3.371626E+0	6.538883E-1	4.955516E+0
4.871987967E+6	-3.378762E+0	6.535639E-1	4.910750E+0
4.871988068E+6	-3.373248E+0	6.542127E-1	4.861119E+0
4.871988167E+6	-3.371302E+0	6.538883E-1	4.806623E+0
4.871988267E+6	-3.381033E+0	6.545371E-1	4.746611E+0
4.871988367E+6	-3.370653E+0	6.538883E-1	4.683032E+0
4.871988468E+6	-3.379736E+0	6.542127E-1	4.614587E+0
4.871988567E+6	-3.379411E+0	6.538883E-1	4.541600E+0
4.871988667E+6	-3.377141E+0	6.538883E-1	4.464397E+0
4.871988767E+6	-3.377141E+0	6.542127E-1	4.382652E+0
4.871988867E+6	-3.376492E+0	6.545371E-1	4.297014E+0
4.871988967E+6	-3.376492E+0	6.542127E-1	4.206511E+0
4.871989066E+6	-3.378114E+0	6.538883E-1	4.111142E+0
4.871989166E+6	-3.377141E+0	6.542127E-1	4.012205E+0
4.871989267E+6	-3.394332E+0	6.538883E-1	3.909700E+0
4.871989368E+6	-3.366112E+0	6.545371E-1	3.802329E+0
4.871989467E+6	-3.378438E+0	6.542127E-1	3.692039E+0
4.871989567E+6	-3.384277E+0	6.542127E-1	3.578505E+0
4.871989666E+6	-3.378114E+0	6.542127E-1	3.460754E+0
4.871989767E+6	-3.373248E+0	6.542127E-1	3.339759E+0
4.871989867E+6	-3.393035E+0	6.538883E-1	3.214872E+0
4.871989966E+6	-3.362219E+0	6.545371E-1	3.087389E+0
