Time	Channel1	Channel2	Channel3
4.635629061E+6	-3.217173E-2	1.324118E-2	4.953894E+0
4.635629161E+6	-3.282048E-2	1.324118E-2	4.910102E+0
4.635629260E+6	-3.249611E-2	1.356556E-2	4.860471E+0
4.635629360E+6	-3.346924E-2	1.356556E-2	4.805650E+0
4.635629460E+6	-3.314486E-2	1.388993E-2	4.745638E+0
4.635629562E+6	-3.217173E-2	1.388993E-2	4.681086E+0
4.635629660E+6	-3.314486E-2	1.388993E-2	4.612965E+0
4.635629760E+6	-3.314486E-2	1.388993E-2	4.539978E+0
4.635629860E+6	-3.314486E-2	1.421431E-2	4.461802E+0
4.635629960E+6	-3.314486E-2	1.421431E-2	4.379408E+0
4.635630059E+6	-3.314486E-2	1.388993E-2	4.289554E+0
4.635630164E+6	-3.314486E-2	1.486307E-2	4.202294E+0
4.635630260E+6	-3.314486E-2	1.421431E-2	4.107250E+0
4.635630359E+6	-3.379362E-2	1.421431E-2	4.008637E+0
4.635630461E+6	-3.379362E-2	1.421431E-2	3.905159E+0
4.635630559E+6	-3.346924E-2	1.486307E-2	3.798436E+0
4.635630660E+6	-3.249611E-2	1.388993E-2	3.687822E+0
4.635630760E+6	-3.379362E-2	1.388993E-2	3.573639E+0
4.635630861E+6	-3.346924E-2	1.388993E-2	3.455888E+0
4.635630959E+6	-3.314486E-2	1.388993E-2	3.334893E+0
4.635631060E+6	-3.411799E-2	1.388993E-2	3.207411E+0
4.635631163E+6	-3.314486E-2	1.356556E-2	3.083173E+0
4.635631260E+6	-3.346924E-2	1.421431E-2	2.952447E+0
4.635631361E+6	-3.444237E-2	1.421431E-2	2.818477E+0
4.635631461E+6	-3.379362E-2	1.421431E-2	2.681588E+0
4.635631559E+6	-3.249611E-2	1.421431E-2	2.542428E+0
4.635631660E+6	-3.379362E-2	1.421431E-2	2.400674E+0
4.635631760E+6	-3.379362E-2	1.453869E-2	2.256649E+0
4.635631861E+6	-3.379362E-2	1.486307E-2	2.110677E+0
4.635631960E+6	-3.476675E-2	1.421431E-2	1.963408E+0
4.635632060E+6	-3.444237E-2	1.486307E-2	1.810301E+0
4.635632162E+6	-3.379362E-2	1.486307E-2	1.661410E+0
4.635632260E+6	-3.411799E-2	1.453869E-2	1.506357E+0
4.635632360E+6	-3.444237E-2	1.453869E-2	1.351303E+0
4.635632460E+6	-3.509113E-2	1.486307E-2	1.194628E+0
4.635632560E+6	-3.444237E-2	1.551182E-2	1.037304E+0
4.635632660E+6	-3.444237E-2	1.453869E-2	8.783584E-1
4.635632760E+6	-3.444237E-2	1.453869E-2	7.194128E-1
4.635632860E+6	-3.444237E-2	1.486307E-2	5.585210E-1
4.635632960E+6	-3.476675E-2	1.486307E-2	3.986024E-1
4.635633061E+6	-3.411799E-2	1.486307E-2	2.312232E-1
4.635633164E+6	-3.509113E-2	1.453869E-2	7.681926E-2
4.635633261E+6	-3.573988E-2	1.421431E-2	-8.407218E-2
4.635633359E+6	-3.638864E-2	1.518745E-2	-2.446392E-1
4.635633460E+6	-3.606426E-2	1.486307E-2	-4.074767E-1
4.635633562E+6	-3.638864E-2	1.551182E-2	-5.667460E-1
4.635633662E+6	-3.638864E-2	1.583620E-2	-7.260152E-1
4.635633760E+6	-3.638864E-2	1.551182E-2	-8.852843E-1
4.635633859E+6	-3.638864E-2	1.583620E-2	-1.043905E+0
4.635633961E+6	-3.509113E-2	1.551182E-2	-1.199930E+0
4.635634060E+6	-3.509113E-2	1.518745E-2	-1.359848E+0
4.635634161E+6	-3.476675E-2	1.551182E-2	-1.511331E+0
4.635634260E+6	-3.444237E-2	1.583620E-2	-1.664437E+0
4.635634360E+6	-3.444237E-2	1.551182E-2	-1.815596E+0
4.635634460E+6	-3.509113E-2	1.551182E-2	-1.965134E+0
4.635634559E+6	-3.541551E-2	1.648496E-2	-2.113374E+0
4.635634660E+6	-3.509113E-2	1.616058E-2	-2.259018E+0
4.635634760E+6	-3.509113E-2	1.616058E-2	-2.403041E+0
4.635634860E+6	-3.509113E-2	1.616058E-2	-2.543820E+0
4.635634959E+6	-3.509113E-2	1.616058E-2	-2.682653E+0
4.635635060E+6	-3.573988E-2	1.583620E-2	-2.821161E+0
4.635635162E+6	-3.606426E-2	1.616058E-2	-2.951560E+0
4.635635261E+6	-3.638864E-2	1.583620E-2	-3.082283E+0
4.635635360E+6	-3.606426E-2	1.648496E-2	-3.209114E+0
4.635635460E+6	-3.638864E-2	1.648496E-2	-3.333350E+0
4.635635559E+6	-3.638864E-2	1.583620E-2	-3.454017E+0
4.635635661E+6	-3.573988E-2	1.551182E-2	-3.571766E+0
4.635635760E+6	-3.736177E-2	1.616058E-2	-3.685297E+0
4.635635860E+6	-3.638864E-2	1.616058E-2	-3.795584E+0
4.635635959E+6	-3.703740E-2	1.680933E-2	-3.902304E+0
4.635636060E+6	-3.736177E-2	1.648496E-2	-4.007077E+0
4.635636162E+6	-3.801053E-2	1.713371E-2	-4.103740E+0
4.635636260E+6	-3.736177E-2	1.680933E-2	-4.198133E+0
4.635636360E+6	-3.768615E-2	1.648496E-2	-4.288634E+0
4.635636460E+6	-3.736177E-2	1.616058E-2	-4.374918E+0
4.635636560E+6	-3.736177E-2	1.648496E-2	-4.456984E+0
4.635636660E+6	-3.801053E-2	1.616058E-2	-4.535159E+0
4.635636760E+6	-3.898366E-2	1.616058E-2	-4.607819E+0
4.635636860E+6	-3.833491E-2	1.616058E-2	-4.676586E+0
4.635636960E+6	-3.736177E-2	1.616058E-2	-4.740488E+0
4.635637061E+6	-3.768615E-2	1.583620E-2	-4.802443E+0
4.635637163E+6	-3.671302E-2	1.518745E-2	-4.854668E+0
4.635637259E+6	-3.671302E-2	1.486307E-2	-4.904297E+0
4.635637360E+6	-3.638864E-2	1.551182E-2	-4.949385E+0
4.635637459E+6	-3.703740E-2	1.583620E-2	-4.989607E+0
4.635637561E+6	-3.606426E-2	1.616058E-2	-5.024640E+0
4.635637660E+6	-3.768615E-2	1.648496E-2	-5.054482E+0
4.635637760E+6	-3.671302E-2	1.648496E-2	-5.080108E+0
4.635637860E+6	-3.768615E-2	1.680933E-2	-5.099895E+0
4.635637961E+6	-3.930804E-2	1.713371E-2	-5.115465E+0
4.635638060E+6	-4.060555E-2	1.713371E-2	-5.125196E+0
4.635638165E+6	-4.060555E-2	1.745809E-2	-5.130710E+0
4.635638260E+6	-3.930804E-2	1.810685E-2	-5.130386E+0
4.635638359E+6	-3.930804E-2	1.745809E-2	-5.125520E+0
4.635638460E+6	-3.865929E-2	1.713371E-2	-5.115140E+0
4.635638560E+6	-3.801053E-2	1.745809E-2	-5.100219E+0
4.635638660E+6	-4.125431E-2	1.843122E-2	-5.080432E+0
4.635638759E+6	-4.092993E-2	1.778247E-2	-5.054807E+0
4.635638860E+6	-3.963242E-2	1.810685E-2	-5.024316E+0
4.635638961E+6	-3.833491E-2	1.745809E-2	-4.989283E+0
4.635639060E+6	-3.671302E-2	1.680933E-2	-4.947763E+0
4.635639164E+6	-3.638864E-2	1.713371E-2	-4.903648E+0
4.635639261E+6	-3.703740E-2	1.680933E-2	-4.854019E+0
4.635639361E+6	-3.898366E-2	1.713371E-2	-4.799200E+0
4.635639461E+6	-3.801053E-2	1.713371E-2	-4.740163E+0
4.635639559E+6	-3.865929E-2	1.680933E-2	-4.675613E+0
4.635639661E+6	-3.963242E-2	1.713371E-2	-4.606846E+0
4.635639761E+6	-3.898366E-2	1.778247E-2	-4.528996E+0
4.635639868E+6	-3.963242E-2	1.745809E-2	-4.456011E+0
4.635639959E+6	-3.541551E-2	1.616058E-2	-4.373620E+0
4.635640060E+6	-3.346924E-2	1.421431E-2	-4.287336E+0
4.635640161E+6	-3.249611E-2	1.453869E-2	-4.196836E+0
4.635640259E+6	-3.314486E-2	1.453869E-2	-4.102119E+0
4.635640360E+6	-3.411799E-2	1.518745E-2	-4.002860E+0
4.635640461E+6	-3.476675E-2	1.518745E-2	-3.900033E+0
4.635640562E+6	-3.411799E-2	1.453869E-2	-3.793638E+0
4.635640660E+6	-3.476675E-2	1.421431E-2	-3.682702E+0
4.635640759E+6	-3.476675E-2	1.421431E-2	-3.569495E+0
4.635640859E+6	-3.444237E-2	1.453869E-2	-3.452071E+0
4.635640960E+6	-3.444237E-2	1.421431E-2	-3.330755E+0
4.635641060E+6	-3.476675E-2	1.388993E-2	-3.204249E+0
4.635641161E+6	-3.444237E-2	1.388993E-2	-3.079040E+0
4.635641260E+6	-3.411799E-2	1.388993E-2	-2.947668E+0
4.635641361E+6	-3.476675E-2	1.421431E-2	-2.814349E+0
4.635641460E+6	-3.444237E-2	1.453869E-2	-2.678112E+0
4.635641562E+6	-3.346924E-2	1.453869E-2	-2.538955E+0
4.635641660E+6	-3.282048E-2	1.388993E-2	-2.397202E+0
4.635641760E+6	-3.476675E-2	1.421431E-2	-2.253504E+0
4.635641860E+6	-3.379362E-2	1.388993E-2	-2.107210E+0
4.635641960E+6	-3.346924E-2	1.356556E-2	-1.959295E+0
