Time,Channel1,Channel2,Channel3
4635629.161,-0.03282048,0.01324118,4.910102
4635629.26,-0.03249611,0.01356556,4.860471
4635629.36,-0.03346924,0.01356556,4.80565
4635629.46,-0.03314486,0.01388993,4.745638
4635629.562,-0.03217173,0.01388993,4.681086
4635629.66,-0.03314486,0.01388993,4.612965
4635629.76,-0.03314486,0.01388993,4.539978
4635629.86,-0.03314486,0.01421431,4.461802
4635629.96,-0.03314486,0.01421431,4.379408
4635630.059,-0.03314486,0.01388993,4.289554
4635630.164,-0.03314486,0.01486307,4.202294
4635630.26,-0.03314486,0.01421431,4.10725
4635630.359,-0.03379362,0.01421431,4.008637
4635630.461,-0.03379362,0.01421431,3.905159
4635630.559,-0.03346924,0.01486307,3.798436
4635630.66,-0.03249611,0.01388993,3.687822
4635630.76,-0.03379362,0.01388993,3.573639
4635630.861,-0.03346924,0.01388993,3.455888
4635630.959,-0.03314486,0.01388993,3.334893
4635631.06,-0.03411799,0.01388993,3.207411
4635631.163,-0.03314486,0.01356556,3.083173
4635631.26,-0.03346924,0.01421431,2.952447
4635631.361,-0.03444237,0.01421431,2.818477
4635631.461,-0.03379362,0.01421431,2.681588
4635631.559,-0.03249611,0.01421431,2.542428
4635631.66,-0.03379362,0.01421431,2.400674
4635631.76,-0.03379362,0.01453869,2.256649
4635631.861,-0.03379362,0.01486307,2.110677
4635631.96,-0.03476675,0.01421431,1.963408
4635632.06,-0.03444237,0.01486307,1.810301
4635632.162,-0.03379362,0.01486307,1.66141
4635632.26,-0.03411799,0.01453869,1.506357
4635632.36,-0.03444237,0.01453869,1.351303
4635632.46,-0.03509113,0.01486307,1.194628
4635632.56,-0.03444237,0.01551182,1.037304
4635632.66,-0.03444237,0.01453869,0.8783584
4635632.76,-0.03444237,0.01453869,0.7194128
4635632.86,-0.03444237,0.01486307,0.558521
4635632.96,-0.03476675,0.01486307,0.3986024
4635633.061,-0.03411799,0.01486307,0.2312232
4635633.164,-0.03509113,0.01453869,0.07681926
4635633.261,-0.03573988,0.01421431,-0.08407218
4635633.359,-0.03638864,0.01518745,-0.2446392
4635633.46,-0.03606426,0.01486307,-0.4074767
4635633.562,-0.03638864,0.01551182,-0.566746
4635633.662,-0.03638864,0.0158362,-0.7260152
4635633.76,-0.03638864,0.01551182,-0.8852843
4635633.859,-0.03638864,0.0158362,-1.043905
4635633.961,-0.03509113,0.01551182,-1.19993
4635634.06,-0.03509113,0.01518745,-1.359848
4635634.161,-0.03476675,0.01551182,-1.511331
4635634.26,-0.03444237,0.0158362,-1.664437
4635634.36,-0.03444237,0.01551182,-1.815596
4635634.46,-0.03509113,0.01551182,-1.965134
4635634.559,-0.03541551,0.01648496,-2.113374
4635634.66,-0.03509113,0.01616058,-2.259018
4635634.76,-0.03509113,0.01616058,-2.403041
4635634.86,-0.03509113,0.01616058,-2.54382
4635634.959,-0.03509113,0.01616058,-2.682653
4635635.06,-0.03573988,0.0158362,-2.821161
4635635.162,-0.03606426,0.01616058,-2.95156
4635635.261,-0.03638864,0.0158362,-3.082283
4635635.36,-0.03606426,0.01648496,-3.209114
4635635.46,-0.03638864,0.01648496,-3.33335
4635635.559,-0.03638864,0.0158362,-3.454017
4635635.661,-0.03573988,0.01551182,-3.571766
4635635.76,-0.03736177,0.01616058,-3.685297
4635635.86,-0.03638864,0.01616058,-3.795584
4635635.959,-0.0370374,0.01680933,-3.902304
4635636.06,-0.03736177,0.01648496,-4.007077
4635636.162,-0.03801053,0.01713371,-4.10374
4635636.26,-0.03736177,0.01680933,-4.198133
4635636.36,-0.03768615,0.01648496,-4.288634
4635636.46,-0.03736177,0.01616058,-4.374918
4635636.56,-0.03736177,0.01648496,-4.456984
4635636.66,-0.03801053,0.01616058,-4.535159
4635636.76,-0.03898366,0.01616058,-4.607819
4635636.86,-0.03833491,0.01616058,-4.676586
4635636.96,-0.03736177,0.01616058,-4.740488
4635637.061,-0.03768615,0.0158362,-4.802443
4635637.163,-0.03671302,0.01518745,-4.854668
4635637.259,-0.03671302,0.01486307,-4.904297
4635637.36,-0.03638864,0.01551182,-4.949385
4635637.459,-0.0370374,0.0158362,-4.989607
4635637.561,-0.03606426,0.01616058,-5.02464
4635637.66,-0.03768615,0.01648496,-5.054482
4635637.76,-0.03671302,0.01648496,-5.080108
4635637.86,-0.03768615,0.01680933,-5.099895
4635637.961,-0.03930804,0.01713371,-5.115465
4635638.06,-0.04060555,0.01713371,-5.125196
4635638.165,-0.04060555,0.01745809,-5.13071
4635638.26,-0.03930804,0.01810685,-5.130386
4635638.359,-0.03930804,0.01745809,-5.12552
4635638.46,-0.03865929,0.01713371,-5.11514
4635638.56,-0.03801053,0.01745809,-5.100219
4635638.66,-0.04125431,0.01843122,-5.080432
4635638.759,-0.04092993,0.01778247,-5.054807
4635638.86,-0.03963242,0.01810685,-5.024316
4635638.961,-0.03833491,0.01745809,-4.989283
4635639.06,-0.03671302,0.01680933,-4.947763
4635639.164,-0.03638864,0.01713371,-4.903648
4635639.261,-0.0370374,0.01680933,-4.854019
4635639.361,-0.03898366,0.01713371,-4.7992
4635639.461,-0.03801053,0.01713371,-4.740163
4635639.559,-0.03865929,0.01680933,-4.675613
4635639.661,-0.03963242,0.01713371,-4.606846
4635639.761,-0.03898366,0.01778247,-4.528996
4635639.868,-0.03963242,0.01745809,-4.456011
4635639.959,-0.03541551,0.01616058,-4.37362
4635640.06,-0.03346924,0.01421431,-4.287336
4635640.161,-0.03249611,0.01453869,-4.196836
4635640.259,-0.03314486,0.01453869,-4.102119
4635640.36,-0.03411799,0.01518745,-4.00286
4635640.461,-0.03476675,0.01518745,-3.900033
4635640.562,-0.03411799,0.01453869,-3.793638
4635640.66,-0.03476675,0.01421431,-3.682702
4635640.759,-0.03476675,0.01421431,-3.569495
4635640.859,-0.03444237,0.01453869,-3.452071
4635640.96,-0.03444237,0.01421431,-3.330755
4635641.06,-0.03476675,0.01388993,-3.204249
4635641.161,-0.03444237,0.01388993,-3.07904
4635641.26,-0.03411799,0.01388993,-2.947668
4635641.361,-0.03476675,0.01421431,-2.814349
4635641.46,-0.03444237,0.01453869,-2.678112
4635641.562,-0.03346924,0.01453869,-2.538955
4635641.66,-0.03282048,0.01388993,-2.397202
4635641.76,-0.03476675,0.01421431,-2.253504
4635641.86,-0.03379362,0.01388993,-2.10721
4635641.96,-0.03346924,0.01356556,-1.959295
4635642.06,-0.03476675,0.01421431,-1.809758
4635642.16,-0.03217173,0.01388993,-1.657301
4635642.26,-0.03249611,0.01388993,-1.503546
4635642.36,-0.03411799,0.01388993,-1.34817
4635642.459,-0.03411799,0.01324118,-1.192469
4635642.559,-0.03379362,0.01324118,-1.034822
4635642.66,-0.03509113,0.01356556,-0.8758774
4635642.76,-0.03411799,0.01421431,-0.7166083
4635642.86,-0.03411799,0.01453869,-0.5563659
4635642.96,-0.0370374,0.01453869,-0.3957991
4635643.06,-0.03573988,0.01356556,-0.2316641
4635643.162,-0.03444237,0.01421431,-0.07466523
4635643.26,-0.03573988,0.01421431,0.08557746
4635643.359,-0.03541551,0.01453869,0.2474421
4635643.459,-0.03444237,0.01453869,0.4083338
4635643.563,-0.03444237,0.01453869,0.5692255
4635643.66,-0.03541551,0.01486307,0.7294685
4635643.76,-0.03379362,0.01518745,0.8880898
4635643.86,-0.03411799,0.01518745,1.046711
4635643.96,-0.03509113,0.01486307,1.204359
4635644.06,-0.03379362,0.01518745,1.362981
4635644.162,-0.03282048,0.01486307,1.515764
4635644.26,-0.03541551,0.01486307,1.669196
4635644.359,-0.03411799,0.01486307,1.82133
4635644.461,-0.03509113,0.01453869,1.97022
4635644.561,-0.03444237,0.01421431,2.117814
4635644.66,-0.03411799,0.01388993,2.263136
4635644.759,-0.03476675,0.01421431,2.407161
4635644.859,-0.03411799,0.01421431,2.547943
4635644.959,-0.03379362,0.01356556,2.687427
4635645.06,-0.03476675,0.01356556,2.823018
4635645.16,-0.03476675,0.0129168,2.956015
4635645.26,-0.03411799,0.0129168,3.087389
4635645.361,-0.03444237,0.01259242,3.213899
4635645.459,-0.03411799,0.01356556,3.338461
4635645.561,-0.03379362,0.01388993,3.459132
4635645.659,-0.03379362,0.01388993,3.576558
4635645.759,-0.03444237,0.01421431,3.690741
4635645.859,-0.03411799,0.01388993,3.801032
4635645.96,-0.03411799,0.01388993,3.907105
4635646.061,-0.03379362,0.01388993,4.009286
4635646.159,-0.03444237,0.01356556,4.108547
4635646.261,-0.03476675,0.01324118,4.203592
4635646.361,-0.03541551,0.0129168,4.293771
4635646.459,-0.03541551,0.01259242,4.380057
4635646.56,-0.03476675,0.01259242,4.462126
4635646.66,-0.03476675,0.0129168,4.539654
4635646.759,-0.03444237,0.01324118,4.612965
4635646.859,-0.03411799,0.01356556,4.68141
