Time	Channel1	Channel2	Channel3
5.010049269E+6	-7.070725E-4	-1.400657E-2	5.731180E-1
5.010049368E+6	-3.302096E-3	-1.497970E-2	5.753887E-1
5.010049467E+6	-5.248363E-3	-1.562846E-2	5.714961E-1
5.010049568E+6	-4.275229E-3	-1.562846E-2	5.718205E-1
5.010049668E+6	-2.977718E-3	-1.368219E-2	5.718205E-1
5.010049768E+6	-2.653340E-3	-1.335781E-2	5.721449E-1
5.010049868E+6	-2.004584E-3	-1.465532E-2	5.718205E-1
5.010049968E+6	-2.653340E-3	-1.433094E-2	5.718205E-1
5.010050068E+6	-1.031450E-3	-1.465532E-2	5.714961E-1
5.010050168E+6	-3.826946E-4	-1.303343E-2	5.724693E-1
5.010050268E+6	1.887951E-3	-1.303343E-2	5.727936E-1
5.010050369E+6	2.536707E-3	-1.400657E-2	5.740912E-1
5.010050469E+6	2.536707E-3	-1.368219E-2	5.724693E-1
5.010050568E+6	3.185462E-3	-1.270905E-2	5.727936E-1
5.010050668E+6	2.861084E-3	-1.335781E-2	5.727936E-1
5.010050767E+6	2.536707E-3	-1.368219E-2	5.724693E-1
5.010050867E+6	1.239195E-3	-1.335781E-2	5.724693E-1
5.010050967E+6	-1.680206E-3	-1.692597E-2	5.721449E-1
5.010051067E+6	-2.328962E-3	-1.822348E-2	5.718205E-1
5.010051169E+6	-1.355828E-3	-1.854786E-2	5.714961E-1
5.010051267E+6	-1.031450E-3	-1.952099E-2	5.721449E-1
5.010051367E+6	-7.070725E-4	-1.887223E-2	5.721449E-1
5.010051466E+6	1.887951E-3	-2.016975E-2	5.753887E-1
5.010051567E+6	3.185462E-3	-1.854786E-2	5.766862E-1
5.010051667E+6	3.509840E-3	-1.725035E-2	5.770106E-1
5.010051767E+6	5.131730E-3	-1.562846E-2	5.731180E-1
5.010051868E+6	7.077997E-3	-1.238468E-2	5.760374E-1
5.010051967E+6	6.429241E-3	-1.043841E-2	5.750643E-1
5.010052068E+6	4.807352E-3	-1.141154E-2	5.747399E-1
5.010052168E+6	9.148170E-4	-1.238468E-2	5.766862E-1
5.010052268E+6	2.660612E-4	-1.465532E-2	5.727936E-1
5.010052368E+6	2.660612E-4	-1.660159E-2	5.718205E-1
5.010052468E+6	3.834218E-3	-1.757472E-2	5.734424E-1
5.010052569E+6	3.185462E-3	-1.627721E-2	5.724693E-1
5.010052668E+6	3.834218E-3	-1.335781E-2	5.727936E-1
5.010052767E+6	1.887951E-3	-1.206030E-2	5.724693E-1
5.010052868E+6	4.482974E-3	-1.368219E-2	5.731180E-1
5.010052968E+6	4.807352E-3	-1.530408E-2	5.731180E-1
5.010053068E+6	3.509840E-3	-1.530408E-2	5.724693E-1
5.010053169E+6	4.158596E-3	-1.627721E-2	5.727936E-1
5.010053269E+6	3.509840E-3	-1.595283E-2	5.740912E-1
5.010053366E+6	2.536707E-3	-1.789910E-2	5.731180E-1
5.010053467E+6	3.509840E-3	-1.757472E-2	5.721449E-1
5.010053568E+6	3.185462E-3	-1.725035E-2	5.724693E-1
5.010053669E+6	5.904391E-4	-1.660159E-2	5.718205E-1
5.010053768E+6	5.904391E-4	-1.433094E-2	5.721449E-1
5.010053867E+6	-1.680206E-3	-1.270905E-2	5.721449E-1
5.010053968E+6	-1.355828E-3	-1.173592E-2	5.721449E-1
5.010054068E+6	-2.977718E-3	-8.816520E-3	5.731180E-1
5.010054167E+6	-2.328962E-3	-8.492142E-3	5.724693E-1
5.010054267E+6	-2.328962E-3	-9.789654E-3	5.721449E-1
5.010054369E+6	-3.950852E-3	-9.465276E-3	5.727936E-1
5.010054468E+6	-2.977718E-3	-1.206030E-2	5.721449E-1
5.010054567E+6	-7.070725E-4	-1.303343E-2	5.721449E-1
5.010054669E+6	1.887951E-3	-1.368219E-2	5.721449E-1
5.010054767E+6	9.148170E-4	-1.335781E-2	5.727936E-1
5.010054868E+6	2.660612E-4	-1.238468E-2	5.721449E-1
5.010054968E+6	-5.831672E-5	-1.011403E-2	5.731180E-1
5.010055067E+6	-5.831672E-5	-1.076279E-2	5.724693E-1
5.010055168E+6	-7.070725E-4	-9.465276E-3	5.724693E-1
5.010055267E+6	-2.004584E-3	-8.816520E-3	5.724693E-1
5.010055368E+6	-2.977718E-3	-1.011403E-2	5.727936E-1
5.010055468E+6	-2.328962E-3	-1.173592E-2	5.721449E-1
5.010055568E+6	-2.328962E-3	-1.141154E-2	5.724693E-1
5.010055667E+6	-3.302096E-3	-1.270905E-2	5.724693E-1
5.010055768E+6	-3.302096E-3	-1.303343E-2	5.724693E-1
5.010055867E+6	-2.977718E-3	-1.303343E-2	5.718205E-1
5.010055967E+6	-2.328962E-3	-1.433094E-2	5.718205E-1
5.010056068E+6	-7.070725E-4	-1.919661E-2	5.714961E-1
5.010056169E+6	-5.831672E-5	-2.016975E-2	5.711718E-1
5.010056266E+6	2.861084E-3	-1.984537E-2	5.721449E-1
5.010056367E+6	3.185462E-3	-1.984537E-2	5.718205E-1
5.010056468E+6	-5.831672E-5	-2.244039E-2	5.714961E-1
5.010056568E+6	-2.004584E-3	-2.179164E-2	5.711718E-1
5.010056668E+6	-3.950852E-3	-2.049412E-2	5.708474E-1
5.010056768E+6	-2.977718E-3	-1.692597E-2	5.714961E-1
5.010056868E+6	-4.275229E-3	-1.595283E-2	5.714961E-1
5.010056968E+6	-2.328962E-3	-1.789910E-2	5.718205E-1
5.010057067E+6	-5.831672E-5	-1.627721E-2	5.718205E-1
5.010057167E+6	-3.826946E-4	-1.660159E-2	5.721449E-1
5.010057266E+6	1.563573E-3	-1.887223E-2	5.718205E-1
5.010057369E+6	9.148170E-4	-1.789910E-2	5.721449E-1
5.010057467E+6	2.536707E-3	-1.822348E-2	5.721449E-1
5.010057568E+6	1.563573E-3	-1.660159E-2	5.731180E-1
5.010057667E+6	1.563573E-3	-1.530408E-2	5.721449E-1
5.010057768E+6	3.185462E-3	-1.335781E-2	5.724693E-1
5.010057867E+6	2.212329E-3	-1.206030E-2	5.724693E-1
5.010057969E+6	-1.031450E-3	-1.335781E-2	5.724693E-1
5.010058069E+6	-2.977718E-3	-1.173592E-2	5.724693E-1
5.010058166E+6	-2.653340E-3	-1.206030E-2	5.718205E-1
5.010058268E+6	-4.275229E-3	-1.270905E-2	5.721449E-1
5.010058368E+6	-4.923985E-3	-1.562846E-2	5.740912E-1
5.010058467E+6	-4.923985E-3	-1.270905E-2	5.721449E-1
5.010058568E+6	-6.221497E-3	-1.043841E-2	5.721449E-1
5.010058668E+6	-7.843386E-3	-9.789654E-3	5.718205E-1
5.010058767E+6	-6.870253E-3	-1.173592E-2	5.714961E-1
