Time,Channel1,Channel2,Channel3
5010049.368,-0.003302096,-0.0149797,0.5753887
5010049.467,-0.005248363,-0.01562846,0.5714961
5010049.568,-0.004275229,-0.01562846,0.5718205
5010049.668,-0.002977718,-0.01368219,0.5718205
5010049.768,-0.00265334,-0.01335781,0.5721449
5010049.868,-0.002004584,-0.01465532,0.5718205
5010049.968,-0.00265334,-0.01433094,0.5718205
5010050.068,-0.00103145,-0.01465532,0.5714961
5010050.168,-0.0003826946,-0.01303343,0.5724693
5010050.268,0.001887951,-0.01303343,0.5727936
5010050.369,0.002536707,-0.01400657,0.5740912
5010050.469,0.002536707,-0.01368219,0.5724693
5010050.568,0.003185462,-0.01270905,0.5727936
5010050.668,0.002861084,-0.01335781,0.5727936
5010050.767,0.002536707,-0.01368219,0.5724693
5010050.867,0.001239195,-0.01335781,0.5724693
5010050.967,-0.001680206,-0.01692597,0.5721449
5010051.067,-0.002328962,-0.01822348,0.5718205
5010051.169,-0.001355828,-0.01854786,0.5714961
5010051.267,-0.00103145,-0.01952099,0.5721449
5010051.367,-0.0007070725,-0.01887223,0.5721449
5010051.466,0.001887951,-0.02016975,0.5753887
5010051.567,0.003185462,-0.01854786,0.5766862
5010051.667,0.00350984,-0.01725035,0.5770106
5010051.767,0.00513173,-0.01562846,0.573118
5010051.868,0.007077997,-0.01238468,0.5760374
5010051.967,0.006429241,-0.01043841,0.5750643
5010052.068,0.004807352,-0.01141154,0.5747399
5010052.168,0.000914817,-0.01238468,0.5766862
5010052.268,0.0002660612,-0.01465532,0.5727936
5010052.368,0.0002660612,-0.01660159,0.5718205
5010052.468,0.003834218,-0.01757472,0.5734424
5010052.569,0.003185462,-0.01627721,0.5724693
5010052.668,0.003834218,-0.01335781,0.5727936
5010052.767,0.001887951,-0.0120603,0.5724693
5010052.868,0.004482974,-0.01368219,0.573118
5010052.968,0.004807352,-0.01530408,0.573118
5010053.068,0.00350984,-0.01530408,0.5724693
5010053.169,0.004158596,-0.01627721,0.5727936
5010053.269,0.00350984,-0.01595283,0.5740912
5010053.366,0.002536707,-0.0178991,0.573118
5010053.467,0.00350984,-0.01757472,0.5721449
5010053.568,0.003185462,-0.01725035,0.5724693
5010053.669,0.0005904391,-0.01660159,0.5718205
5010053.768,0.0005904391,-0.01433094,0.5721449
5010053.867,-0.001680206,-0.01270905,0.5721449
5010053.968,-0.001355828,-0.01173592,0.5721449
5010054.068,-0.002977718,-0.00881652,0.573118
5010054.167,-0.002328962,-0.008492142,0.5724693
5010054.267,-0.002328962,-0.009789654,0.5721449
5010054.369,-0.003950852,-0.009465276,0.5727936
5010054.468,-0.002977718,-0.0120603,0.5721449
5010054.567,-0.0007070725,-0.01303343,0.5721449
5010054.669,0.001887951,-0.01368219,0.5721449
5010054.767,0.000914817,-0.01335781,0.5727936
5010054.868,0.0002660612,-0.01238468,0.5721449
5010054.968,-5.831672e-05,-0.01011403,0.573118
5010055.067,-5.831672e-05,-0.01076279,0.5724693
5010055.168,-0.0007070725,-0.009465276,0.5724693
5010055.267,-0.002004584,-0.00881652,0.5724693
5010055.368,-0.002977718,-0.01011403,0.5727936
5010055.468,-0.002328962,-0.01173592,0.5721449
5010055.568,-0.002328962,-0.01141154,0.5724693
5010055.667,-0.003302096,-0.01270905,0.5724693
5010055.768,-0.003302096,-0.01303343,0.5724693
5010055.867,-0.002977718,-0.01303343,0.5718205
5010055.967,-0.002328962,-0.01433094,0.5718205
5010056.068,-0.0007070725,-0.01919661,0.5714961
5010056.169,-5.831672e-05,-0.02016975,0.5711718
5010056.266,0.002861084,-0.01984537,0.5721449
5010056.367,0.003185462,-0.01984537,0.5718205
5010056.468,-5.831672e-05,-0.02244039,0.5714961
5010056.568,-0.002004584,-0.02179164,0.5711718
5010056.668,-0.003950852,-0.02049412,0.5708474
5010056.768,-0.002977718,-0.01692597,0.5714961
5010056.868,-0.004275229,-0.01595283,0.5714961
5010056.968,-0.002328962,-0.0178991,0.5718205
5010057.067,-5.831672e-05,-0.01627721,0.5718205
5010057.167,-0.0003826946,-0.01660159,0.5721449
5010057.266,0.001563573,-0.01887223,0.5718205
5010057.369,0.000914817,-0.0178991,0.5721449
5010057.467,0.002536707,-0.01822348,0.5721449
5010057.568,0.001563573,-0.01660159,0.573118
5010057.667,0.001563573,-0.01530408,0.5721449
5010057.768,0.003185462,-0.01335781,0.5724693
5010057.867,0.002212329,-0.0120603,0.5724693
5010057.969,-0.00103145,-0.01335781,0.5724693
5010058.069,-0.002977718,-0.01173592,0.5724693
5010058.166,-0.00265334,-0.0120603,0.5718205
5010058.268,-0.004275229,-0.01270905,0.5721449
5010058.368,-0.004923985,-0.01562846,0.5740912
5010058.467,-0.004923985,-0.01270905,0.5721449
5010058.568,-0.006221497,-0.01043841,0.5721449
5010058.668,-0.007843386,-0.009789654,0.5718205
5010058.767,-0.006870253,-0.01173592,0.5714961
5010058.867,-0.003950852,-0.01270905,0.5714961
5010058.967,-0.0007070725,-0.0149797,0.5721449
5010059.068,0.0002660612,-0.01465532,0.5724693
5010059.166,0.0005904391,-0.01562846,0.5724693
5010059.268,0.001887951,-0.01530408,0.5721449
5010059.369,0.002212329,-0.01465532,0.5727936
5010059.469,0.00350984,-0.01368219,0.573118
5010059.569,0.00513173,-0.01530408,0.573118
5010059.667,0.008051131,-0.01465532,0.573118
5010059.768,0.009348643,-0.01270905,0.5737668
5010059.869,0.009024265,-0.01465532,0.5734424
5010059.969,0.008375509,-0.0149797,0.573118
5010060.067,0.007077997,-0.01335781,0.5737668
5010060.167,0.005456108,-0.01173592,0.573118
5010060.269,0.00350984,-0.01108717,0.5734424
5010060.369,0.003185462,-0.01270905,0.573118
5010060.468,0.001239195,-0.01141154,0.5727936
5010060.568,0.002212329,-0.01011403,0.5737668
5010060.667,0.001563573,-0.009465276,0.5734424
5010060.769,0.001239195,-0.01141154,0.5734424
5010060.867,0.001563573,-0.01076279,0.573118
5010060.968,0.0002660612,-0.01335781,0.5721449
5010061.066,-0.001680206,-0.01433094,0.5724693
5010061.167,-0.002004584,-0.0149797,0.5721449
5010061.268,-0.002977718,-0.01303343,0.5734424
5010061.368,-0.003302096,-0.01076279,0.573118
5010061.468,-0.002977718,-0.009789654,0.573118
5010061.568,-0.002004584,-0.009465276,0.5727936
5010061.668,-0.001355828,-0.01335781,0.5724693
5010061.768,-0.00103145,-0.01530408,0.5718205
5010061.867,0.001239195,-0.01692597,0.5721449
5010061.968,-0.001680206,-0.01757472,0.5718205
5010062.068,-0.002004584,-0.01530408,0.5718205
5010062.168,-0.001355828,-0.01562846,0.5718205
5010062.269,0.0002660612,-0.01530408,0.5724693
5010062.368,0.002212329,-0.01465532,0.5724693
5010062.467,0.002536707,-0.01465532,0.5727936
5010062.567,0.002861084,-0.01562846,0.573118
5010062.669,0.00350984,-0.01562846,0.5727936
5010062.769,0.005456108,-0.0149797,0.5727936
5010062.868,0.006104864,-0.01660159,0.573118
5010062.967,0.006104864,-0.01627721,0.573118
5010063.068,0.004482974,-0.01465532,0.5727936
5010063.167,0.003834218,-0.01433094,0.5727936
5010063.267,0.004158596,-0.01335781,0.573118
5010063.368,0.00513173,-0.01270905,0.573118
5010063.467,0.006429241,-0.01108717,0.5740912
5010063.568,0.00513173,-0.01076279,0.5737668
5010063.668,0.004807352,-0.01108717,0.573118
5010063.768,0.006104864,-0.01076279,0.5737668
5010063.867,0.007402375,-0.01238468,0.5734424
5010063.967,0.005456108,-0.01270905,0.5734424
5010064.067,0.002536707,-0.01562846,0.5737668
5010064.168,0.002212329,-0.01627721,0.5727936
5010064.268,0.003834218,-0.01627721,0.5724693
5010064.368,0.002536707,-0.01595283,0.5727936
5010064.467,0.001239195,-0.01562846,0.5721449
5010064.567,0.001239195,-0.01335781,0.5727936
5010064.667,0.00350984,-0.01335781,0.5724693
5010064.768,0.005456108,-0.01595283,0.5727936
5010064.869,0.005456108,-0.01530408,0.573118
5010064.968,0.004807352,-0.01465532,0.5727936
5010065.068,0.003834218,-0.01433094,0.5727936
5010065.167,0.003185462,-0.01530408,0.5724693
5010065.268,0.002861084,-0.01465532,0.5727936
5010065.368,-5.831672e-05,-0.01465532,0.5727936
5010065.468,-0.002004584,-0.01465532,0.5727936
5010065.568,-0.00103145,-0.01660159,0.5724693
5010065.667,0.000914817,-0.0178991,0.5718205
5010065.769,0.001887951,-0.01757472,0.5721449
5010065.868,0.003834218,-0.01595283,0.5724693
5010065.968,0.004482974,-0.01400657,0.5727936
5010066.068,0.005780486,-0.0149797,0.5727936
5010066.168,0.004158596,-0.01660159,0.5724693
5010066.268,0.004158596,-0.01692597,0.5727936
5010066.369,0.00513173,-0.0178991,0.5727936
5010066.467,0.006753619,-0.01595283,0.573118
5010066.568,0.008051131,-0.01627721,0.5734424
5010066.668,0.009024265,-0.02016975,0.5724693
5010066.768,0.007726753,-0.02114288,0.5721449
5010066.867,0.008375509,-0.02146726,0.5740912
5010066.967,0.007726753,-0.01919661,0.5770106
5010067.067,0.005780486,-0.01822348,0.5770106
5010067.167,0.002536707,-0.01562846,0.5760374
5010067.268,0.000914817,-0.01270905,0.573118
5010067.368,-0.0007070725,-0.01562846,0.5760374
5010067.469,-5.831672e-05,-0.01530408,0.573118
5010067.569,0.0005904391,-0.01692597,0.5750643
5010067.667,0.001887951,-0.01627721,0.5734424
5010067.767,0.005456108,-0.01660159,0.5737668
5010067.867,0.004482974,-0.01854786,0.5727936
5010067.968,0.001887951,-0.01757472,0.5724693
5010068.068,0.002212329,-0.01627721,0.5727936
5010068.168,0.0005904391,-0.0178991,0.5718205
5010068.268,-0.002977718,-0.01757472,0.5721449
5010068.368,-0.002328962,-0.01530408,0.5721449
5010068.468,-0.001355828,-0.01400657,0.5724693
5010068.568,0.001239195,-0.01368219,0.5724693
5010068.668,0.000914817,-0.01108717,0.5727936
5010068.769,-0.0003826946,-0.009465276,0.5727936
5010068.869,-0.001355828,-0.00881652,0.5727936
5010068.968,-0.00103145,-0.01011403,0.5727936
5010069.068,0.002536707,-0.01173592,0.573118
5010069.167,0.001887951,-0.01335781,0.5727936
5010069.268,-0.001355828,-0.01335781,0.5727936
5010069.368,-0.001680206,-0.01141154,0.5724693
5010069.469,-0.002004584,-0.01108717,0.573118
5010069.567,-0.0007070725,-0.01043841,0.5727936
5010069.669,-0.003302096,-0.01076279,0.5721449
5010069.768,-0.003626474,-0.01400657,0.5714961
5010069.868,-0.003626474,-0.01627721,0.5714961
5010069.968,-0.003302096,-0.01822348,0.5714961
5010070.068,-0.0007070725,-0.01854786,0.5714961
5010070.168,-0.001355828,-0.01919661,0.5714961
5010070.268,-0.001355828,-0.0178991,0.5718205
5010070.368,-5.831672e-05,-0.01822348,0.5721449
5010070.467,0.0002660612,-0.01465532,0.5721449
5010070.568,-0.001355828,-0.01270905,0.5724693
5010070.667,-0.0003826946,-0.01303343,0.5721449
5010070.769,0.0002660612,-0.01465532,0.5724693
5010070.867,0.002212329,-0.01465532,0.5718205
5010070.968,0.002861084,-0.0149797,0.5724693
5010071.069,0.002212329,-0.01400657,0.573118
5010071.168,0.001563573,-0.01335781,0.5721449
5010071.268,0.001239195,-0.01368219,0.573118
5010071.368,0.001563573,-0.01530408,0.5734424
5010071.469,0.0002660612,-0.01757472,0.5724693
5010071.569,0.0005904391,-0.01984537,0.5721449
5010071.667,-0.002328962,-0.01919661,0.5711718
5010071.769,-0.002328962,-0.01984537,0.5714961
5010071.868,-0.001680206,-0.01627721,0.5711718
5010071.969,0.0005904391,-0.01303343,0.5721449
5010072.069,-5.831672e-05,-0.0120603,0.5727936
5010072.167,-5.831672e-05,-0.01270905,0.5724693
5010072.267,0.0002660612,-0.01238468,0.5721449
5010072.368,-0.001355828,-0.01141154,0.5724693
5010072.468,-0.001355828,-0.01368219,0.5727936
5010072.568,0.0002660612,-0.01433094,0.5727936
5010072.667,-0.001355828,-0.01400657,0.5718205
5010072.767,0.000914817,-0.01660159,0.5718205
5010072.869,0.0005904391,-0.01660159,0.5721449
5010072.968,0.002861084,-0.01660159,0.5724693
5010073.068,0.00350984,-0.01530408,0.573118
5010073.167,0.004807352,-0.01400657,0.5727936
5010073.268,0.008699887,-0.01368219,0.5734424
5010073.367,0.008375509,-0.01433094,0.5757131
5010073.467,0.009024265,-0.01530408,0.5737668
5010073.568,0.006753619,-0.01465532,0.5740912
5010073.668,0.005456108,-0.01368219,0.573118
5010073.769,0.004158596,-0.01335781,0.573118
5010073.869,0.004158596,-0.01400657,0.5727936
5010073.967,0.004807352,-0.01433094,0.5727936
5010074.068,0.003834218,-0.01530408,0.5727936
5010074.168,0.002212329,-0.0149797,0.5724693
5010074.268,0.0005904391,-0.0149797,0.5724693
5010074.369,-0.001355828,-0.01400657,0.5724693
5010074.467,-0.002004584,-0.01335781,0.5724693
5010074.567,-0.00265334,-0.01173592,0.5724693
5010074.668,-0.002977718,-0.01141154,0.5721449
5010074.767,-0.005248363,-0.01011403,0.5721449
5010074.868,-0.005572741,-0.01076279,0.5721449
5010074.968,-0.005572741,-0.01141154,0.5718205
5010075.068,-0.003950852,-0.0120603,0.5721449
5010075.167,-0.003302096,-0.01108717,0.5721449
5010075.267,-0.002977718,-0.01043841,0.5724693
5010075.368,-0.002977718,-0.01335781,0.5724693
5010075.467,-0.004923985,-0.0149797,0.5721449
5010075.568,-0.005572741,-0.01433094,0.5718205
5010075.668,-0.00265334,-0.01335781,0.5721449
5010075.768,0.001239195,-0.01368219,0.5724693
5010075.869,0.000914817,-0.01433094,0.5724693
5010075.968,-0.0007070725,-0.01400657,0.5721449
5010076.067,-0.0007070725,-0.01465532,0.5724693
5010076.168,-0.001355828,-0.0149797,0.5724693
5010076.268,0.001563573,-0.01562846,0.5724693
5010076.368,0.004158596,-0.0149797,0.5734424
5010076.469,0.002212329,-0.01530408,0.573118
5010076.567,-0.0003826946,-0.01433094,0.5727936
5010076.668,0.000914817,-0.01530408,0.5721449
5010076.768,0.002212329,-0.0149797,0.5724693
5010076.868,-0.0007070725,-0.01433094,0.5724693
5010076.967,-5.831672e-05,-0.01465532,0.5724693
5010077.067,0.003185462,-0.01595283,0.5727936
5010077.168,0.005456108,-0.01433094,0.573118
5010077.268,0.004482974,-0.01335781,0.5737668
5010077.368,0.004482974,-0.01335781,0.5737668
5010077.468,0.003834218,-0.01368219,0.5737668
5010077.567,0.001239195,-0.01368219,0.5734424
5010077.668,0.003834218,-0.01368219,0.5724693
5010077.768,0.005456108,-0.01335781,0.573118
5010077.868,0.003185462,-0.01400657,0.5727936
5010077.969,0.002536707,-0.0149797,0.5727936
5010078.068,0.003834218,-0.01692597,0.5727936
5010078.168,0.006104864,-0.01660159,0.573118
5010078.268,0.005780486,-0.01465532,0.573118
5010078.369,0.005456108,-0.01595283,0.5747399
5010078.467,0.002212329,-0.01433094,0.5734424
5010078.568,0.001563573,-0.01757472,0.573118
5010078.667,0.000914817,-0.01887223,0.5721449
5010078.767,-0.0003826946,-0.0178991,0.5721449
5010078.867,0.0002660612,-0.01757472,0.5721449
5010078.968,0.0005904391,-0.01627721,0.5724693
