Time	Channel1	Channel2	Channel3
4.975237368E+6	2.861084E-3	-1.206030E-2	9.500462E-1
4.975237467E+6	2.861084E-3	-1.206030E-2	9.493974E-1
4.975237567E+6	3.185462E-3	-1.238468E-2	9.497218E-1
4.975237666E+6	2.861084E-3	-1.206030E-2	9.497218E-1
4.975237767E+6	1.563573E-3	-1.011403E-2	9.493974E-1
4.975237867E+6	1.239195E-3	-1.076279E-2	9.493974E-1
4.975237968E+6	1.887951E-3	-1.108717E-2	9.500462E-1
4.975238067E+6	1.887951E-3	-1.173592E-2	9.506950E-1
4.975238167E+6	2.861084E-3	-1.173592E-2	9.506950E-1
4.975238267E+6	3.834218E-3	-1.076279E-2	9.493974E-1
4.975238367E+6	2.212329E-3	-1.076279E-2	9.500462E-1
4.975238467E+6	9.148170E-4	-1.076279E-2	9.490731E-1
4.975238568E+6	9.148170E-4	-1.108717E-2	9.497218E-1
4.975238666E+6	1.887951E-3	-1.173592E-2	9.493974E-1
4.975238768E+6	1.887951E-3	-1.303343E-2	9.493974E-1
4.975238866E+6	3.185462E-3	-1.270905E-2	9.493974E-1
4.975238967E+6	1.887951E-3	-1.335781E-2	9.493974E-1
4.975239067E+6	2.536707E-3	-1.238468E-2	9.493974E-1
4.975239166E+6	2.861084E-3	-1.270905E-2	9.493974E-1
4.975239267E+6	9.148170E-4	-1.206030E-2	9.487487E-1
