Time,Channel1,Channel2,Channel3
4967803.668,0.000914817,-0.0120603,1.082068
4967803.767,-5.831672e-05,-0.01238468,1.081744
4967803.867,-5.831672e-05,-0.01303343,1.08142
4967803.967,0.001563573,-0.01238468,1.082068
4967804.067,0.002536707,-0.01270905,1.082068
4967804.167,0.002212329,-0.01270905,1.081744
4967804.267,0.002212329,-0.01335781,1.082068
4967804.368,0.001887951,-0.01303343,1.082717
4967804.467,0.001239195,-0.01270905,1.083042
4967804.569,0.000914817,-0.0120603,1.083366
4967804.668,0.000914817,-0.01141154,1.08369
4967804.767,0.001563573,-0.0120603,1.081744
4967804.867,0.001563573,-0.0120603,1.082393
4967804.966,0.001887951,-0.01076279,1.082393
4967805.067,0.001239195,-0.009789654,1.082068
4967805.169,0.001887951,-0.009789654,1.082717
4967805.267,0.001563573,-0.009789654,1.083366
4967805.367,0.0005904391,-0.01011403,1.083366
4967805.467,0.001239195,-0.01141154,1.083042
4967805.566,0.001239195,-0.01335781,1.083366
4967805.669,0.001239195,-0.01270905,1.083042
4967805.767,0.001239195,-0.0120603,1.082717
4967805.868,0.001563573,-0.01173592,1.082717
4967805.967,0.001563573,-0.01303343,1.081744
4967806.067,0.001563573,-0.01368219,1.08142
4967806.167,0.001563573,-0.01335781,1.082068
4967806.268,0.001887951,-0.01238468,1.082717
4967806.368,0.0005904391,-0.01108717,1.082717
4967806.467,0.001887951,-0.01108717,1.083042
4967806.567,0.002212329,-0.01173592,1.083042
4967806.666,0.003185462,-0.0120603,1.082393
4967806.767,0.002212329,-0.01173592,1.082393
4967806.867,0.001887951,-0.01076279,1.082393
4967806.968,0.001887951,-0.01076279,1.082068
4967807.068,0.002212329,-0.01108717,1.081744
4967807.168,0.001887951,-0.0120603,1.080771
4967807.268,0.002212329,-0.01141154,1.082068
4967807.368,0.002212329,-0.01141154,1.081744
4967807.466,0.002212329,-0.01076279,1.082393
4967807.567,0.002861084,-0.01173592,1.082068
4967807.667,0.002212329,-0.01108717,1.08142
4967807.767,0.001887951,-0.01141154,1.080771
4967807.868,0.001887951,-0.01108717,1.080122
4967807.968,0.002212329,-0.01043841,1.080771
4967808.066,0.001887951,-0.01076279,1.080771
4967808.167,0.001563573,-0.01173592,1.080771
4967808.268,0.001563573,-0.0120603,1.08142
4967808.367,0.002536707,-0.0120603,1.082068
4967808.467,0.003185462,-0.01173592,1.082068
4967808.567,0.003185462,-0.01173592,1.081744
4967808.666,0.002861084,-0.01303343,1.08142
4967808.769,0.002536707,-0.0149797,1.081095
4967808.867,0.002212329,-0.0149797,1.080447
4967808.967,0.002212329,-0.0149797,1.080447
4967809.067,0.00350984,-0.01465532,1.080771
4967809.169,0.00350984,-0.01400657,1.08142
4967809.266,0.003185462,-0.01335781,1.082393
4967809.367,0.003185462,-0.01303343,1.083042
4967809.467,0.002861084,-0.01270905,1.082717
4967809.567,0.002212329,-0.01335781,1.083366
4967809.667,0.0002660612,-0.01335781,1.082717
4967809.767,0.000914817,-0.01335781,1.082717
4967809.866,0.001239195,-0.01335781,1.083042
4967809.967,0.001563573,-0.01400657,1.082068
4967810.067,0.000914817,-0.01400657,1.082068
4967810.167,0.001239195,-0.01335781,1.082393
4967810.267,0.001887951,-0.01270905,1.08369
4967810.368,0.002212329,-0.01173592,1.08369
4967810.466,0.002212329,-0.0120603,1.084015
4967810.566,0.002212329,-0.0120603,1.084339
4967810.669,0.002861084,-0.01173592,1.084015
4967810.767,0.003185462,-0.01043841,1.084664
4967810.867,0.002212329,-0.01108717,1.083042
4967810.966,0.002536707,-0.01108717,1.083366
4967811.068,0.002212329,-0.01043841,1.083366
4967811.167,0.002212329,-0.01141154,1.083366
4967811.266,0.001239195,-0.0120603,1.084339
4967811.367,0.001563573,-0.01303343,1.084339
4967811.468,0.001563573,-0.01335781,1.084339
4967811.568,0.001563573,-0.01335781,1.084339
4967811.667,0.001239195,-0.01303343,1.084015
4967811.767,0.001563573,-0.01270905,1.084015
4967811.866,-0.0003826946,-0.01141154,1.084015
4967811.967,0.0002660612,-0.01173592,1.084015
4967812.068,-5.831672e-05,-0.01173592,1.083366
4967812.167,0.0005904391,-0.01173592,1.084339
4967812.269,0.0002660612,-0.01141154,1.085637
4967812.367,0.0002660612,-0.01108717,1.085637
4967812.466,0.000914817,-0.01108717,1.085312
4967812.568,0.001239195,-0.01108717,1.084988
4967812.668,0.001563573,-0.01076279,1.084339
4967812.768,0.001887951,-0.01108717,1.084988
4967812.867,0.001239195,-0.01173592,1.08369
4967812.968,0.000914817,-0.0120603,1.087259
4967813.068,0.001887951,-0.01270905,1.088232
4967813.167,0.002212329,-0.01303343,1.088232
4967813.268,0.001563573,-0.01270905,1.085637
4967813.367,0.001887951,-0.01270905,1.084664
4967813.468,0.002212329,-0.01303343,1.08661
4967813.567,0.002536707,-0.01433094,1.084664
4967813.667,0.003185462,-0.0149797,1.087259
4967813.768,0.002861084,-0.01433094,1.084664
4967813.866,0.002861084,-0.01368219,1.084339
4967813.967,0.002536707,-0.01303343,1.084339
4967814.067,0.002536707,-0.01303343,1.084339
4967814.167,0.001563573,-0.01238468,1.084339
4967814.267,0.0005904391,-0.01141154,1.084988
4967814.366,0.0002660612,-0.01141154,1.084988
4967814.468,0.0005904391,-0.01141154,1.085312
4967814.567,0.000914817,-0.01238468,1.085312
4967814.668,0.001239195,-0.01108717,1.084988
4967814.767,0.001563573,-0.01141154,1.084664
4967814.869,0.001563573,-0.01141154,1.084664
4967814.966,0.001563573,-0.0120603,1.084988
4967815.067,0.001239195,-0.01173592,1.084664
4967815.166,0.001887951,-0.01141154,1.085312
4967815.267,0.001563573,-0.01141154,1.085961
4967815.368,0.001239195,-0.01238468,1.085961
4967815.469,0.002536707,-0.01238468,1.085961
4967815.567,0.00350984,-0.01270905,1.085961
4967815.668,0.003185462,-0.0120603,1.085961
4967815.768,0.002536707,-0.01173592,1.085312
4967815.868,0.001887951,-0.01238468,1.084988
4967815.967,0.000914817,-0.01270905,1.085312
4967816.066,0.0002660612,-0.01335781,1.085637
4967816.166,-0.0003826946,-0.01400657,1.085312
4967816.267,-0.00103145,-0.01303343,1.08661
4967816.368,0.000914817,-0.01270905,1.08661
4967816.467,0.001887951,-0.01270905,1.086285
4967816.568,0.002861084,-0.01368219,1.085961
4967816.668,0.002212329,-0.01303343,1.086285
4967816.768,0.002861084,-0.0120603,1.086285
4967816.867,0.002861084,-0.01335781,1.086934
4967816.967,0.003185462,-0.01400657,1.086285
4967817.067,0.002861084,-0.01433094,1.086934
4967817.166,0.002536707,-0.01433094,1.086934
4967817.267,0.002536707,-0.01465532,1.087907
4967817.367,0.001887951,-0.01368219,1.088556
4967817.468,0.002212329,-0.01238468,1.088232
4967817.567,0.001563573,-0.01141154,1.087583
4967817.668,0.001887951,-0.01108717,1.087583
4967817.767,0.001563573,-0.01141154,1.090502
4967817.868,0.002536707,-0.01173592,1.088232
4967817.967,0.001887951,-0.01303343,1.087907
4967818.066,0.002536707,-0.01270905,1.087907
4967818.167,0.002212329,-0.01238468,1.088232
4967818.267,0.002861084,-0.0120603,1.08888
4967818.367,0.002861084,-0.0120603,1.08888
4967818.469,0.002212329,-0.01238468,1.08888
4967818.568,0.001887951,-0.01238468,1.089854
4967818.668,0.001563573,-0.01141154,1.087583
4967818.768,0.0005904391,-0.01238468,1.087907
4967818.867,-5.831672e-05,-0.01238468,1.087259
4967818.967,-5.831672e-05,-0.0120603,1.087583
4967819.067,0.001239195,-0.01270905,1.087907
4967819.167,0.001563573,-0.01238468,1.087583
4967819.268,0.003185462,-0.01238468,1.08888
4967819.367,0.00350984,-0.01173592,1.089205
4967819.467,0.003185462,-0.01173592,1.08888
4967819.567,0.002861084,-0.01238468,1.088556
4967819.667,0.002212329,-0.01335781,1.088232
4967819.768,0.001239195,-0.01303343,1.088556
4967819.867,0.001563573,-0.01303343,1.088556
4967819.967,0.000914817,-0.01270905,1.087907
4967820.067,0.0005904391,-0.01270905,1.087907
4967820.168,-5.831672e-05,-0.0120603,1.087907
4967820.268,0.000914817,-0.01238468,1.08888
4967820.366,-5.831672e-05,-0.01238468,1.08888
4967820.467,-5.831672e-05,-0.01270905,1.088232
4967820.566,-5.831672e-05,-0.01303343,1.088232
4967820.668,0.0002660612,-0.01433094,1.08888
4967820.767,0.0005904391,-0.01433094,1.089854
