Time,Channel1,Channel2,Channel3
4726826.638,-1.116565,0.7979125,0.004158596
4726826.738,-1.117214,0.7975881,0.003834218
4726826.838,-1.115916,0.7975881,0.00350984
4726826.937,-1.116241,0.7979125,0.003834218
4726827.038,-1.113321,0.7985612,0.003185462
4726827.138,-1.113321,0.7988856,0.00350984
4726827.238,-1.114294,0.7988856,0.00350984
4726827.338,-1.114619,0.7985612,0.003185462
4726827.438,-1.113321,0.7982368,0.003185462
4726827.538,-1.112348,0.7982368,0.003185462
4726827.638,-1.112024,0.7975881,0.002861084
4726827.737,-1.111699,0.7975881,0.003185462
4726827.838,-1.113321,0.7972637,0.003185462
4726827.938,-1.113646,0.7979125,0.002861084
4726828.038,-1.112348,0.7982368,0.003185462
4726828.138,-1.112024,0.7982368,0.002861084
4726828.238,-1.111699,0.7975881,0.002536707
4726828.339,-1.111051,0.7975881,0.002861084
4726828.438,-1.112673,0.7979125,0.003185462
4726828.539,-1.112673,0.7979125,0.002536707
4726828.638,-1.112348,0.7979125,0.002536707
4726828.737,-1.109753,0.7985612,0.002861084
4726828.838,-1.109429,0.7988856,0.002536707
4726828.94,-1.110078,0.7979125,0.002536707
4726829.039,-1.111051,0.7985612,0.002536707
4726829.138,-1.110726,0.7979125,0.002536707
4726829.239,-1.110726,0.7982368,0.002212329
4726829.338,-1.110402,0.7985612,0.002536707
4726829.438,-1.111699,0.7985612,0.002212329
4726829.537,-1.112673,0.7985612,0.002536707
4726829.638,-1.114619,0.7982368,0.002536707
4726829.737,-1.11397,0.7982368,0.002212329
4726829.838,-1.112997,0.7982368,0.002212329
4726829.937,-1.111375,0.7982368,0.001887951
4726830.038,-1.110078,0.7979125,0.002212329
4726830.139,-1.111699,0.7975881,0.002212329
4726830.238,-1.112673,0.7982368,0.002212329
4726830.337,-1.113646,0.7982368,0.002212329
4726830.438,-1.111699,0.7979125,0.002212329
4726830.539,-1.110402,0.7982368,0.002212329
4726830.638,-1.109753,0.7979125,0.002212329
4726830.739,-1.110078,0.7979125,0.002212329
4726830.839,-1.110078,0.7975881,0.001887951
4726830.938,-1.111375,0.7975881,0.001887951
4726831.039,-1.109753,0.7979125,0.001887951
4726831.138,-1.107483,0.7982368,0.001887951
4726831.239,-1.106834,0.7985612,0.002212329
4726831.338,-1.109429,0.7979125,0.001887951
4726831.438,-1.111051,0.7982368,0.002212329
4726831.539,-1.113321,0.7985612,0.001887951
4726831.639,-1.111051,0.7988856,0.001887951
4726831.737,-1.111051,0.7985612,0.001887951
4726831.84,-1.109104,0.7982368,0.001239195
4726831.938,-1.109104,0.7982368,0.001887951
4726832.038,-1.10878,0.7982368,0.001887951
4726832.138,-1.112348,0.7979125,0.002212329
4726832.238,-1.111699,0.7975881,0.001563573
4726832.339,-1.111699,0.7975881,0.001563573
4726832.438,-1.111375,0.7979125,0.001887951
4726832.539,-1.110078,0.7979125,0.001563573
4726832.638,-1.108131,0.7982368,0.001887951
4726832.738,-1.107807,0.7982368,0.001563573
4726832.837,-1.107807,0.7982368,0.001563573
4726832.938,-1.108456,0.7985612,0.001563573
4726833.04,-1.108131,0.7982368,0.001887951
4726833.138,-1.106834,0.7975881,1.950758
4726833.239,-1.106834,0.796615,2.928767
4726833.337,-1.107807,0.7969393,3.225901
4726833.439,-1.109753,0.7975881,3.321918
4726833.539,-1.109753,0.7975881,3.355654
4726833.64,-1.110078,0.7979125,3.368953
4726833.74,-1.110078,0.7979125,3.375441
4726833.84,-1.110726,0.7979125,3.378685
4726833.938,-1.109753,0.7975881,3.380307
4726834.039,-1.110402,0.7975881,3.382253
4726834.138,-1.112348,0.7982368,3.383551
4726834.238,-1.112348,0.7975881,3.384199
4726834.34,-1.112673,0.7969393,3.385173
4726834.439,-1.112024,0.7975881,3.385821
4726834.538,-1.111051,0.7972637,3.385821
4726834.638,-1.110402,0.7972637,3.386794
4726834.739,-1.111051,0.7975881,3.387443
4726834.84,-1.112024,0.7979125,3.387443
4726834.94,-1.110726,0.7982368,3.387443
4726835.04,-1.111699,0.7982368,3.388416
4726835.138,-1.112673,0.7979125,3.388416
4726835.237,-1.114294,0.7975881,3.388092
4726835.337,-1.114294,0.7982368,3.388741
4726835.437,-1.113321,0.7982368,3.388741
4726835.539,-1.112348,0.7979125,3.389389
4726835.638,-1.112673,0.7979125,3.389389
4726835.737,-1.114619,0.7982368,3.389714
4726835.839,-1.116241,0.7979125,3.389714
4726835.938,-1.117538,0.7979125,3.390038
4726836.037,-1.115916,0.7975881,3.390038
4726836.138,-1.115916,0.7979125,3.390038
4726836.238,-1.116241,0.7982368,3.390038
4726836.337,-1.117214,0.7982368,3.390038
4726836.438,-1.116241,0.7979125,3.390363
4726836.538,-1.116565,0.7982368,3.390363
4726836.638,-1.114294,0.7979125,3.390363
4726836.739,-1.115916,0.7982368,3.390363
4726836.839,-1.116241,0.7988856,3.390687
4726836.939,-1.116889,0.7982368,3.390363
4726837.037,-1.114294,0.7988856,3.390687
4726837.138,-1.112673,0.7985612,3.391011
4726837.238,-1.112673,0.7988856,3.391336
4726837.338,-1.11397,0.79921,3.391011
4726837.438,-1.114943,0.7982368,3.390687
4726837.538,-1.112997,0.7979125,3.391336
4726837.637,-1.113321,0.7982368,3.391011
4726837.741,-1.112348,0.7979125,3.391336
4726837.838,-1.111375,0.7972637,3.391336
4726837.937,-1.108456,0.7979125,3.39166
4726838.037,-1.110078,0.7975881,3.39166
4726838.14,-1.111699,0.7972637,3.39166
4726838.237,-1.112997,0.7972637,3.391336
4726838.338,-1.112673,0.7972637,3.39166
4726838.438,-1.112673,0.7979125,3.391985
4726838.538,-1.112348,0.7972637,3.39166
4726838.638,-1.111699,0.7972637,3.39166
4726838.737,-1.112024,0.7975881,3.39166
4726838.838,-1.113321,0.7969393,3.39166
4726838.938,-1.113321,0.7975881,3.391985
4726839.038,-1.112673,0.7975881,3.39166
4726839.139,-1.113646,0.7979125,3.391985
4726839.239,-1.115268,0.7972637,3.391985
4726839.338,-1.116565,0.7979125,3.391985
4726839.438,-1.115916,0.7982368,3.391985
4726839.539,-1.114294,0.7982368,3.39166
4726839.637,-1.115268,0.7975881,3.391985
4726839.739,-1.114943,0.7982368,3.391985
4726839.839,-1.115268,0.7982368,3.392309
4726839.937,-1.114619,0.7982368,3.391985
4726840.04,-1.113321,0.7979125,3.391985
4726840.14,-1.114294,0.7979125,3.392309
4726840.237,-1.115592,0.7985612,3.391985
4726840.338,-1.116565,0.7982368,3.392309
4726840.439,-1.115268,0.7979125,3.391985
4726840.539,-1.116889,0.7982368,3.392309
4726840.639,-1.115592,0.7988856,3.391985
4726840.738,-1.115592,0.7982368,3.391985
4726840.839,-1.117538,0.7988856,3.392633
4726840.938,-1.11916,0.7985612,3.392309
4726841.037,-1.119809,0.7982368,3.392633
4726841.138,-1.117538,0.7988856,3.392309
4726841.24,-1.116889,0.79921,3.392633
4726841.338,-1.117538,0.7985612,3.392309
4726841.438,-1.117214,0.7985612,3.392633
4726841.538,-1.116889,0.7982368,3.391985
4726841.637,-1.116889,0.7979125,3.392309
4726841.737,-1.114619,0.7979125,3.392633
4726841.838,-1.114294,0.7979125,3.392633
4726841.939,-1.114943,0.7975881,3.392309
4726842.037,-1.11397,0.7979125,3.392309
4726842.137,-1.112673,0.7979125,3.392633
4726842.238,-1.110726,0.7979125,3.392309
4726842.339,-1.110726,0.7982368,3.392633
4726842.438,-1.109753,0.7982368,3.392633
4726842.538,-1.112348,0.7982368,3.392309
4726842.639,-1.114294,0.7982368,3.392633
4726842.738,-1.116565,0.7982368,3.392958
4726842.837,-1.114294,0.7982368,3.392958
4726842.937,-1.111375,0.7975881,3.392958
4726843.038,-1.110078,0.7982368,3.392958
4726843.138,-1.111699,0.7988856,1.445049
4726843.238,-1.112348,0.79921,0.4647756
4726843.337,-1.111051,0.7988856,0.1682939
4726843.438,-1.114619,0.7985612,0.07195359
4726843.537,-1.112024,0.7979125,0.03854266
4726843.637,-1.110726,0.7982368,0.02491878
4726843.74,-1.110078,0.7982368,0.01907998
4726843.839,-1.113646,0.7979125,0.01518745
4726843.937,-1.115592,0.7982368,0.01356556
4726844.038,-1.115916,0.7982368,0.01194367
4726844.138,-1.115916,0.7982368,0.01097053
4726844.238,-1.116241,0.7985612,0.009673021
4726844.339,-1.115592,0.7982368,0.009024265
4726844.439,-1.116889,0.7975881,0.008375509
4726844.538,-1.11916,0.7975881,0.008051131
4726844.638,-1.118187,0.7975881,0.007402375
4726844.737,-1.119484,0.7975881,0.007402375
4726844.839,-1.118511,0.796615,0.006753619
4726844.937,-1.119484,0.7972637,0.006429241
4726845.039,-1.118836,0.7975881,0.006104864
4726845.139,-1.118187,0.7975881,0.005780486
4726845.238,-1.119809,0.7969393,0.005456108
4726845.337,-1.122079,0.796615,0.005780486
4726845.437,-1.124026,0.7972637,0.005456108
4726845.538,-1.123377,0.7975881,0.005456108
4726845.638,-1.122404,0.7975881,0.004807352
4726845.739,-1.122728,0.7969393,0.00513173
4726845.838,-1.121431,0.7975881,0.004807352
4726845.938,-1.122079,0.7972637,0.004482974
4726846.038,-1.122404,0.7972637,0.004807352
4726846.138,-1.122728,0.7972637,0.004158596
4726846.238,-1.123053,0.7972637,0.004158596
4726846.338,-1.120782,0.7979125,0.003834218
4726846.438,-1.121755,0.7985612,0.004158596
4726846.54,-1.119484,0.7979125,0.004158596
4726846.639,-1.119484,0.7979125,0.00350984
4726846.738,-1.11916,0.7969393,0.003834218
4726846.839,-1.118511,0.7975881,0.003834218
4726846.937,-1.119484,0.7975881,0.00350984
4726847.038,-1.118187,0.7975881,0.003834218
4726847.138,-1.121431,0.7972637,0.00350984
4726847.24,-1.121106,0.7979125,0.00350984
4726847.339,-1.122079,0.7982368,0.003185462
4726847.439,-1.120782,0.7979125,0.00350984
4726847.539,-1.120133,0.7979125,0.003185462
4726847.639,-1.119809,0.7975881,0.002861084
4726847.738,-1.120133,0.7975881,0.003185462
4726847.838,-1.120782,0.7982368,0.002861084
4726847.937,-1.120133,0.7982368,0.003185462
4726848.039,-1.118836,0.7979125,0.002861084
4726848.139,-1.117863,0.7975881,0.003185462
4726848.238,-1.117863,0.7975881,0.002861084
4726848.339,-1.118187,0.7975881,0.002536707
4726848.438,-1.118511,0.7972637,0.002536707
4726848.537,-1.117214,0.7972637,0.002536707
4726848.637,-1.116889,0.796615,0.002536707
4726848.737,-1.118836,0.796615,0.002861084
4726848.839,-1.11916,0.7969393,0.002861084
4726848.938,-1.118511,0.7975881,0.002861084
4726849.038,-1.118511,0.7975881,0.002861084
4726849.137,-1.117538,0.7982368,0.002536707
4726849.239,-1.119809,0.7985612,0.002536707
4726849.338,-1.120782,0.7985612,0.002536707
4726849.438,-1.119809,0.7988856,0.002536707
4726849.539,-1.118511,0.7985612,0.002536707
4726849.638,-1.115268,0.7975881,0.002212329
4726849.738,-1.116241,0.7972637,0.002861084
4726849.839,-1.117863,0.7979125,0.002536707
4726849.94,-1.120133,0.7975881,0.001887951
4726850.038,-1.119484,0.7975881,0.002536707
4726850.138,-1.117863,0.7979125,0.002212329
4726850.237,-1.115916,0.7985612,0.002212329
4726850.338,-1.113646,0.79921,0.002212329
4726850.438,-1.114294,0.7985612,0.002212329
4726850.538,-1.115268,0.79921,0.002212329
4726850.638,-1.117863,0.7988856,0.002212329
4726850.738,-1.117863,0.7985612,0.001887951
4726850.839,-1.116889,0.7988856,0.002212329
4726850.94,-1.115916,0.7988856,0.001887951
4726851.037,-1.114943,0.7979125,0.002212329
4726851.139,-1.114294,0.7979125,0.001887951
4726851.239,-1.117538,0.7979125,0.001887951
4726851.341,-1.118187,0.7975881,0.001887951
4726851.438,-1.118836,0.7982368,0.001887951
4726851.54,-1.118511,0.7982368,0.002212329
4726851.637,-1.117863,0.7982368,0.001887951
4726851.739,-1.118511,0.7979125,0.002212329
4726851.839,-1.117863,0.7975881,0.001563573
4726851.938,-1.11916,0.7975881,0.001887951
4726852.037,-1.117538,0.7979125,0.001887951
4726852.138,-1.116241,0.7975881,0.001563573
4726852.238,-1.116241,0.7975881,0.001563573
4726852.337,-1.113646,0.7975881,0.001887951
4726852.438,-1.114294,0.7972637,0.001563573
4726852.537,-1.11397,0.7979125,0.001887951
4726852.638,-1.114619,0.7982368,0.001887951
4726852.74,-1.115268,0.7979125,0.001239195
4726852.839,-1.115592,0.7985612,0.001563573
4726852.938,-1.116889,0.7985612,0.001887951
4726853.038,-1.116241,0.7982368,0.001887951
4726853.137,-1.115268,0.7979125,1.952379
4726853.238,-1.114619,0.7972637,2.929415
4726853.338,-1.114619,0.7975881,3.226225
4726853.438,-1.114943,0.7979125,3.322242
4726853.537,-1.114619,0.7979125,3.355654
4726853.64,-1.114294,0.7982368,3.368953
4726853.737,-1.116565,0.7972637,3.375441
4726853.84,-1.117214,0.7972637,3.378685
4726853.937,-1.116889,0.7972637,3.380956
4726854.04,-1.115592,0.7972637,3.382253
4726854.139,-1.116565,0.7969393,3.383551
