Time	Channel1	Channel2	Channel3
4.733323739E+6	-2.653340E-3	-5.572741E-3	1.713371E-2
4.733323839E+6	2.660612E-4	-8.167764E-3	1.388993E-2
4.733323938E+6	2.212329E-3	-8.167764E-3	1.226804E-2
4.733324038E+6	-4.275229E-3	-1.108717E-2	1.097053E-2
4.733324138E+6	-4.923985E-3	-1.108717E-2	9.997399E-3
4.733324240E+6	-6.870253E-3	-1.141154E-2	9.348643E-3
4.733324340E+6	-1.173592E-2	-9.465276E-3	8.699887E-3
4.733324440E+6	-1.627721E-2	-8.816520E-3	8.051131E-3
4.733324538E+6	-1.757472E-2	-8.816520E-3	7.402375E-3
4.733324639E+6	-1.530408E-2	-1.108717E-2	7.402375E-3
4.733324740E+6	-1.011403E-2	-1.368219E-2	6.753619E-3
4.733324838E+6	-6.870253E-3	-1.433094E-2	7.077997E-3
4.733324938E+6	-8.167764E-3	-1.400657E-2	6.104864E-3
4.733325039E+6	-4.275229E-3	-1.141154E-2	6.104864E-3
4.733325139E+6	-3.302096E-3	-1.206030E-2	5.780486E-3
4.733325239E+6	-5.572741E-3	-1.400657E-2	5.780486E-3
4.733325339E+6	-4.923985E-3	-1.433094E-2	5.456108E-3
4.733325439E+6	-2.004584E-3	-1.725035E-2	5.456108E-3
4.733325540E+6	-3.302096E-3	-1.660159E-2	4.807352E-3
4.733325638E+6	-3.302096E-3	-1.595283E-2	5.131730E-3
4.733325739E+6	-3.626474E-3	-1.595283E-2	4.807352E-3
4.733325839E+6	-4.923985E-3	-1.562846E-2	4.482974E-3
4.733325939E+6	-9.140898E-3	-1.854786E-2	4.482974E-3
4.733326039E+6	-1.173592E-2	-2.406228E-2	4.482974E-3
4.733326139E+6	-9.789654E-3	-2.665730E-2	4.158596E-3
4.733326239E+6	-9.789654E-3	-2.665730E-2	4.158596E-3
4.733326337E+6	-8.167764E-3	-2.698168E-2	4.158596E-3
4.733326437E+6	-1.076279E-2	-2.535979E-2	4.158596E-3
4.733326539E+6	-9.789654E-3	-1.854786E-2	3.509840E-3
4.733326639E+6	-2.977718E-3	-1.660159E-2	3.834218E-3
4.733326739E+6	9.148170E-4	-1.368219E-2	4.158596E-3
4.733326839E+6	-5.831672E-5	-1.595283E-2	3.834218E-3
4.733326939E+6	1.887951E-3	-1.400657E-2	3.185462E-3
