Time	Channel1	Channel2	Channel3
4.788549268E+6	1.563573E-3	-1.206030E-2	3.392309E+0
4.788549368E+6	1.563573E-3	-1.238468E-2	3.391660E+0
4.788549469E+6	1.239195E-3	-1.206030E-2	3.391985E+0
4.788549568E+6	1.239195E-3	-1.141154E-2	3.392309E+0
4.788549670E+6	1.239195E-3	-1.270905E-2	3.391985E+0
4.788549768E+6	1.239195E-3	-1.173592E-2	3.392309E+0
4.788549867E+6	1.239195E-3	-1.270905E-2	3.392309E+0
4.788549967E+6	1.563573E-3	-1.303343E-2	3.392309E+0
4.788550067E+6	1.563573E-3	-1.303343E-2	3.391985E+0
4.788550168E+6	1.239195E-3	-1.303343E-2	3.392309E+0
4.788550269E+6	1.239195E-3	-1.270905E-2	3.392309E+0
4.788550368E+6	2.212329E-3	-1.238468E-2	3.391985E+0
4.788550467E+6	2.212329E-3	-1.238468E-2	3.392633E+0
4.788550570E+6	2.536707E-3	-1.238468E-2	3.392309E+0
4.788550669E+6	2.861084E-3	-1.270905E-2	3.392633E+0
4.788550768E+6	2.861084E-3	-1.173592E-2	3.392309E+0
4.788550869E+6	1.887951E-3	-1.141154E-2	3.392633E+0
4.788550969E+6	1.887951E-3	-1.141154E-2	3.392309E+0
4.788551068E+6	2.212329E-3	-1.108717E-2	3.392309E+0
4.788551167E+6	1.887951E-3	-1.141154E-2	3.392309E+0
4.788551269E+6	1.239195E-3	-1.173592E-2	3.392633E+0
4.788551367E+6	1.563573E-3	-1.238468E-2	3.392633E+0
4.788551467E+6	1.239195E-3	-1.206030E-2	3.392633E+0
4.788551568E+6	1.239195E-3	-1.206030E-2	3.392633E+0
4.788551667E+6	1.563573E-3	-1.206030E-2	3.392633E+0
4.788551769E+6	1.563573E-3	-1.206030E-2	3.392309E+0
4.788551867E+6	1.887951E-3	-1.238468E-2	3.392958E+0
4.788551969E+6	1.563573E-3	-1.303343E-2	3.392633E+0
4.788552069E+6	2.212329E-3	-1.270905E-2	3.392633E+0
4.788552169E+6	2.212329E-3	-1.206030E-2	3.392958E+0
4.788552267E+6	2.212329E-3	-1.270905E-2	3.392633E+0
4.788552368E+6	2.212329E-3	-1.238468E-2	3.392633E+0
4.788552470E+6	1.563573E-3	-1.173592E-2	3.392958E+0
4.788552568E+6	1.239195E-3	-1.206030E-2	3.392633E+0
4.788552669E+6	1.239195E-3	-1.141154E-2	3.392633E+0
4.788552769E+6	1.563573E-3	-1.173592E-2	3.392633E+0
4.788552868E+6	1.239195E-3	-1.108717E-2	2.423705E+0
4.788552969E+6	1.239195E-3	-1.076279E-2	7.453631E-1
4.788553069E+6	1.239195E-3	-1.108717E-2	2.542541E-1
4.788553167E+6	1.563573E-3	-1.141154E-2	1.001745E-1
4.788553267E+6	1.563573E-3	-1.108717E-2	4.794962E-2
4.788553367E+6	1.239195E-3	-1.141154E-2	2.913570E-2
4.788553467E+6	1.563573E-3	-1.108717E-2	2.037749E-2
4.788553568E+6	1.887951E-3	-1.076279E-2	1.648496E-2
4.788553669E+6	1.887951E-3	-1.141154E-2	1.388993E-2
4.788553769E+6	1.887951E-3	-1.108717E-2	1.194367E-2
4.788553868E+6	1.887951E-3	-1.141154E-2	1.097053E-2
4.788553969E+6	2.212329E-3	-1.173592E-2	9.997399E-3
4.788554068E+6	2.212329E-3	-1.173592E-2	9.348643E-3
4.788554168E+6	2.536707E-3	-1.173592E-2	8.375509E-3
4.788554268E+6	1.887951E-3	-1.108717E-2	8.051131E-3
4.788554368E+6	1.887951E-3	-1.141154E-2	7.402375E-3
4.788554468E+6	1.887951E-3	-1.141154E-2	7.077997E-3
4.788554567E+6	2.212329E-3	-1.173592E-2	6.753619E-3
4.788554668E+6	2.536707E-3	-1.141154E-2	6.429241E-3
4.788554768E+6	2.212329E-3	-1.173592E-2	5.780486E-3
4.788554867E+6	1.563573E-3	-1.141154E-2	5.780486E-3
4.788554968E+6	1.563573E-3	-1.141154E-2	5.456108E-3
4.788555069E+6	1.887951E-3	-1.173592E-2	4.807352E-3
4.788555168E+6	1.887951E-3	-1.141154E-2	5.131730E-3
4.788555268E+6	2.212329E-3	-1.206030E-2	4.482974E-3
4.788555368E+6	2.212329E-3	-1.206030E-2	4.482974E-3
4.788555468E+6	1.563573E-3	-1.206030E-2	4.482974E-3
4.788555568E+6	1.563573E-3	-1.238468E-2	4.482974E-3
4.788555668E+6	1.563573E-3	-1.238468E-2	4.158596E-3
4.788555768E+6	1.239195E-3	-1.206030E-2	4.482974E-3
4.788555868E+6	1.563573E-3	-1.173592E-2	3.834218E-3
4.788555968E+6	1.563573E-3	-1.173592E-2	3.834218E-3
4.788556069E+6	1.887951E-3	-1.206030E-2	4.158596E-3
4.788556169E+6	2.212329E-3	-1.173592E-2	3.834218E-3
4.788556268E+6	1.887951E-3	-1.238468E-2	3.185462E-3
4.788556368E+6	1.887951E-3	-1.173592E-2	3.834218E-3
4.788556468E+6	1.563573E-3	-1.206030E-2	3.834218E-3
4.788556570E+6	1.887951E-3	-1.238468E-2	3.509840E-3
4.788556668E+6	1.887951E-3	-1.206030E-2	3.185462E-3
4.788556767E+6	2.536707E-3	-1.206030E-2	3.185462E-3
4.788556868E+6	2.212329E-3	-1.173592E-2	3.509840E-3
4.788556968E+6	2.212329E-3	-1.141154E-2	3.509840E-3
4.788557067E+6	2.536707E-3	-1.173592E-2	3.185462E-3
4.788557168E+6	2.212329E-3	-1.141154E-2	3.185462E-3
4.788557268E+6	1.887951E-3	-1.108717E-2	3.185462E-3
4.788557369E+6	1.239195E-3	-1.141154E-2	3.185462E-3
4.788557468E+6	1.563573E-3	-1.173592E-2	3.185462E-3
4.788557568E+6	1.887951E-3	-1.141154E-2	3.185462E-3
4.788557668E+6	2.212329E-3	-1.238468E-2	2.861084E-3
4.788557768E+6	1.887951E-3	-1.173592E-2	2.861084E-3
4.788557868E+6	1.887951E-3	-1.141154E-2	2.861084E-3
4.788557967E+6	1.239195E-3	-1.108717E-2	2.861084E-3
4.788558068E+6	1.563573E-3	-1.141154E-2	2.536707E-3
4.788558168E+6	1.563573E-3	-1.141154E-2	2.861084E-3
4.788558268E+6	1.563573E-3	-1.238468E-2	2.536707E-3
4.788558368E+6	1.563573E-3	-1.206030E-2	2.536707E-3
4.788558468E+6	9.148170E-4	-1.206030E-2	2.536707E-3
4.788558570E+6	1.239195E-3	-1.206030E-2	2.536707E-3
4.788558669E+6	1.563573E-3	-1.173592E-2	2.212329E-3
4.788558767E+6	1.887951E-3	-1.206030E-2	2.861084E-3
4.788558868E+6	2.536707E-3	-1.238468E-2	2.861084E-3
4.788558969E+6	2.212329E-3	-1.238468E-2	2.536707E-3
4.788559069E+6	2.212329E-3	-1.270905E-2	2.536707E-3
4.788559168E+6	1.887951E-3	-1.270905E-2	2.536707E-3
4.788559269E+6	1.563573E-3	-1.335781E-2	2.212329E-3
4.788559369E+6	1.887951E-3	-1.270905E-2	2.536707E-3
4.788559469E+6	1.563573E-3	-1.238468E-2	2.212329E-3
4.788559568E+6	1.887951E-3	-1.238468E-2	2.212329E-3
4.788559669E+6	1.887951E-3	-1.173592E-2	2.212329E-3
4.788559768E+6	9.148170E-4	-1.206030E-2	1.887951E-3
4.788559867E+6	1.239195E-3	-1.206030E-2	2.212329E-3
4.788559969E+6	1.563573E-3	-1.108717E-2	2.212329E-3
