Time,Channel1,Channel2,Channel3
4790836.168,-2.496786,0.6188554,3.390038
4790836.268,-2.498732,0.618531,3.390363
4790836.368,-2.493218,0.6191798,3.390363
4790836.467,-2.492893,0.6195042,3.390687
4790836.568,-2.493218,0.6191798,3.390363
4790836.668,-2.489649,0.6191798,3.391011
4790836.768,-2.486406,0.6188554,3.390687
4790836.868,-2.488676,0.618531,3.390363
4790836.968,-2.487054,0.6182066,3.390687
4790837.068,-2.486406,0.618531,3.391011
4790837.168,-2.489001,0.6188554,3.391011
4790837.267,-2.489649,0.618531,3.391011
4790837.368,-2.487379,0.6182066,3.391336
4790837.468,-2.489001,0.618531,3.391336
4790837.568,-2.489974,0.6182066,3.391336
4790837.668,-2.488676,0.618531,3.39166
4790837.768,-2.489974,0.6182066,3.391336
4790837.868,-2.494191,0.6191798,3.391336
4790837.968,-2.494839,0.6188554,3.391336
4790838.068,-2.497759,0.6198285,3.391985
4790838.169,-2.500354,0.6201529,3.391985
4790838.268,-2.500354,0.6195042,3.391985
4790838.369,-2.499056,0.6191798,3.391336
4790838.467,-2.501976,0.6195042,3.391985
4790838.568,-2.5023,0.6191798,3.39166
4790838.667,-2.499705,0.6195042,3.39166
4790838.767,-2.499705,0.6188554,3.391985
4790838.866,-2.500029,0.6188554,3.391985
4790838.969,-2.501003,0.6188554,3.391985
4790839.067,-2.501976,0.618531,3.392309
4790839.168,-2.503273,0.618531,3.391985
4790839.268,-2.504246,0.618531,3.391985
4790839.367,-2.501976,0.6188554,3.391985
4790839.468,-2.502625,0.6188554,3.392309
4790839.573,-2.501976,0.6191798,3.391985
4790839.667,-2.500678,0.6198285,3.391985
4790839.767,-2.500678,0.6195042,3.391985
4790839.869,-2.500678,0.6198285,3.392309
4790839.969,-2.500678,0.6198285,3.391985
4790840.067,-2.499056,0.6201529,3.392309
4790840.168,-2.495813,0.6198285,3.392309
4790840.269,-2.493542,0.6204773,3.392309
4790840.369,-2.492893,0.6201529,3.392309
4790840.467,-2.489001,0.6201529,3.392309
4790840.567,-2.487379,0.6198285,3.392633
4790840.669,-2.484135,0.6198285,3.392309
4790840.769,-2.483162,0.6195042,3.392633
4790840.867,-2.482838,0.6195042,3.392633
4790840.968,-2.483486,0.6195042,3.391985
4790841.068,-2.482838,0.6195042,3.392309
4790841.169,-2.483162,0.6191798,3.392633
4790841.267,-2.484459,0.6198285,3.392309
4790841.366,-2.484459,0.6195042,3.392633
4790841.467,-2.482838,0.6198285,3.392633
4790841.567,-2.483811,0.6195042,3.392309
4790841.668,-2.480891,0.6198285,3.392633
4790841.767,-2.480891,0.6198285,3.392309
4790841.869,-2.482513,0.6198285,3.392633
4790841.969,-2.482189,0.6191798,3.392633
4790842.069,-2.482838,0.6191798,3.392958
4790842.169,-2.482513,0.6191798,3.392633
4790842.268,-2.483162,0.618531,3.392633
4790842.368,-2.480891,0.6182066,3.392958
