Time	Channel1	Channel2	Channel3
4.883676266E+6	-3.404064E+0	6.723779E-1	3.392309E+0
4.883676371E+6	-3.406334E+0	6.723779E-1	3.392309E+0
4.883676467E+6	-3.414444E+0	6.730266E-1	3.392633E+0
4.883676567E+6	-3.406659E+0	6.723779E-1	3.391985E+0
4.883676667E+6	-3.409902E+0	6.723779E-1	3.392309E+0
4.883676766E+6	-3.420282E+0	6.720535E-1	3.392309E+0
4.883676868E+6	-3.415092E+0	6.720535E-1	3.392309E+0
4.883676967E+6	-3.410551E+0	6.723779E-1	3.391985E+0
4.883677066E+6	-3.415417E+0	6.723779E-1	3.392309E+0
4.883677166E+6	-3.412497E+0	6.730266E-1	3.391985E+0
4.883677268E+6	-3.406659E+0	6.733510E-1	3.392309E+0
4.883677368E+6	-3.410876E+0	6.733510E-1	3.392633E+0
4.883677467E+6	-3.414444E+0	6.733510E-1	3.392309E+0
4.883677567E+6	-3.412173E+0	6.736754E-1	3.392309E+0
4.883677667E+6	-3.395954E+0	6.736754E-1	3.392633E+0
4.883677767E+6	-3.415417E+0	6.736754E-1	3.392309E+0
4.883677866E+6	-3.406983E+0	6.733510E-1	3.392309E+0
4.883677966E+6	-3.392062E+0	6.736754E-1	3.392958E+0
4.883678068E+6	-3.415417E+0	6.733510E-1	3.392309E+0
4.883678168E+6	-3.405686E+0	6.723779E-1	3.392633E+0
4.883678267E+6	-3.392386E+0	6.717291E-1	3.392633E+0
4.883678367E+6	-3.409578E+0	6.717291E-1	3.392633E+0
4.883678468E+6	-3.417039E+0	6.714047E-1	3.392633E+0
4.883678568E+6	-3.416714E+0	6.707560E-1	3.392633E+0
4.883678668E+6	-3.415092E+0	6.701072E-1	3.392633E+0
4.883678767E+6	-3.418336E+0	6.694585E-1	2.414298E+0
4.883678867E+6	-3.430338E+0	6.701072E-1	7.437412E-1
4.883678967E+6	-3.423526E+0	6.701072E-1	2.529566E-1
4.883679067E+6	-3.390764E+0	6.707560E-1	1.001745E-1
4.883679168E+6	-3.401793E+0	6.710804E-1	4.794962E-2
4.883679267E+6	-3.423202E+0	6.720535E-1	2.848694E-2
4.883679367E+6	-3.418336E+0	6.730266E-1	2.037749E-2
4.883679466E+6	-3.441042E+0	6.727023E-1	1.616058E-2
4.883679568E+6	-3.449152E+0	6.733510E-1	1.356556E-2
4.883679666E+6	-3.433906E+0	6.733510E-1	1.194367E-2
4.883679767E+6	-3.450774E+0	6.736754E-1	1.097053E-2
4.883679867E+6	-3.436501E+0	6.736754E-1	9.997399E-3
4.883679968E+6	-3.477697E+0	6.733510E-1	8.699887E-3
4.883680067E+6	-3.443962E+0	6.730266E-1	8.699887E-3
4.883680167E+6	-3.440069E+0	6.730266E-1	7.726753E-3
4.883680268E+6	-3.467317E+0	6.736754E-1	7.077997E-3
4.883680368E+6	-3.406659E+0	6.736754E-1	7.077997E-3
4.883680468E+6	-3.434555E+0	6.733510E-1	6.429241E-3
4.883680568E+6	-3.475426E+0	6.730266E-1	6.429241E-3
4.883680666E+6	-3.422229E+0	6.727023E-1	6.104864E-3
4.883680767E+6	-3.406659E+0	6.723779E-1	5.780486E-3
4.883680866E+6	-3.452720E+0	6.727023E-1	5.456108E-3
4.883680967E+6	-3.417039E+0	6.727023E-1	5.131730E-3
4.883681068E+6	-3.412497E+0	6.730266E-1	5.131730E-3
4.883681167E+6	-3.472831E+0	6.727023E-1	4.807352E-3
4.883681268E+6	-3.410227E+0	6.727023E-1	4.807352E-3
4.883681366E+6	-3.389467E+0	6.730266E-1	4.807352E-3
4.883681467E+6	-3.459207E+0	6.733510E-1	4.482974E-3
4.883681566E+6	-3.432609E+0	6.733510E-1	4.482974E-3
4.883681666E+6	-3.405037E+0	6.727023E-1	4.158596E-3
4.883681767E+6	-3.462776E+0	6.736754E-1	4.158596E-3
4.883681867E+6	-3.443637E+0	6.736754E-1	4.158596E-3
4.883681966E+6	-3.407632E+0	6.736754E-1	4.158596E-3
4.883682067E+6	-3.451422E+0	6.736754E-1	3.834218E-3
4.883682168E+6	-3.451747E+0	6.733510E-1	3.834218E-3
4.883682268E+6	-3.412173E+0	6.730266E-1	3.834218E-3
4.883682366E+6	-3.424499E+0	6.727023E-1	3.834218E-3
4.883682467E+6	-3.451422E+0	6.723779E-1	3.509840E-3
4.883682567E+6	-3.418336E+0	6.730266E-1	3.185462E-3
4.883682667E+6	-3.421580E+0	6.723779E-1	3.185462E-3
4.883682767E+6	-3.462451E+0	6.727023E-1	3.185462E-3
4.883682866E+6	-3.427419E+0	6.730266E-1	3.185462E-3
4.883682969E+6	-3.414119E+0	6.727023E-1	3.509840E-3
4.883683066E+6	-3.454991E+0	6.723779E-1	3.185462E-3
4.883683166E+6	-3.427419E+0	6.730266E-1	3.509840E-3
4.883683268E+6	-3.383952E+0	6.736754E-1	2.861084E-3
4.883683395E+6	-3.443313E+0	6.733510E-1	2.861084E-3
4.883683487E+6	-3.443962E+0	6.730266E-1	2.861084E-3
