Time,Channel1,Channel2,Channel3
4880904.267,-3.423851,0.6551858,0.002536707
4880904.368,-3.42677,0.6558346,0.002536707
4880904.467,-3.427743,0.6555102,0.002536707
4880904.567,-3.430014,0.6555102,0.002861084
4880904.667,-3.428392,0.6551858,0.002536707
4880904.767,-3.432933,0.6555102,0.002536707
4880904.867,-3.444611,0.6555102,0.002536707
4880904.967,-3.451747,0.6545371,0.002212329
4880905.067,-3.435852,0.6551858,0.002212329
4880905.166,-3.425472,0.6548614,0.002212329
4880905.267,-3.420931,0.6548614,0.002536707
4880905.366,-3.421256,0.6551858,0.002536707
4880905.467,-3.429689,0.6558346,0.002212329
4880905.567,-3.419958,0.6558346,0.002212329
4880905.667,-3.420282,0.6555102,0.002212329
4880905.767,-3.408281,0.6558346,0.002536707
4880905.867,-3.403415,0.6551858,0.001887951
4880905.966,-3.387845,0.6551858,0.001887951
4880906.067,-3.399847,0.6555102,0.002212329
4880906.167,-3.427419,0.6555102,0.001887951
4880906.268,-3.445908,0.6558346,0.002212329
4880906.368,-3.428392,0.656159,0.001563573
4880906.467,-3.432933,0.656159,0.001887951
4880906.567,-3.441691,0.6555102,0.001887951
4880906.666,-3.439745,0.6555102,0.001887951
4880906.768,-3.410227,0.6555102,0.001563573
4880906.868,-3.414444,0.6558346,0.002212329
4880906.967,-3.469263,0.656159,0.001887951
4880907.067,-3.460181,0.6555102,0.002212329
4880907.167,-3.474453,0.6551858,0.001563573
4880907.267,-3.492294,0.6551858,0.001887951
4880907.367,-3.475751,0.6555102,0.001887951
4880907.468,-3.478346,0.6551858,0.001887951
4880907.568,-3.477048,0.6551858,0.001563573
4880907.666,-3.473156,0.6545371,0.001563573
4880907.767,-3.4631,0.6545371,0.001887951
4880907.867,-3.486131,0.6545371,0.001563573
4880907.966,-3.478021,0.6542127,0.001563573
4880908.071,-3.461802,0.6548614,0.001887951
4880908.167,-3.475426,0.6545371,0.001563573
4880908.268,-3.479967,0.6548614,0.001887951
4880908.368,-3.461802,0.6551858,0.001887951
4880908.467,-3.476724,0.6555102,0.001563573
4880908.566,-3.486779,0.6548614,0.001563573
4880908.667,-3.472182,0.6551858,0.001887951
4880908.768,-3.480941,0.6551858,0.2201944
4880908.867,-3.492294,0.6555102,2.438626
4880908.967,-3.479967,0.6555102,3.07636
4880909.067,-3.482887,0.656159,3.273585
4880909.167,-3.492942,0.6558346,3.338137
4880909.267,-3.480292,0.6564833,3.362466
4880909.368,-3.479967,0.6564833,3.371873
4880909.467,-3.490347,0.6571321,3.377387
4880909.567,-3.48386,0.6568077,3.380307
4880909.667,-3.48386,0.6571321,3.381604
4880909.766,-3.492942,0.6577808,3.382902
4880909.866,-3.487428,0.6581052,3.383875
4880909.966,-3.481914,0.6574565,3.384848
4880910.067,-3.491321,0.6571321,3.385497
4880910.168,-3.488401,0.6571321,3.385821
4880910.267,-3.483211,0.6574565,3.386146
4880910.367,-3.491321,0.6568077,3.386794
4880910.468,-3.491645,0.6574565,3.387119
4880910.566,-3.484833,0.6568077,3.387768
4880910.667,-3.48905,0.6571321,3.388092
4880910.766,-3.490023,0.6574565,3.388416
4880910.868,-3.483536,0.6577808,3.388092
4880910.967,-3.487104,0.6574565,3.389065
4880911.067,-3.492942,0.6574565,3.388741
4880911.167,-3.486455,0.6571321,3.388741
4880911.266,-3.486455,0.6568077,3.389065
4880911.367,-3.488401,0.6564833,3.389389
4880911.466,-3.48386,0.6568077,3.389714
4880911.566,-3.484833,0.6564833,3.389389
4880911.667,-3.489699,0.6568077,3.389714
4880911.767,-3.48386,0.6568077,3.389714
4880911.866,-3.484833,0.6568077,3.389714
4880911.967,-3.489374,0.6564833,3.390038
4880912.067,-3.485482,0.6571321,3.390038
4880912.167,-3.480616,0.6568077,3.390363
4880912.267,-3.486779,0.6571321,3.390687
4880912.367,-3.491969,0.6568077,3.390363
4880912.467,-3.486779,0.6568077,3.390687
4880912.567,-3.490023,0.6571321,3.390363
4880912.667,-3.490672,0.6568077,3.390687
4880912.766,-3.481265,0.6574565,3.390687
4880912.867,-3.484833,0.6571321,3.390687
4880912.967,-3.489374,0.6571321,3.390687
4880913.068,-3.480616,0.6571321,3.391336
4880913.167,-3.482238,0.6574565,3.391011
4880913.267,-3.494564,0.6568077,3.391336
4880913.367,-3.486455,0.6568077,3.391011
4880913.468,-3.481914,0.6568077,3.391336
4880913.567,-3.48905,0.6564833,3.391336
4880913.666,-3.485806,0.6558346,3.39166
4880913.766,-3.482238,0.656159,3.391336
4880913.867,-3.489374,0.656159,3.391336
4880913.966,-3.488077,0.6568077,3.391336
4880914.069,-3.479319,0.6564833,3.39166
4880914.166,-3.48386,0.6571321,3.391336
4880914.267,-3.485482,0.656159,3.39166
4880914.367,-3.479643,0.656159,3.391336
4880914.468,-3.480941,0.656159,3.391336
4880914.566,-3.48386,0.6564833,3.391985
4880914.667,-3.478346,0.656159,3.39166
4880914.767,-3.479319,0.6564833,3.392309
4880914.866,-3.484833,0.6564833,3.39166
4880914.967,-3.483211,0.6564833,3.391985
