Time	Channel1	Channel2	Channel3
4.880273467E+6	-3.471858E+0	6.503201E-1	3.969711E+0
4.880273566E+6	-3.460829E+0	6.499958E-1	4.069621E+0
4.880273667E+6	-3.462451E+0	6.506445E-1	4.165963E+0
4.880273767E+6	-3.470885E+0	6.506445E-1	4.258737E+0
4.880273867E+6	-3.465695E+0	6.506445E-1	4.346321E+0
4.880273967E+6	-3.463100E+0	6.509689E-1	4.429363E+0
4.880274067E+6	-3.466344E+0	6.509689E-1	4.509486E+0
4.880274167E+6	-3.463749E+0	6.503201E-1	4.584743E+0
4.880274267E+6	-3.461802E+0	6.503201E-1	4.654486E+0
4.880274366E+6	-3.472831E+0	6.506445E-1	4.720661E+0
4.880274468E+6	-3.464073E+0	6.503201E-1	4.781969E+0
4.880274567E+6	-3.466019E+0	6.503201E-1	4.838737E+0
4.880274667E+6	-3.475426E+0	6.506445E-1	4.890314E+0
4.880274768E+6	-3.463749E+0	6.506445E-1	4.937026E+0
4.880274866E+6	-3.467966E+0	6.506445E-1	4.979196E+0
4.880274967E+6	-3.473480E+0	6.503201E-1	5.016500E+0
4.880275066E+6	-3.462776E+0	6.503201E-1	5.048614E+0
4.880275166E+6	-3.464397E+0	6.503201E-1	5.076187E+0
4.880275267E+6	-3.468290E+0	6.499958E-1	5.097597E+0
4.880275367E+6	-3.461802E+0	6.503201E-1	5.115113E+0
4.880275467E+6	-3.459532E+0	6.503201E-1	5.126791E+0
4.880275567E+6	-3.464397E+0	6.506445E-1	5.133928E+0
4.880275666E+6	-3.455315E+0	6.509689E-1	5.135874E+0
4.880275770E+6	-3.449152E+0	6.512933E-1	5.133603E+0
4.880275868E+6	-3.448179E+0	6.509689E-1	5.125494E+0
4.880275966E+6	-3.453369E+0	6.509689E-1	5.112518E+0
4.880276067E+6	-3.473156E+0	6.506445E-1	5.094677E+0
4.880276166E+6	-3.500079E+0	6.509689E-1	5.071646E+0
4.880276268E+6	-3.495537E+0	6.506445E-1	5.042775E+0
4.880276367E+6	-3.496186E+0	6.519420E-1	5.008715E+0
4.880276467E+6	-3.504296E+0	6.512933E-1	4.970113E+0
4.880276568E+6	-3.496511E+0	6.509689E-1	4.927943E+0
4.880276667E+6	-3.494564E+0	6.499958E-1	4.880258E+0
4.880276767E+6	-3.502998E+0	6.496714E-1	4.827708E+0
4.880276867E+6	-3.493916E+0	6.493470E-1	4.769967E+0
4.880276967E+6	-3.494240E+0	6.486982E-1	4.707685E+0
4.880277068E+6	-3.501376E+0	6.480495E-1	4.641186E+0
4.880277167E+6	-3.505917E+0	6.480495E-1	4.569497E+0
4.880277268E+6	-3.500727E+0	6.477251E-1	4.492943E+0
4.880277368E+6	-3.500403E+0	6.470763E-1	4.412171E+0
4.880277468E+6	-3.502025E+0	6.477251E-1	4.327506E+0
4.880277568E+6	-3.496511E+0	6.477251E-1	4.238301E+0
4.880277666E+6	-3.497808E+0	6.486982E-1	4.145203E+0
4.880277768E+6	-3.506242E+0	6.490226E-1	4.047239E+0
4.880277869E+6	-3.504296E+0	6.496714E-1	3.947004E+0
4.880277967E+6	-3.502025E+0	6.499958E-1	3.840606E+0
4.880278067E+6	-3.508188E+0	6.503201E-1	3.731289E+0
