Time,Channel1,Channel2,Channel3
4883894.367,-3.422229,0.6752973,3.39166
4883894.466,-3.421904,0.6752973,3.39166
4883894.567,-3.424499,0.6756217,3.39166
4883894.666,-3.421256,0.6756217,3.39166
4883894.767,-3.427419,0.6749729,3.392309
4883894.866,-3.429041,0.6756217,3.391985
4883894.966,-3.422229,0.6762704,3.39166
4883895.067,-3.421256,0.6759461,3.39166
4883895.169,-3.412822,0.6765948,3.391985
4883895.268,-3.399522,0.6765948,3.391985
4883895.366,-3.397901,0.6759461,3.39166
4883895.467,-3.402442,0.6765948,3.39166
4883895.568,-3.400496,0.6765948,3.391985
4883895.667,-3.401793,0.6772436,3.391985
4883895.767,-3.406334,0.6769192,3.391985
4883895.866,-3.407956,0.6772436,3.391985
4883895.967,-3.403415,0.6775679,3.392309
4883896.067,-3.418336,0.6772436,3.391985
4883896.168,-3.399522,0.6772436,3.392309
4883896.268,-3.396927,0.6765948,3.391985
4883896.367,-3.424175,0.6765948,3.391985
4883896.467,-3.461478,0.6765948,3.392309
4883896.568,-3.514676,0.6759461,3.392309
4883896.666,-3.50462,0.6756217,3.392309
4883896.767,-3.515649,0.6752973,3.392309
4883896.867,-3.558791,0.6752973,3.392309
4883896.966,-3.5669,0.6746485,3.391985
4883897.067,-3.565602,0.6746485,3.392633
4883897.168,-3.559764,0.6746485,3.392309
4883897.268,-3.552303,0.6746485,3.392309
4883897.367,-3.504296,0.6746485,3.391985
4883897.468,-3.493267,0.6759461,3.391985
4883897.568,-3.475751,0.6762704,3.392309
4883897.668,-3.442664,0.6765948,3.392309
4883897.766,-3.452396,0.6765948,3.392309
4883897.866,-3.471534,0.6769192,3.392309
4883897.966,-3.454342,0.6765948,3.392958
4883898.066,-3.463424,0.6769192,3.392633
4883898.169,-3.489374,0.6772436,3.392309
4883898.269,-3.481265,0.6772436,3.392309
4883898.367,-3.481265,0.6778923,3.392309
4883898.466,-3.499106,0.6778923,3.392309
4883898.568,-3.496186,0.6775679,3.392633
