Time	Channel1	Channel2	Channel3
4.945249269E+6	1.022058E+0	4.083338E-1	-3.958745E+0
4.945249370E+6	1.021410E+0	4.070362E-1	-3.854621E+0
4.945249467E+6	1.021410E+0	4.063875E-1	-3.745955E+0
4.945249566E+6	1.020112E+0	4.054144E-1	-3.633721E+0
4.945249667E+6	1.018490E+0	4.057387E-1	-3.518244E+0
4.945249767E+6	1.016220E+0	4.044412E-1	-3.399198E+0
4.945249867E+6	1.012976E+0	4.050900E-1	-3.275935E+0
4.945249967E+6	1.010705E+0	4.067119E-1	-3.150402E+0
4.945250067E+6	1.008110E+0	4.096313E-1	-3.020977E+0
4.945250166E+6	1.005191E+0	4.115775E-1	-2.889280E+0
4.945250266E+6	1.003893E+0	4.125507E-1	-2.754340E+0
4.945250367E+6	1.003244E+0	4.141726E-1	-2.617129E+0
4.945250468E+6	1.002271E+0	4.151457E-1	-2.476350E+0
4.945250567E+6	1.002920E+0	4.154701E-1	-2.333625E+0
4.945250668E+6	1.003244E+0	4.154701E-1	-2.188629E+0
4.945250767E+6	1.002920E+0	4.154701E-1	-2.042335E+0
4.945250868E+6	1.000974E+0	4.154701E-1	-1.892798E+0
4.945250969E+6	1.000649E+0	4.148213E-1	-1.741314E+0
4.945251067E+6	1.000649E+0	4.141726E-1	-1.588857E+0
4.945251167E+6	9.987031E-1	4.135238E-1	-1.435103E+0
4.945251268E+6	9.987031E-1	4.135238E-1	-1.279078E+0
4.945251367E+6	9.987031E-1	4.131994E-1	-1.122079E+0
4.945251469E+6	9.980543E-1	4.138482E-1	-9.644323E-1
4.945251569E+6	1.000325E+0	4.141726E-1	-8.054876E-1
4.945251668E+6	1.001947E+0	4.141726E-1	-6.452453E-1
4.945251769E+6	1.001622E+0	4.144969E-1	-4.853273E-1
4.945251867E+6	1.003893E+0	4.135238E-1	-3.241117E-1
4.945251968E+6	1.005839E+0	4.128751E-1	-1.628960E-1
4.945252067E+6	1.005515E+0	4.128751E-1	-3.626474E-3
4.945252167E+6	1.006813E+0	4.131994E-1	1.579138E-1
4.945252266E+6	1.006164E+0	4.128751E-1	3.194541E-1
4.945252373E+6	1.004866E+0	4.131994E-1	4.796970E-1
4.945252467E+6	1.003893E+0	4.141726E-1	6.402644E-1
4.945252569E+6	1.003244E+0	4.151457E-1	7.995344E-1
4.945252668E+6	1.002596E+0	4.154701E-1	9.591288E-1
4.945252768E+6	1.001622E+0	4.148213E-1	1.117426E+0
4.945252868E+6	1.002271E+0	4.141726E-1	1.273777E+0
4.945252967E+6	1.003569E+0	4.151457E-1	1.429479E+0
4.945253069E+6	1.005191E+0	4.148213E-1	1.583235E+0
4.945253166E+6	1.006488E+0	4.151457E-1	1.736342E+0
4.945253267E+6	1.007137E+0	4.148213E-1	1.886855E+0
4.945253368E+6	1.006813E+0	4.154701E-1	2.036394E+0
4.945253468E+6	1.006164E+0	4.157945E-1	2.183014E+0
4.945253566E+6	1.005515E+0	4.164432E-1	2.327364E+0
4.945253668E+6	1.003569E+0	4.164432E-1	2.469767E+0
4.945253766E+6	1.003244E+0	4.161188E-1	2.610548E+0
4.945253868E+6	1.002596E+0	4.154701E-1	2.748086E+0
4.945253967E+6	1.001622E+0	4.154701E-1	2.882704E+0
4.945254067E+6	1.000974E+0	4.161188E-1	3.015052E+0
4.945254168E+6	1.000325E+0	4.151457E-1	3.144156E+0
4.945254268E+6	1.004866E+0	4.138482E-1	3.270341E+0
4.945254368E+6	1.012327E+0	4.122263E-1	3.392309E+0
4.945254468E+6	1.016544E+0	4.102800E-1	3.511682E+0
4.945254569E+6	1.020112E+0	4.093069E-1	3.627162E+0
4.945254667E+6	1.021085E+0	4.089825E-1	3.740047E+0
4.945254766E+6	1.020436E+0	4.080094E-1	3.848067E+0
4.945254868E+6	1.021410E+0	4.083338E-1	3.953492E+0
4.945254966E+6	1.022383E+0	4.076850E-1	4.053726E+0
4.945255068E+6	1.021734E+0	4.076850E-1	4.150393E+0
4.945255168E+6	1.019788E+0	4.076850E-1	4.243491E+0
4.945255266E+6	1.017841E+0	4.093069E-1	4.332372E+0
4.945255367E+6	1.012651E+0	4.115775E-1	4.417361E+0
4.945255468E+6	1.010381E+0	4.125507E-1	4.498457E+0
4.945255567E+6	1.013949E+0	4.115775E-1	4.574039E+0
4.945255668E+6	1.017841E+0	4.099557E-1	4.645403E+0
4.945255767E+6	1.020436E+0	4.083338E-1	4.711578E+0
4.945255868E+6	1.023680E+0	4.070362E-1	4.772887E+0
4.945255967E+6	1.025302E+0	4.057387E-1	4.830303E+0
4.945256067E+6	1.024978E+0	4.050900E-1	4.882205E+0
4.945256167E+6	1.026600E+0	4.044412E-1	4.929565E+0
4.945256267E+6	1.028546E+0	4.047656E-1	4.973032E+0
4.945256367E+6	1.030168E+0	4.050900E-1	5.010337E+0
4.945256469E+6	1.030817E+0	4.060631E-1	5.043748E+0
4.945256567E+6	1.031465E+0	4.063875E-1	5.071970E+0
4.945256668E+6	1.029195E+0	4.076850E-1	5.094353E+0
4.945256767E+6	1.026600E+0	4.080094E-1	5.112194E+0
4.945256868E+6	1.025302E+0	4.076850E-1	5.125169E+0
4.945256967E+6	1.024005E+0	4.073606E-1	5.132630E+0
4.945257066E+6	1.022383E+0	4.073606E-1	5.135225E+0
4.945257166E+6	1.022383E+0	4.080094E-1	5.132630E+0
4.945257267E+6	1.023031E+0	4.086581E-1	5.125818E+0
4.945257369E+6	1.021734E+0	4.086581E-1	5.114140E+0
4.945257466E+6	1.019139E+0	4.086581E-1	5.097272E+0
4.945257568E+6	1.013300E+0	4.089825E-1	5.074565E+0
4.945257666E+6	1.008110E+0	4.106044E-1	5.046668E+0
4.945257766E+6	1.003569E+0	4.119019E-1	5.013905E+0
4.945257869E+6	1.000974E+0	4.125507E-1	4.976276E+0
4.945257967E+6	9.993518E-1	4.128751E-1	4.934106E+0
4.945258068E+6	9.980543E-1	4.135238E-1	4.887070E+0
4.945258167E+6	9.970812E-1	4.144969E-1	4.835493E+0
4.945258268E+6	9.980543E-1	4.151457E-1	4.779374E+0
4.945258366E+6	9.980543E-1	4.157945E-1	4.717417E+0
4.945258469E+6	9.970812E-1	4.164432E-1	4.651567E+0
4.945258568E+6	1.000325E+0	4.167676E-1	4.581500E+0
4.945258666E+6	1.000649E+0	4.161188E-1	4.505594E+0
4.945258768E+6	1.000974E+0	4.157945E-1	4.425471E+0
4.945258868E+6	1.002271E+0	4.157945E-1	4.341131E+0
4.945258967E+6	1.003569E+0	4.161188E-1	4.252574E+0
4.945259068E+6	1.004217E+0	4.157945E-1	4.160124E+0
4.945259168E+6	1.005515E+0	4.154701E-1	4.063133E+0
4.945259267E+6	1.005191E+0	4.157945E-1	3.962899E+0
4.945259368E+6	1.006164E+0	4.151457E-1	3.857474E+0
4.945259468E+6	1.006164E+0	4.141726E-1	3.749455E+0
4.945259567E+6	1.005839E+0	4.144969E-1	3.637218E+0
4.945259667E+6	1.005839E+0	4.144969E-1	3.521413E+0
4.945259767E+6	1.005515E+0	4.148213E-1	3.402365E+0
4.945259869E+6	1.003893E+0	4.148213E-1	3.280073E+0
4.945259967E+6	1.002271E+0	4.144969E-1	3.153563E+0
4.945260067E+6	1.001622E+0	4.148213E-1	3.024459E+0
4.945260169E+6	9.996762E-1	4.151457E-1	2.892760E+0
4.945260268E+6	9.993518E-1	4.151457E-1	2.758142E+0
4.945260367E+6	9.993518E-1	4.144969E-1	2.620929E+0
4.945260466E+6	9.987031E-1	4.141726E-1	2.480147E+0
4.945260569E+6	9.974055E-1	4.141726E-1	2.337744E+0
4.945260667E+6	9.987031E-1	4.141726E-1	2.192097E+0
4.945260769E+6	9.970812E-1	4.138482E-1	2.045801E+0
4.945260868E+6	9.964324E-1	4.131994E-1	1.895937E+0
4.945260967E+6	9.970812E-1	4.131994E-1	1.745101E+0
4.945261068E+6	9.970812E-1	4.141726E-1	1.592318E+0
4.945261167E+6	9.980543E-1	4.144969E-1	1.437588E+0
4.945261269E+6	9.993518E-1	4.148213E-1	1.281886E+0
4.945261368E+6	1.001298E+0	4.154701E-1	1.124887E+0
4.945261466E+6	1.001622E+0	4.161188E-1	9.662651E-1
4.945261566E+6	1.002596E+0	4.170920E-1	8.073195E-1
4.945261668E+6	1.003569E+0	4.174164E-1	6.483739E-1
4.945261768E+6	1.001622E+0	4.167676E-1	4.878065E-1
4.945261869E+6	1.001298E+0	4.167676E-1	3.269148E-1
4.945261968E+6	1.000974E+0	4.167676E-1	1.656988E-1
4.945262068E+6	9.996762E-1	4.167676E-1	6.104864E-3
4.945262169E+6	9.983787E-1	4.161188E-1	-1.551109E-1
4.945262269E+6	9.993518E-1	4.164432E-1	-3.163266E-1
4.945262369E+6	9.980543E-1	4.177407E-1	-4.775422E-1
4.945262468E+6	9.977299E-1	4.177407E-1	-6.371359E-1
4.945262566E+6	9.980543E-1	4.177407E-1	-7.967294E-1
4.945262667E+6	9.987031E-1	4.177407E-1	-9.559985E-1
4.945262768E+6	9.996762E-1	4.170920E-1	-1.113646E+0
4.945262868E+6	1.000001E+0	4.167676E-1	-1.270320E+0
4.945262968E+6	9.987031E-1	4.167676E-1	-1.426345E+0
4.945263069E+6	9.983787E-1	4.167676E-1	-1.579775E+0
4.945263167E+6	9.980543E-1	4.164432E-1	-1.731907E+0
4.945263266E+6	9.977299E-1	4.167676E-1	-1.882742E+0
4.945263366E+6	9.983787E-1	4.170920E-1	-2.031631E+0
4.945263466E+6	9.996762E-1	4.177407E-1	-2.178897E+0
4.945263567E+6	1.000974E+0	4.180651E-1	-2.323569E+0
4.945263667E+6	1.001622E+0	4.187139E-1	-2.466294E+0
4.945263767E+6	1.003244E+0	4.187139E-1	-2.606100E+0
4.945263867E+6	1.002271E+0	4.187139E-1	-2.744933E+0
4.945263967E+6	1.000325E+0	4.174164E-1	-2.879549E+0
4.945264069E+6	1.000649E+0	4.164432E-1	-3.011570E+0
4.945264169E+6	1.000974E+0	4.167676E-1	-3.140347E+0
4.945264268E+6	1.000649E+0	4.161188E-1	-3.266204E+0
