Time,Channel1,Channel2,Channel3
4947666.867,1.011678,0.3869248,-5.122925
4947666.967,1.012651,0.3856273,-5.129737
4947667.067,1.012327,0.3849785,-5.132008
4947667.167,1.012327,0.3840054,-5.129088
4947667.268,1.013624,0.383681,-5.120655
4947667.367,1.013624,0.3830322,-5.10768
4947667.467,1.014598,0.3827079,-5.088542
4947667.567,1.015571,0.3820591,-5.065835
4947667.666,1.016868,0.3817347,-5.036966
4947667.767,1.016868,0.3827079,-5.003556
4947667.867,1.015895,0.3827079,-4.965604
4947667.966,1.015571,0.381086,-4.922462
4947668.066,1.014598,0.3807616,-4.874455
4947668.168,1.0133,0.381086,-4.820933
4947668.267,1.012651,0.3814104,-4.763518
4947668.366,1.011354,0.3817347,-4.701563
4947668.467,1.009732,0.3820591,-4.634417
4947668.566,1.011354,0.3820591,-4.563055
4947668.666,1.010056,0.3823835,-4.486827
4947668.767,1.009408,0.3827079,-4.406706
4947668.867,1.009083,0.3833566,-4.321071
4947668.966,1.009083,0.3827079,-4.232517
4947669.066,1.007461,0.383681,-4.139097
4947669.167,1.007786,0.3840054,-4.04146
4947669.267,1.006813,0.383681,-3.939931
4947669.367,1.007461,0.3840054,-3.834834
4947669.468,1.00811,0.3840054,-3.725844
4947669.568,1.009083,0.3827079,-3.61361
4947669.666,1.009408,0.3827079,-3.496835
4947669.766,1.007137,0.3820591,-3.376816
4947669.867,1.007461,0.3814104,-3.253554
4947669.968,1.008434,0.3814104,-3.127696
4947670.066,1.008759,0.3817347,-2.997622
4947670.168,1.012003,0.3817347,-2.865925
4947670.267,1.013624,0.3820591,-2.730012
4947670.367,1.015246,0.3814104,-2.591828
4947670.467,1.016544,0.3823835,-2.451049
4947670.567,1.01622,0.3827079,-2.307999
4947670.667,1.013949,0.3827079,-2.163003
4947670.767,1.011678,0.3827079,-2.015412
4947670.867,1.011678,0.3820591,-1.865875
4947670.966,1.011029,0.3817347,-1.714391
4947671.068,1.011354,0.3820591,-1.56161
4947671.166,1.014273,0.3820591,-1.407207
4947671.267,1.017193,0.3823835,-1.251506
4947671.368,1.019788,0.3827079,-1.094507
4947671.468,1.024653,0.3823835,-0.9362115
