Time	Channel1	Channel2	Channel3
5.250486755E+6	-4.194787E-1	2.815018E-1	3.976847E+0
5.250486854E+6	-4.188299E-1	2.808531E-1	3.872720E+0
5.250486953E+6	-4.204518E-1	2.808531E-1	3.764701E+0
5.250487054E+6	-4.194787E-1	2.811775E-1	3.653762E+0
5.250487154E+6	-4.191543E-1	2.805287E-1	3.538281E+0
5.250487254E+6	-4.194787E-1	2.808531E-1	3.419557E+0
5.250487353E+6	-4.185055E-1	2.811775E-1	3.297265E+0
5.250487455E+6	-4.178568E-1	2.808531E-1	3.171729E+0
5.250487554E+6	-4.191543E-1	2.805287E-1	3.043274E+0
5.250487654E+6	-4.185055E-1	2.811775E-1	2.911574E+0
5.250487753E+6	-4.185055E-1	2.808531E-1	2.778578E+0
5.250487854E+6	-4.178568E-1	2.811775E-1	2.641040E+0
5.250487953E+6	-4.165593E-1	2.811775E-1	2.500907E+0
5.250488054E+6	-4.152617E-1	2.811775E-1	2.358180E+0
5.250488153E+6	-4.152617E-1	2.811775E-1	2.213830E+0
5.250488253E+6	-4.165593E-1	2.808531E-1	2.066886E+0
5.250488354E+6	-4.168836E-1	2.811775E-1	1.917346E+0
5.250488454E+6	-4.172080E-1	2.811775E-1	1.766185E+0
5.250488554E+6	-4.152617E-1	2.815018E-1	1.614051E+0
5.250488654E+6	-4.146130E-1	2.808531E-1	1.460295E+0
5.250488754E+6	-4.142886E-1	2.811775E-1	1.304593E+0
5.250488854E+6	-4.129911E-1	2.808531E-1	1.147593E+0
5.250488954E+6	-4.126667E-1	2.805287E-1	9.902692E-1
5.250489054E+6	-4.129911E-1	2.802043E-1	8.313235E-1
5.250489154E+6	-4.129911E-1	2.808531E-1	6.720535E-1
5.250489253E+6	-4.133155E-1	2.808531E-1	5.114861E-1
5.250489354E+6	-4.155861E-1	2.808531E-1	3.515675E-1
5.250489453E+6	-4.139642E-1	2.811775E-1	1.903516E-1
5.250489553E+6	-4.152617E-1	2.811775E-1	3.043321E-2
5.250489652E+6	-4.159105E-1	2.811775E-1	-1.304582E-1
5.250489754E+6	-4.146130E-1	2.811775E-1	-2.916739E-1
5.250489852E+6	-4.159105E-1	2.808531E-1	-4.519164E-1
5.250489955E+6	-4.172080E-1	2.815018E-1	-6.128076E-1
5.250490053E+6	-4.165593E-1	2.811775E-1	-7.727255E-1
5.250490154E+6	-4.165593E-1	2.815018E-1	-9.313459E-1
5.250490254E+6	-4.185055E-1	2.818262E-1	-1.090291E+0
5.250490354E+6	-4.181811E-1	2.818262E-1	-1.247613E+0
5.250490453E+6	-4.181811E-1	2.821506E-1	-1.403314E+0
5.250490554E+6	-4.185055E-1	2.818262E-1	-1.557393E+0
5.250490653E+6	-4.172080E-1	2.815018E-1	-1.709850E+0
5.250490754E+6	-4.172080E-1	2.811775E-1	-1.861333E+0
5.250490853E+6	-4.188299E-1	2.811775E-1	-2.010546E+0
5.250490954E+6	-4.181811E-1	2.811775E-1	-2.157489E+0
