Time,Channel1,Channel2,Channel3
5250793.654,-0.4217493,0.2815018,-4.919867
5250793.754,-0.4220737,0.2808531,-4.963009
5250793.855,-0.4220737,0.2815018,-5.001285
5250793.953,-0.4214249,0.2811775,-5.03502
5250794.053,-0.4211005,0.2818262,-5.063889
5250794.153,-0.4217493,0.2815018,-5.087244
5250794.255,-0.4223981,0.2815018,-5.106058
5250794.355,-0.4227224,0.2815018,-5.119033
5250794.453,-0.4217493,0.2811775,-5.127791
5250794.553,-0.4227224,0.2811775,-5.131683
5250794.653,-0.4214249,0.2818262,-5.129737
5250794.754,-0.4207762,0.2815018,-5.12325
5250794.854,-0.4207762,0.2815018,-5.111572
5250794.955,-0.419803,0.2815018,-5.094705
5250795.054,-0.4194787,0.2821506,-5.072972
5250795.153,-0.4201274,0.2818262,-5.046049
5250795.254,-0.4191543,0.2811775,-5.013936
5250795.354,-0.4194787,0.2808531,-4.97793
5250795.455,-0.4191543,0.2808531,-4.936086
5250795.554,-0.419803,0.2811775,-4.889376
5250795.654,-0.4181811,0.2808531,-4.8378
5250795.754,-0.4165593,0.2811775,-4.781035
5250795.854,-0.4152617,0.2811775,-4.720052
5250795.954,-0.4165593,0.2815018,-4.654853
5250796.054,-0.4159105,0.2811775,-4.584788
5250796.154,-0.4159105,0.2815018,-4.510182
5250796.254,-0.4149374,0.2808531,-4.43071
5250796.355,-0.4149374,0.2811775,-4.347021
5250796.455,-0.4152617,0.2811775,-4.259116
5250796.553,-0.4152617,0.2818262,-4.167318
5250796.653,-0.4155861,0.2815018,-4.071627
5250796.754,-0.4152617,0.2818262,-3.971395
5250796.854,-0.4149374,0.2818262,-3.866947
5250796.954,-0.4159105,0.2815018,-3.759254
5250797.054,-0.417208,0.2802043,-3.647345
5250797.154,-0.4165593,0.2808531,-3.532192
5250797.254,-0.4152617,0.2811775,-3.413795
5250797.354,-0.4149374,0.2815018,-3.291505
5250797.455,-0.4142886,0.2815018,-3.166621
5250797.554,-0.4159105,0.2811775,-3.037195
5250797.655,-0.414613,0.2811775,-2.905499
5250797.753,-0.4149374,0.2805287,-2.771207
5250797.854,-0.4159105,0.2802043,-2.633997
5250797.953,-0.4155861,0.2805287,-2.494191
5250798.055,-0.4152617,0.2802043,-2.351465
5250798.155,-0.414613,0.2805287,-2.207118
5250798.254,-0.4149374,0.2808531,-2.0605
5250798.354,-0.4162349,0.2808531,-1.911612
5250798.453,-0.4149374,0.2811775,-1.760777
5250798.554,-0.414613,0.2808531,-1.607671
5250798.654,-0.4129911,0.2811775,-1.455539
5250798.753,-0.4123424,0.2808531,-1.299838
5250798.853,-0.4123424,0.2811775,-1.143488
5250798.953,-0.414613,0.2811775,-0.9842193
5250799.053,-0.4165593,0.2808531,-0.8265721
5250799.153,-0.4165593,0.2808531,-0.6663298
5250799.253,-0.4162349,0.2808531,-0.5064118
5250799.352,-0.414613,0.2811775,-0.345845
5250799.454,-0.412018,0.2811775,-0.1846293
5250799.552,-0.4123424,0.2811775,-0.02471104
5250799.654,-0.4129911,0.2811775,0.1361804
5250799.752,-0.4129911,0.2805287,0.297072
5250799.853,-0.4149374,0.2805287,0.458288
5250799.953,-0.414613,0.2811775,0.618531
5250800.053,-0.4129911,0.2818262,0.7787741
5250800.153,-0.4133155,0.2815018,0.9386929
5250800.254,-0.4133155,0.2815018,1.096666
5250800.354,-0.4136399,0.2815018,1.253665
5250800.453,-0.4159105,0.2811775,1.409367
5250800.554,-0.4162349,0.2811775,1.56507
5250800.655,-0.4168836,0.2821506,1.716555
5250800.753,-0.4175324,0.2818262,1.868041
5250800.854,-0.4175324,0.2818262,2.017256
5250800.955,-0.4162349,0.2818262,2.1642
5250801.053,-0.4165593,0.2821506,2.309198
5250801.154,-0.4162349,0.2815018,2.45225
5250801.254,-0.4155861,0.2818262,2.593032
5250801.354,-0.4155861,0.2818262,2.730245
5250801.453,-0.417208,0.2818262,2.866161
5250801.555,-0.4181811,0.2808531,2.998184
5250801.652,-0.4162349,0.2808531,3.127937
5250801.754,-0.4162349,0.2818262,3.254122
5250801.853,-0.4165593,0.2811775,3.376739
5250801.954,-0.4168836,0.2811775,3.49676
5250802.054,-0.4178568,0.2818262,3.612889
5250802.154,-0.4194787,0.2821506,3.72545
5250802.254,-0.4188299,0.2827994,3.834119
5250802.353,-0.4188299,0.2821506,3.939543
5250802.454,-0.4204518,0.2818262,4.0414
5250802.553,-0.419803,0.2815018,4.138715
5250802.655,-0.4211005,0.2821506,4.231164
5250802.754,-0.4230468,0.2811775,4.320694
5250802.854,-0.4230468,0.2815018,4.406007
5250802.955,-0.4233712,0.2821506,4.486779
5250803.053,-0.4236956,0.2815018,4.56301
5250803.154,-0.4227224,0.2808531,4.635023
5250803.254,-0.4230468,0.2808531,4.702495
5250803.354,-0.4230468,0.2808531,4.766075
5250803.453,-0.4217493,0.2811775,4.822193
5250803.556,-0.4220737,0.2811775,4.874744
5250803.653,-0.4233712,0.2815018,4.923077
5250803.754,-0.4236956,0.2811775,4.96622
5250803.854,-0.4240199,0.2808531,5.004498
5250803.953,-0.4256418,0.2811775,5.038558
5250804.054,-0.4256418,0.2818262,5.067429
5250804.154,-0.4256418,0.2815018,5.090784
5250804.253,-0.4259662,0.2811775,5.109274
5250804.352,-0.4262906,0.2815018,5.122899
5250804.454,-0.4259662,0.2815018,5.131657
5250804.554,-0.4285612,0.2815018,5.135225
5250804.653,-0.4272637,0.2815018,5.132955
5250804.753,-0.4262906,0.2811775,5.126142
5250804.854,-0.4259662,0.2811775,5.11414
