Time	Channel1	Channel2	Channel3
5.606652468E+4	5.768096E-2	1.358561E-1	4.492054E-1
5.606662360E+4	5.281529E-2	1.361804E-1	4.213089E-1
5.606672441E+4	4.794962E-2	1.355317E-1	3.911417E-1
5.606682370E+4	4.211081E-2	1.361804E-1	3.593526E-1
5.606692472E+4	3.627201E-2	1.355317E-1	3.256173E-1
5.606702470E+4	2.978445E-2	1.361804E-1	2.915576E-1
5.606712470E+4	2.329689E-2	1.361804E-1	2.568491E-1
5.606722376E+4	1.616058E-2	1.355317E-1	2.198700E-1
5.606732271E+4	8.375509E-3	1.358561E-1	1.828909E-1
5.606742273E+4	9.148170E-4	1.355317E-1	1.442899E-1
5.606752372E+4	-6.545875E-3	1.361804E-1	1.056889E-1
5.606762269E+4	-1.497970E-2	1.358561E-1	6.676354E-2
5.606772372E+4	-2.276477E-2	1.358561E-1	2.751381E-2
5.606782475E+4	-3.217173E-2	1.361804E-1	-1.141154E-2
5.606792470E+4	-4.190306E-2	1.358561E-1	-5.131002E-2
5.606802275E+4	-5.066127E-2	1.358561E-1	-9.088412E-2
5.606812368E+4	-5.909509E-2	1.361804E-1	-1.298095E-1
5.606822461E+4	-6.785329E-2	1.358561E-1	-1.680860E-1
5.606832364E+4	-7.661149E-2	1.358561E-1	-2.053895E-1
5.606842374E+4	-8.472094E-2	1.358561E-1	-2.426929E-1
5.606852475E+4	-9.347914E-2	1.358561E-1	-2.783744E-1
5.606862475E+4	-1.022373E-1	1.355317E-1	-3.134072E-1
5.606872480E+4	-1.100224E-1	1.358561E-1	-3.468181E-1
5.606882374E+4	-1.171587E-1	1.355317E-1	-3.789315E-1
5.606892465E+4	-1.246194E-1	1.361804E-1	-4.097473E-1
5.606902270E+4	-1.317557E-1	1.358561E-1	-4.389413E-1
5.606912339E+4	-1.382433E-1	1.358561E-1	-4.665134E-1
5.606922424E+4	-1.453796E-1	1.358561E-1	-4.918148E-1
5.606932425E+4	-1.515428E-1	1.355317E-1	-5.154944E-1
5.606942393E+4	-1.570572E-1	1.355317E-1	-5.375520E-1
5.606952370E+4	-1.635447E-1	1.352073E-1	-5.566903E-1
5.606962575E+4	-1.677616E-1	1.358561E-1	-5.742067E-1
5.606972476E+4	-1.729517E-1	1.355317E-1	-5.888036E-1
5.606982471E+4	-1.761955E-1	1.352073E-1	-6.011300E-1
5.606992270E+4	-1.797636E-1	1.355317E-1	-6.115101E-1
5.607002258E+4	-1.830074E-1	1.355317E-1	-6.196195E-1
5.607012362E+4	-1.856024E-1	1.355317E-1	-6.251339E-1
5.607022361E+4	-1.881974E-1	1.361804E-1	-6.277289E-1
5.607032362E+4	-1.894950E-1	1.355317E-1	-6.283777E-1
5.607042268E+4	-1.907925E-1	1.352073E-1	-6.261070E-1
5.607052477E+4	-1.917656E-1	1.355317E-1	-6.218901E-1
5.607062378E+4	-1.911168E-1	1.355317E-1	-6.150782E-1
5.607072369E+4	-1.907925E-1	1.355317E-1	-6.059956E-1
5.607082362E+4	-1.901437E-1	1.355317E-1	-5.939937E-1
5.607092349E+4	-1.881974E-1	1.355317E-1	-5.797211E-1
5.607102256E+4	-1.859268E-1	1.358561E-1	-5.635022E-1
5.607112261E+4	-1.833318E-1	1.348829E-1	-5.450127E-1
5.607122368E+4	-1.800880E-1	1.355317E-1	-5.242526E-1
5.607132365E+4	-1.765198E-1	1.355317E-1	-5.015461E-1
5.607142571E+4	-1.729517E-1	1.352073E-1	-4.765691E-1
5.607152475E+4	-1.687348E-1	1.355317E-1	-4.499701E-1
5.607162472E+4	-1.635447E-1	1.358561E-1	-4.211005E-1
5.607172475E+4	-1.583547E-1	1.358561E-1	-3.912578E-1
5.607182573E+4	-1.525159E-1	1.358561E-1	-3.594688E-1
5.607192271E+4	-1.463527E-1	1.355317E-1	-3.263823E-1
5.607202467E+4	-1.392164E-1	1.358561E-1	-2.900520E-1
5.607213241E+4	-1.330532E-1	1.358561E-1	-2.563168E-1
5.607222425E+4	-1.255925E-1	1.358561E-1	-2.203108E-1
5.607232419E+4	-1.187806E-1	1.355317E-1	-1.820343E-1
5.607242521E+4	-1.119687E-1	1.358561E-1	-1.440821E-1
5.607252579E+4	-1.035349E-1	1.358561E-1	-1.058055E-1
5.607262430E+4	-9.607416E-2	1.352073E-1	-6.688016E-2
5.607272236E+4	-8.764034E-2	1.355317E-1	-2.698168E-2
5.607282438E+4	-7.920652E-2	1.355317E-1	1.194367E-2
5.607292338E+4	-7.012394E-2	1.358561E-1	5.119340E-2
5.607302451E+4	-6.266325E-2	1.358561E-1	9.076751E-2
5.607312340E+4	-5.422942E-2	1.355317E-1	1.293685E-1
5.607322339E+4	-4.579560E-2	1.358561E-1	1.679695E-1
5.607332340E+4	-3.638864E-2	1.361804E-1	2.052730E-1
5.607342342E+4	-2.698168E-2	1.355317E-1	2.429008E-1
5.607352472E+4	-1.854786E-2	1.358561E-1	2.782581E-1
5.607362370E+4	-1.076279E-2	1.358561E-1	3.129665E-1
5.607372270E+4	-2.977718E-3	1.358561E-1	3.467019E-1
5.607382375E+4	4.807352E-3	1.358561E-1	3.784910E-1
5.607392542E+4	1.259242E-2	1.358561E-1	4.093069E-1
5.607402392E+4	1.972874E-2	1.358561E-1	4.388253E-1
5.607412267E+4	2.718943E-2	1.361804E-1	4.657487E-1
5.607422371E+4	3.400137E-2	1.358561E-1	4.910503E-1
5.607432256E+4	3.951579E-2	1.361804E-1	5.150543E-1
5.607442355E+4	4.503022E-2	1.358561E-1	5.361389E-1
5.607452470E+4	4.989589E-2	1.358561E-1	5.556016E-1
5.607462372E+4	5.573469E-2	1.358561E-1	5.731180E-1
5.607472470E+4	5.962722E-2	1.358561E-1	5.877151E-1
5.607482268E+4	6.416852E-2	1.355317E-1	6.010146E-1
5.607492370E+4	6.806105E-2	1.358561E-1	6.117191E-1
5.607502469E+4	7.130483E-2	1.358561E-1	6.188554E-1
5.607512357E+4	7.454861E-2	1.358561E-1	6.246942E-1
5.607522363E+4	7.617050E-2	1.358561E-1	6.272893E-1
5.607532268E+4	7.844115E-2	1.358561E-1	6.279380E-1
5.607542468E+4	7.941428E-2	1.355317E-1	6.259917E-1
5.607552273E+4	8.006304E-2	1.358561E-1	6.214504E-1
5.607562478E+4	8.038742E-2	1.365048E-1	6.143141E-1
5.607572470E+4	7.941428E-2	1.361804E-1	6.052315E-1
5.607582367E+4	7.844115E-2	1.361804E-1	5.932295E-1
5.607592574E+4	7.681926E-2	1.361804E-1	5.792812E-1
5.607602270E+4	7.487299E-2	1.361804E-1	5.624135E-1
5.607612273E+4	7.227797E-2	1.361804E-1	5.442483E-1
5.607622373E+4	6.935856E-2	1.361804E-1	5.238125E-1
5.607632357E+4	6.546603E-2	1.358561E-1	5.004572E-1
5.607642255E+4	6.189787E-2	1.361804E-1	4.758045E-1
5.607652472E+4	5.670782E-2	1.358561E-1	4.492054E-1
5.607662480E+4	5.184215E-2	1.361804E-1	4.209845E-1
5.607672443E+4	4.697648E-2	1.358561E-1	3.908173E-1
5.607682534E+4	4.146206E-2	1.361804E-1	3.593526E-1
5.607692271E+4	3.529888E-2	1.361804E-1	3.262660E-1
5.607702366E+4	2.881132E-2	1.355317E-1	2.918819E-1
5.607712257E+4	2.167500E-2	1.361804E-1	2.562003E-1
5.607722333E+4	1.486307E-2	1.361804E-1	2.195456E-1
5.607732461E+4	6.753619E-3	1.361804E-1	1.825665E-1
5.607742364E+4	-3.826946E-4	1.361804E-1	1.439655E-1
5.607752372E+4	-8.167764E-3	1.361804E-1	1.060133E-1
5.607762475E+4	-1.660159E-2	1.361804E-1	6.676354E-2
5.607772347E+4	-2.438666E-2	1.358561E-1	2.718943E-2
5.607782235E+4	-3.346924E-2	1.358561E-1	-1.173592E-2
5.607792270E+4	-4.255182E-2	1.358561E-1	-5.131002E-2
5.607802270E+4	-5.195878E-2	1.358561E-1	-9.055974E-2
5.607812359E+4	-6.039260E-2	1.358561E-1	-1.298095E-1
5.607822475E+4	-6.850205E-2	1.358561E-1	-1.684104E-1
5.607832355E+4	-7.726025E-2	1.355317E-1	-2.053895E-1
5.607842260E+4	-8.569407E-2	1.358561E-1	-2.430173E-1
5.607852470E+4	-9.380352E-2	1.355317E-1	-2.780501E-1
5.607862255E+4	-1.019130E-1	1.355317E-1	-3.134072E-1
5.607872427E+4	-1.100224E-1	1.358561E-1	-3.468181E-1
5.607882314E+4	-1.174831E-1	1.358561E-1	-3.792558E-1
5.607892458E+4	-1.246194E-1	1.358561E-1	-4.100717E-1
5.607902466E+4	-1.317557E-1	1.361804E-1	-4.392657E-1
5.607912367E+4	-1.388920E-1	1.358561E-1	-4.668378E-1
