Time1;Lock_in;Time2;Potentiometer
0;0.38631814401014708;0;6.3892351636604872
0.01;0.35988777482998557;0.01;6.3898798068112228
0.02;0.3366806214035023;0.02;6.389557485235855
0.03;0.3186306131829042;0.03;6.389557485235855
0.04;0.2686707690008916;0.04;6.3892351636604872
0.05;0.24385200769756921;0.05;6.389557485235855
0.06;0.19582609296776354;0.06;6.3892351636604872
0.07;0.20549574022879824;0.07;6.3902021283865906
0.08;0.26448058852110989;0.08;6.389557485235855
0.09;0.27511720050824806;0.09;6.389557485235855
0.1;0.24481897242367268;0.1;6.389557485235855
0.11;0.26673683954868466;0.11;6.3902021283865906
0.12;0.26480291009647772;0.12;6.3892351636604872
0.13;0.3005806049623061;0.13;6.3905244499619585
0.14;0.26641451797331683;0.14;6.389557485235855
0.15;0.2174216385174077;0.15;6.3898798068112228
0.16;0.26029040804132819;0.16;6.389557485235855
0.17;0.3228207936626859;0.17;6.3898798068112228
0.18;0.32797793886857107;0.18;6.3898798068112228
0.19;0.36246634743292816;0.19;6.3898798068112228
0.2;0.40340118750464171;0.2;6.389557485235855
0.21;0.42016190942376852;0.21;6.3905244499619585
0.22;0.43079852141090669;0.22;6.3892351636604872
0.23;0.44369138442561962;0.23;6.3898798068112228
0.24;0.45013781593297608;0.24;6.3892351636604872
0.25;0.44175745497341268;0.25;6.3905244499619585
0.26;0.4601297847693786;0.26;6.3898798068112228
0.27;0.40920297586126253;0.27;6.3908467715373263
0.28;0.43176548613701016;0.28;6.3898798068112228
0.29;0.43756727449363098;0.29;6.3905244499619585
0.3;0.43402173716458492;0.3;6.3905244499619585
0.31;0.39985565017559566;0.31;6.3902021283865906
0.32;0.37116902996785939;0.32;6.389557485235855
0.33;0.3589208101038821;0.33;6.389557485235855
0.34;0.34312705291085877;0.34;6.3902021283865906
0.35;0.31701900530606508;0.35;6.3902021283865906
0.36;0.29413417345494963;0.36;6.3902021283865906
0.37;0.29703506763326004;0.37;6.3905244499619585
0.38;0.31186186010017991;0.38;6.3898798068112228
0.39;0.27866273783729412;0.39;6.3902021283865906
0.4;0.30863864434650168;0.4;6.3898798068112228
0.41;0.30541542859282345;0.41;6.389557485235855
0.42;0.27221630632993765;0.42;6.3898798068112228
0.43;0.27447255735751241;0.43;6.3902021283865906
0.44;0.23418236043653451;0.44;6.3898798068112228
0.45;0.2216118189971894;0.45;6.3902021283865906
0.46;0.2673814826994203;0.46;6.3898798068112228
0.47;0.3324904409237206;0.47;6.3902021283865906
0.48;0.33442437037592754;0.48;6.3908467715373263
0.49;0.35376366489799693;0.49;6.3902021283865906
0.5;0.33635829982813448;0.5;6.3902021283865906
0.51;0.36891277894028462;0.51;6.3902021283865906
0.52;0.35827616695314646;0.52;6.3902021283865906
0.53;0.33861455085570924;0.53;6.3905244499619585
0.54;0.33732526455423795;0.54;6.3902021283865906
0.55;0.36472259846050292;0.55;6.3902021283865906
0.56;0.36762349263881333;0.56;6.3898798068112228
0.57;0.40984761901199818;0.57;6.3905244499619585
0.58;0.38373957140720449;0.58;6.3902021283865906
0.59;0.38341724983183667;0.59;6.3905244499619585
0.6;0.44304674127488397;0.6;6.3902021283865906
0.61;0.46786550257820636;0.61;6.3902021283865906
0.62;0.4336994155892171;0.62;6.3905244499619585
0.63;0.4198395878484007;0.63;6.3908467715373263
0.64;0.39179761079140007;0.64;6.3908467715373263
0.65;0.35247437859652564;0.65;6.3905244499619585
0.66;0.3144404327031225;0.66;6.3898798068112228
0.67;0.32572168784099631;0.67;6.3908467715373263
0.68;0.32411007996415719;0.68;6.3898798068112228
0.69;0.33925919400644489;0.69;6.3911690931126941
0.7;0.28962167139980011;0.7;6.3905244499619585
0.71;0.27511720050824806;0.71;6.3911690931126941
0.72;0.30219221283914521;0.72;6.3905244499619585
0.73;0.27382791420677677;0.73;6.3908467715373263
