Time1;Lock_in;Time2;Potentiometer
0;0.038855485763633624;0;5.4132454334467184
0.01;0.016292975487885997;0.01;5.4126007902959827
0.02;0.046913525147829205;0.02;5.4132454334467184
0.03;0.037566199462162331;0.03;5.4129231118713506
0.04;0.023706371721345931;0.04;5.413890076597454
0.05;-0.0017570327327121049;0.05;5.4126007902959827
0.06;0.013714402884943411;0.06;5.4135677550220862
0.07;0.038855485763633624;0.07;5.4129231118713506
0.08;0.028218873776495457;0.08;5.4135677550220862
0.09;0.028218873776495457;0.09;5.4129231118713506
0.1;0.0037224340485408902;0.1;5.4142123981728218
0.11;0.02854119535186328;0.11;5.4129231118713506
0.12;0.022417085419874638;0.12;5.4135677550220862
0.13;0.038855485763633624;0.13;5.4129231118713506
0.14;0.029185838502598926;0.14;5.413890076597454
0.15;0.031119767954805866;0.15;5.413890076597454
0.16;0.024995658022817224;0.16;5.4148570413235575
0.17;0.012102795008104295;0.17;5.413890076597454
0.18;0.081401933712186292;0.18;5.4142123981728218
0.19;0.056260850833496079;0.19;5.413890076597454
0.2;0.067219784396002069;0.2;5.4145347197481897
0.21;0.046268881997093558;0.21;5.413890076597454
0.22;0.019193869666196406;0.22;5.4142123981728218
0.23;0.0040447556239087135;0.23;5.4135677550220862
0.24;0.066252819669898599;0.24;5.4145347197481897
0.25;0.042401023092679679;0.25;5.413890076597454
0.26;0.077856396383140236;0.26;5.4145347197481897
0.27;0.066252819669898599;0.27;5.413890076597454
0.28;0.045624238846357912;0.28;5.4142123981728218
0.29;0.020160834392299876;0.29;5.413890076597454
0.3;-0.0001454248558729887;0.3;5.4145347197481897
0.31;0.050136740901507437;0.31;5.4142123981728218
0.32;0.089459973096381873;0.32;5.4151793628989253
0.33;0.049169776175403967;0.33;5.4145347197481897
0.34;0.0066233282268512994;0.34;5.4155016844742931
0.35;0.0079126145283225924;0.35;5.4145347197481897
0.36;0.043367987818783149;0.36;5.415824006049661
0.37;0.039822450489737093;0.37;5.4148570413235575
0.38;0.061417996039381251;0.38;5.4151793628989253
0.39;0.072054608026519418;0.39;5.4142123981728218
0.4;0.07527782378019765;0.4;5.4155016844742931
0.41;0.10074122823425569;0.41;5.4155016844742931
0.42;0.0981626556313131;0.42;5.415824006049661
0.43;0.084302827890496701;0.43;5.4155016844742931
0.44;0.098484977206680924;0.44;5.415824006049661
0.45;0.059161745011806488;0.45;5.4155016844742931
0.46;0.0059786850761156529;0.46;5.4161463276250288
0.47;0.025640301173552871;0.47;5.4148570413235575
0.48;0.011135830282000825;0.48;5.4164686492003966
0.49;0.062707282340852544;0.49;5.4161463276250288
0.5;0.056260850833496079;0.5;5.4164686492003966
0.51;0.051103705627610907;0.51;5.4155016844742931
0.52;0.066897462820634246;0.52;5.4167909707757644
0.53;0.070120678574312478;0.53;5.415824006049661
0.54;0.044979595695622265;0.54;5.4164686492003966
0.55;0.025962622748920694;0.55;5.4164686492003966
0.56;0.074633180629462004;0.56;5.4167909707757644
0.57;0.059484066587174311;0.57;5.4164686492003966
0.58;0.083980506315128878;0.58;5.4171132923511323
0.59;0.081724255287554115;0.59;5.4161463276250288
0.6;0.072054608026519418;0.6;5.4167909707757644
0.61;0.044334952544886619;0.61;5.4164686492003966
0.62;0.054971564532024786;0.62;5.4167909707757644
0.63;0.036276913160691038;0.63;5.4164686492003966
0.64;0.025962622748920694;0.64;5.4167909707757644
0.65;0.023061728570610285;0.65;5.4164686492003966
0.66;-0.00046774643124081194;0.66;5.4167909707757644
0.67;0.010168865555897355;0.67;5.4164686492003966
0.68;0.042078701517311856;0.68;5.4177579355018679
0.69;0.0030777908978052437;0.69;5.4174356139265001
0.7;0.032731375831644982;0.7;5.4174356139265001
0.71;0.026284944324288517;0.71;5.4167909707757644
0.72;0.036599234736058861;0.72;5.4177579355018679
0.73;0.034020662133116275;0.73;5.4171132923511323
0.74;0.040144772065104917;0.74;5.4174356139265001
0.75;0.097195690905209631;0.75;5.4167909707757644
0.76;0.056905493984231725;0.76;5.4174356139265001
0.77;0.060128709737909958;0.77;5.4171132923511323
0.78;0.079790325835347176;0.78;5.4177579355018679
0.79;0.049492097750771791;0.79;5.4177579355018679
0.8;0.036276913160691038;0.8;5.4177579355018679
0.81;0.053037635079817846;0.81;5.4171132923511323
0.82;0.068186749122105539;0.82;5.4180802570772357
0.83;0.037888521037530154;0.83;5.4174356139265001
0.84;0.056583172408863902;0.84;5.4184025786526036
0.85;0.026929587475024164;0.85;5.4174356139265001
0.86;-0.0027239974588155746;0.86;5.4184025786526036
0.87;0.014036724460311234;0.87;5.4180802570772357
0.88;-0.0017570327327121049;0.88;5.4184025786526036
0.89;0.025317979598185048;0.89;5.4177579355018679
0.9;0.024028693296713755;0.9;5.4190472218033392
0.91;0.031119767954805866;0.91;5.4180802570772357
0.92;0.037888521037530154;0.92;5.4190472218033392
0.93;0.019516191241564229;0.93;5.4177579355018679
0.94;0.04046709364047274;0.94;5.4187249002279714
0.95;0.052070670353714377;0.95;5.4190472218033392
0.96;0.0043670771992765367;0.96;5.4190472218033392
0.97;0.0092019008297938854;0.97;5.4187249002279714
0.98;0.04143405836657621;0.98;5.4190472218033392
0.99;0.036921556311426684;0.99;5.419369543378707
1;0.014359046035679057;1;5.419369543378707
1.01;0.038855485763633624;1.01;5.4187249002279714
1.02;0.049492097750771791;1.02;5.419369543378707
1.03;0.059161745011806488;1.03;5.4190472218033392
1.04;0.044012630969518796;1.04;5.4200141865294427
1.05;0.0017885045963339508;1.05;5.4190472218033392
1.06;0.072376929601887241;1.06;5.4196918649540748
1.07;0.049169776175403967;1.07;5.419369543378707
1.08;0.019193869666196406;1.08;5.419369543378707
1.09;0.01758226178935729;1.09;5.419369543378707
1.1;0.02660726589965634;1.1;5.419369543378707
1.11;0.024351014872081578;1.11;5.4190472218033392
1.12;0.083013541589025408;1.12;5.4200141865294427
1.13;0.057227815559599549;1.13;5.4190472218033392
1.14;0.053037635079817846;1.14;5.4200141865294427
1.15;0.057872458710335195;1.15;5.4190472218033392
1.16;0.11782427172875032;1.16;5.4203365081048105
1.17;0.036921556311426684;1.17;5.4190472218033392
1.18;0.021127799118403345;1.18;5.4200141865294427
1.19;0.0027554693224374205;1.19;5.419369543378707
1.2;0.037243877886794508;1.2;5.4196918649540748
1.21;0.0098465439805295318;1.21;5.4200141865294427
1.22;0.037566199462162331;1.22;5.4200141865294427
1.23;0.019516191241564229;1.23;5.4200141865294427
1.24;0.037566199462162331;1.24;5.4206588296801783
1.25;0.01468136761104688;1.25;5.4200141865294427
1.26;0.023384050145978108;1.26;5.421303472830914
1.27;0.0069456498022191226;1.27;5.4196918649540748
1.28;0.042078701517311856;1.28;5.4209811512555461
1.29;0.029185838502598926;1.29;5.4200141865294427
1.3;0.012102795008104295;1.3;5.4209811512555461
1.31;0.044334952544886619;1.31;5.4196918649540748
1.32;0.031442089530173689;1.32;5.4206588296801783
1.33;0.00049921829486265779;1.33;5.4200141865294427
1.34;0.023061728570610285;1.34;5.421303472830914
1.35;0.02757423062575981;1.35;5.4203365081048105
1.36;0.030797446379438043;1.36;5.421303472830914
1.37;0.042723344668047503;1.37;5.4209811512555461
1.38;0.035309948434587568;1.38;5.421303472830914
1.39;0.016937618638621643;1.39;5.4203365081048105
1.4;0.021127799118403345;1.4;5.421303472830914
1.41;0.042401023092679679;1.41;5.4206588296801783
1.42;0.045624238846357912;1.42;5.421303472830914
1.43;0.041756379941944033;1.43;5.4206588296801783
