Time1;Lock_in;Time2;Potentiometer
0;-0.0017570327327121049;0;4.8343558840861078
0.01;0.011135830282000825;0.01;4.83403356251074
0.02;0.012102795008104295;0.02;4.8343558840861078
0.03;-0.0001454248558729887;0.03;4.8343558840861078
0.04;0.0043670771992765367;0.04;4.8350005272368435
0.05;0.010491187131265178;0.05;4.8350005272368435
0.06;0.0050117203500121832;0.06;4.8346782056614757
0.07;-0.0017570327327121049;0.07;4.8350005272368435
0.08;0.012747438158839941;0.08;4.8350005272368435
0.09;0.011780473432736471;0.09;4.8356451703875791
0.1;-0.0001454248558729887;0.1;4.8346782056614757
0.11;0.0063010066514834762;0.11;4.8350005272368435
0.12;0.011458151857368648;0.12;4.8353228488122113
0.13;0.0037224340485408902;0.13;4.8350005272368435
0.14;-0.00046774643124081194;0.14;4.8353228488122113
0.15;0.012102795008104295;0.15;4.835967491962947
0.16;0.010491187131265178;0.16;4.8362898135383148
0.17;-0.00079006800660863519;0.17;4.835967491962947
0.18;0.0082349361036904156;0.18;4.8362898135383148
0.19;0.011780473432736471;0.19;4.8356451703875791
0.2;0.003400112473173067;0.2;4.8369344566890504
0.21;0.00017689671949483454;0.21;4.8356451703875791
0.22;0.011780473432736471;0.22;4.8356451703875791
0.23;0.0079126145283225924;0.23;4.8362898135383148
0.24;-0.0020793543080799282;0.24;4.8362898135383148
0.25;0.0082349361036904156;0.25;4.8366121351136826
0.26;0.012747438158839941;0.26;4.8366121351136826
0.27;0.0014661830209661275;0.27;4.8372567782644182
0.28;0.0017885045963339508;0.28;4.8385460645658895
0.29;0.010813508706633002;0.29;4.8372567782644182
0.3;0.0066233282268512994;0.3;4.8372567782644182
0.31;-0.0017570327327121049;0.31;4.8372567782644182
0.32;0.011458151857368648;0.32;4.8375790998397861
0.33;0.012425116583472118;0.33;4.8375790998397861
0.34;0.0014661830209661275;0.34;4.8379014214151539
0.35;0.0024331477470695972;0.35;4.8375790998397861
0.36;0.011135830282000825;0.36;4.8385460645658895
0.37;0.0063010066514834762;0.37;4.8385460645658895
0.38;-0.0017570327327121049;0.38;4.8379014214151539
0.39;0.012102795008104295;0.39;4.8391907077166252
0.4;0.012425116583472118;0.4;4.8382237429905217
0.41;-0.0001454248558729887;0.41;4.839513029291993
0.42;0.0056563635007478297;0.42;4.8385460645658895
0.43;0.012102795008104295;0.43;4.8385460645658895
0.44;0.0050117203500121832;0.44;4.839513029291993
0.45;-0.0014347111573442817;0.45;4.8391907077166252
0.46;0.012747438158839941;0.46;4.8385460645658895
0.47;0.011135830282000825;0.47;4.8398353508673608
0.48;-0.0014347111573442817;0.48;4.8391907077166252
0.49;0.0072679713775869459;0.49;4.839513029291993
0.5;0.011135830282000825;0.5;4.8398353508673608
0.51;0.0024331477470695972;0.51;4.8401576724427287
0.52;0.00017689671949483454;0.52;4.8401576724427287
0.53;0.012425116583472118;0.53;4.8398353508673608
0.54;0.0085572576790582389;0.54;4.8401576724427287
0.55;-0.0017570327327121049;0.55;4.8404799940180965
0.56;0.0098465439805295318;0.56;4.8404799940180965
0.57;0.011780473432736471;0.57;4.8408023155934643
0.58;0.0017885045963339508;0.58;4.8401576724427287
0.59;0.0011438614455983043;0.59;4.8401576724427287
0.6;0.011780473432736471;0.6;4.8401576724427287
0.61;0.0079126145283225924;0.61;4.8401576724427287
0.62;-0.0020793543080799282;0.62;4.8408023155934643
0.63;0.010491187131265178;0.63;4.8408023155934643
0.64;0.012102795008104295;0.64;4.8404799940180965
0.65;0.00082153987023048103;0.65;4.8408023155934643
0.66;0.0024331477470695972;0.66;4.8404799940180965
0.67;0.011135830282000825;0.67;4.8404799940180965
0.68;0.0053340419253800064;0.68;4.8408023155934643
0.69;-0.0020793543080799282;0.69;4.8411246371688321
0.7;0.011780473432736471;0.7;4.8411246371688321
0.71;0.011458151857368648;0.71;4.8414469587441999
0.72;-0.00079006800660863519;0.72;4.8411246371688321
0.73;0.0050117203500121832;0.73;4.8414469587441999
0.74;0.011135830282000825;0.74;4.8417692803195678
0.75;0.0037224340485408902;0.75;4.8427362450456712
0.76;-0.0020793543080799282;0.76;4.8420916018949356
0.77;0.012425116583472118;0.77;4.8417692803195678
0.78;0.011135830282000825;0.78;4.8420916018949356
0.79;-0.0017570327327121049;0.79;4.8420916018949356
0.8;0.0063010066514834762;0.8;4.8430585666210391
0.81;0.010813508706633002;0.81;4.8424139234703034
0.82;0.0037224340485408902;0.82;4.8427362450456712
0.83;-0.0011123895819764584;0.83;4.8427362450456712
0.84;0.013069759734207764;0.84;4.8430585666210391
0.85;0.0092019008297938854;0.85;4.8437032097717747
0.86;-0.0020793543080799282;0.86;4.8437032097717747
0.87;0.0082349361036904156;0.87;4.8430585666210391
0.88;0.011458151857368648;0.88;4.8430585666210391
0.89;0.002110826171701774;0.89;4.8433808881964069
0.9;0.0011438614455983043;0.9;4.8437032097717747
0.91;0.011780473432736471;0.91;4.8430585666210391
0.92;0.0079126145283225924;0.92;4.8433808881964069
0.93;-0.0017570327327121049;0.93;4.8440255313471425
0.94;0.010168865555897355;0.94;4.8443478529225104
0.95;0.012425116583472118;0.95;4.8443478529225104
0.96;0.00082153987023048103;0.96;4.8437032097717747
0.97;0.0030777908978052437;0.97;4.8443478529225104
0.98;0.010813508706633002;0.98;4.8437032097717747
0.99;0.0059786850761156529;0.99;4.8446701744978782
1;-0.0017570327327121049;1;4.8443478529225104
1.01;0.012102795008104295;1.01;4.8443478529225104
1.02;0.012102795008104295;1.02;4.8446701744978782
1.03;-0.0001454248558729887;1.03;4.844992496073246
1.04;0.0050117203500121832;1.04;4.8446701744978782
1.05;0.010491187131265178;1.05;4.844992496073246
1.06;0.0050117203500121832;1.06;4.844992496073246
1.07;-0.0017570327327121049;1.07;4.8453148176486138
1.08;0.013714402884943411;1.08;4.8453148176486138
1.09;0.011458151857368648;1.09;4.8456371392239816
1.1;-0.00079006800660863519;1.1;4.8459594607993495
1.11;0.0066233282268512994;1.11;4.8456371392239816
1.12;0.012102795008104295;1.12;4.8459594607993495
1.13;0.003400112473173067;1.13;4.8459594607993495
1.14;0.00049921829486265779;1.14;4.8459594607993495
1.15;0.012102795008104295;1.15;4.8462817823747173
1.16;0.0098465439805295318;1.16;4.8456371392239816
1.17;-0.0014347111573442817;1.17;4.8466041039500851
1.18;0.0092019008297938854;1.18;4.8459594607993495
1.19;0.011780473432736471;1.19;4.8459594607993495
1.2;0.002110826171701774;1.2;4.8469264255254529
1.21;0.00082153987023048103;1.21;4.8462817823747173
1.22;0.012102795008104295;1.22;4.8469264255254529
1.23;0.0079126145283225924;1.23;4.8472487471008208
1.24;-0.0020793543080799282;1.24;4.8466041039500851
1.25;0.0095242224051617086;1.25;4.8472487471008208
1.26;0.013069759734207764;1.26;4.8475710686761886
1.27;0.0017885045963339508;1.27;4.8472487471008208
1.28;0.0024331477470695972;1.28;4.8482157118269242
1.29;0.011458151857368648;1.29;4.8472487471008208
1.3;0.0063010066514834762;1.3;4.8475710686761886
1.31;-0.0020793543080799282;1.31;4.8488603549776599
1.32;0.011780473432736471;1.32;4.8475710686761886
1.33;0.012747438158839941;1.33;4.8475710686761886
1.34;0.00049921829486265779;1.34;4.8482157118269242
1.35;0.0040447556239087135;1.35;4.8482157118269242
1.36;0.012102795008104295;1.36;4.8485380334022921
1.37;0.0050117203500121832;1.37;4.8485380334022921
1.38;-0.0017570327327121049;1.38;4.8482157118269242
1.39;0.012747438158839941;1.39;4.8498273197037634
1.4;0.011780473432736471;1.4;4.8485380334022921
1.41;-0.0011123895819764584;1.41;4.8491826765530277
1.42;0.0063010066514834762;1.42;4.8491826765530277
1.43;0.011780473432736471;1.43;4.8485380334022921
1.44;0.0037224340485408902;1.44;4.8491826765530277
1.45;-0.0020793543080799282;1.45;4.8495049981283955
1.46;0.012747438158839941;1.46;4.8488603549776599
1.47;0.0092019008297938854;1.47;4.8495049981283955
1.48;-0.0017570327327121049;1.48;4.8501496412791312
1.49;0.0075902929529547691;1.49;4.8495049981283955
1.5;0.011780473432736471;1.5;4.8501496412791312
1.51;0.0030777908978052437;1.51;4.8501496412791312
1.52;0.0011438614455983043;1.52;4.850471962854499
1.53;0.012102795008104295;1.53;4.8498273197037634
1.54;0.0088795792544260621;1.54;4.8498273197037634
1.55;-0.0017570327327121049;1.55;4.8498273197037634
1.56;0.010168865555897355;1.56;4.8507942844298668
1.57;0.012425116583472118;1.57;4.8507942844298668
1.58;0.0014661830209661275;1.58;4.850471962854499
1.59;0.0017885045963339508;1.59;4.8501496412791312
1.6;0.011135830282000825;1.6;4.8507942844298668
1.61;0.0066233282268512994;1.61;4.8501496412791312
1.62;-0.0020793543080799282;1.62;4.8511166060052346
1.63;0.011135830282000825;1.63;4.8511166060052346
1.64;0.012747438158839941;1.64;4.8514389275806025
1.65;0.00049921829486265779;1.65;4.8517612491559703
1.66;0.0050117203500121832;1.66;4.8511166060052346
1.67;0.011135830282000825;1.67;4.8514389275806025
1.68;0.0056563635007478297;1.68;4.8514389275806025
1.69;-0.0017570327327121049;1.69;4.8520835707313381
1.7;0.013069759734207764;1.7;4.8517612491559703
1.71;0.012102795008104295;1.71;4.8520835707313381
1.72;-0.00046774643124081194;1.72;4.8527282138820738
1.73;0.0050117203500121832;1.73;4.8530505354574416
1.74;0.011458151857368648;1.74;4.8530505354574416
