Time1;Lock_in;Time2;Potentiometer
0;0.0088795792544260621;0;5.4548249166691676
0.01;0.0024331477470695972;0.01;5.4541802735184319
0.02;0.002110826171701774;0.02;5.4551472382445354
0.03;0.0075902929529547691;0.03;5.4541802735184319
0.04;0.0075902929529547691;0.04;5.4548249166691676
0.05;0.0024331477470695972;0.05;5.4554695598199032
0.06;0.0037224340485408902;0.06;5.4554695598199032
0.07;0.0082349361036904156;0.07;5.4548249166691676
0.08;0.0050117203500121832;0.08;5.455791881395271
0.09;0.00082153987023048103;0.09;5.4561142029706389
0.1;0.0053340419253800064;0.1;5.4564365245460067
0.11;0.0069456498022191226;0.11;5.4564365245460067
0.12;0.0027554693224374205;0.12;5.4554695598199032
0.13;0.0014661830209661275;0.13;5.4564365245460067
0.14;0.0063010066514834762;0.14;5.4564365245460067
0.15;0.0072679713775869459;0.15;5.4564365245460067
0.16;0.0017885045963339508;0.16;5.4564365245460067
0.17;0.0027554693224374205;0.17;5.4570811676967423
0.18;0.0075902929529547691;0.18;5.4580481324228458
0.19;0.0053340419253800064;0.19;5.4567588461213745
0.2;0.0024331477470695972;0.2;5.4570811676967423
0.21;0.0043670771992765367;0.21;5.4570811676967423
0.22;0.0075902929529547691;0.22;5.4580481324228458
0.23;0.0040447556239087135;0.23;5.4580481324228458
0.24;0.0011438614455983043;0.24;5.4570811676967423
0.25;0.0063010066514834762;0.25;5.4570811676967423
0.26;0.0069456498022191226;0.26;5.457725810847478
0.27;0.0030777908978052437;0.27;5.4580481324228458
0.28;0.0014661830209661275;0.28;5.457725810847478
0.29;0.0075902929529547691;0.29;5.4583704539982136
0.3;0.0072679713775869459;0.3;5.4580481324228458
0.31;0.0017885045963339508;0.31;5.4580481324228458
0.32;0.0043670771992765367;0.32;5.4583704539982136
0.33;0.0075902929529547691;0.33;5.4583704539982136
0.34;0.0056563635007478297;0.34;5.4583704539982136
0.35;0.0017885045963339508;0.35;5.4580481324228458
0.36;0.0056563635007478297;0.36;5.4583704539982136
0.37;0.0072679713775869459;0.37;5.4586927755735815
0.38;0.003400112473173067;0.38;5.4574034892721102
0.39;0.0024331477470695972;0.39;5.4586927755735815
0.4;0.0069456498022191226;0.4;5.4583704539982136
0.41;0.0075902929529547691;0.41;5.4593374187243171
0.42;0.0017885045963339508;0.42;5.4586927755735815
0.43;0.003400112473173067;0.43;5.4596597402996849
0.44;0.0066233282268512994;0.44;5.4593374187243171
0.45;0.0050117203500121832;0.45;5.4596597402996849
0.46;-0.0001454248558729887;0.46;5.4603043834504206
0.47;0.0040447556239087135;0.47;5.4599820618750528
0.48;0.0056563635007478297;0.48;5.4599820618750528
0.49;0.0024331477470695972;0.49;5.4599820618750528
0.5;0.0011438614455983043;0.5;5.4603043834504206
0.51;0.0069456498022191226;0.51;5.4586927755735815
0.52;0.0079126145283225924;0.52;5.4603043834504206
0.53;0.0024331477470695972;0.53;5.4599820618750528
0.54;0.0027554693224374205;0.54;5.4596597402996849
0.55;0.0075902929529547691;0.55;5.4599820618750528
0.56;0.0063010066514834762;0.56;5.4606267050257884
0.57;0.0014661830209661275;0.57;5.4606267050257884
0.58;0.0043670771992765367;0.58;5.4606267050257884
0.59;0.0075902929529547691;0.59;5.4609490266011562
