Time1;Lock_in;Time2;Potentiometer
0;4.7560317412717268;0;5.7703777389542665
0.01;4.7698915690125432;0.01;5.77134470368037
0.02;4.812115695385728;0.02;5.7707000605296344
0.03;4.7924540792882908;0.03;5.7707000605296344
0.04;4.8079255149059463;0.04;5.7707000605296344
0.05;4.8269424878526479;0.05;5.77134470368037
0.06;4.825008558400441;0.06;5.77134470368037
0.07;4.8401576724427287;0.07;5.7710223821050022
0.08;4.8598192885401659;0.08;5.77134470368037
0.09;4.8562737512111198;0.09;5.77134470368037
0.1;4.8756130457331892;0.1;5.7707000605296344
0.11;4.8930184108030517;0.11;5.7716670252557378
0.12;4.8917291245015804;0.12;5.77134470368037
0.13;4.9059112738177646;0.13;5.77134470368037
0.14;4.9210603878600523;0.14;5.7710223821050022
0.15;4.9130023484758567;0.15;5.7719893468311056
0.16;4.9455568275880069;0.16;5.77134470368037
0.17;4.9455568275880069;0.17;5.7716670252557378
0.18;4.9339532508747652;0.18;5.77134470368037
0.19;4.9610282632056624;0.19;5.77134470368037
0.2;4.9549041532736737;0.2;5.77134470368037
0.21;4.9462014707387425;0.21;5.7723116684064735
0.22;4.9829461303306744;0.22;5.7716670252557378
0.23;4.9819791656045709;0.23;5.7726339899818413
0.24;4.969086302589858;0.24;5.7716670252557378
0.25;5.0029300680034794;0.25;5.7723116684064735
0.26;5.003574711154215;0.26;5.7716670252557378
0.27;4.9884255971119273;0.27;5.7716670252557378
0.28;5.0251702567038592;0.28;5.7716670252557378
0.29;5.0077648916339967;0.29;5.7719893468311056
0.3;5.005508640606422;0.3;5.7719893468311056
0.31;5.0387077628693078;0.31;5.7726339899818413
0.32;5.0358068686909974;0.32;5.7716670252557378
0.33;5.0180791820457671;0.33;5.7726339899818413
0.34;5.0654604536248371;0.34;5.7723116684064735
0.35;5.0551461632130668;0.35;5.7723116684064735
0.36;5.0383854412939399;0.36;5.7719893468311056
0.37;5.0809318892424926;0.37;5.7723116684064735
0.38;5.0702952772553544;0.38;5.7726339899818413
0.39;5.0516006258840207;0.39;5.7729563115572091
0.4;5.0993042190384585;0.4;5.7719893468311056
0.41;5.0825434971193317;0.41;5.7726339899818413
0.42;5.0780309950641822;0.42;5.7726339899818413
0.43;5.1067176152719185;0.43;5.7729563115572091
0.44;5.0957586817094125;0.44;5.7719893468311056
0.45;5.0825434971193317;0.45;5.7723116684064735
0.46;5.1202551214373671;0.46;5.7723116684064735
0.47;5.1086515447241254;0.47;5.7729563115572091
0.48;5.0976926111616194;0.48;5.7723116684064735
0.49;5.1302470902737696;0.49;5.7726339899818413
0.5;5.1173542272590566;0.5;5.7723116684064735
0.51;5.1060729721211828;0.51;5.7729563115572091
0.52;5.1354042354796547;0.52;5.7729563115572091
0.53;5.127668517670827;0.53;5.7729563115572091
0.54;5.1247676234925166;0.54;5.7729563115572091
0.55;5.1418506669870112;0.55;5.7732786331325769
0.56;5.1296024471230339;0.56;5.7729563115572091
0.57;5.1228336940403096;0.57;5.7729563115572091
0.58;5.1376604865072295;0.58;5.7726339899818413
0.59;5.127668517670827;0.59;5.7732786331325769
0.6;5.1267015529447235;0.6;5.7729563115572091
0.61;5.1354042354796547;0.61;5.7732786331325769
0.62;5.1260569097939879;0.62;5.7732786331325769
0.63;5.1260569097939879;0.63;5.7732786331325769
0.64;5.1383051296579652;0.64;5.7729563115572091
0.65;5.1270238745200913;0.65;5.7732786331325769
0.66;5.136693521781126;0.66;5.7732786331325769
0.67;5.1328256628767122;0.67;5.7736009547079448
0.68;5.1192881567112636;0.68;5.7732786331325769
0.69;5.136693521781126;0.69;5.7736009547079448
0.7;5.1389497728087008;0.7;5.7736009547079448
0.71;5.1270238745200913;0.71;5.7732786331325769
0.72;5.1482970984943677;0.72;5.7732786331325769
0.73;5.1360488786303904;0.73;5.7736009547079448
0.74;5.1254122666432522;0.74;5.7732786331325769
0.75;5.1453962043160573;0.75;5.7739232762833126
0.76;5.1373381649318617;0.76;5.7732786331325769
0.77;5.1141310115053784;0.77;5.7739232762833126
0.78;5.1595783536322415;0.78;5.7736009547079448
0.79;5.1321810197259765;0.79;5.7729563115572091
0.8;5.1092961878748611;0.8;5.7736009547079448
0.81;5.1457185258914251;0.81;5.7736009547079448
0.82;5.1373381649318617;0.82;5.7736009547079448
0.83;5.1170319056836888;0.83;5.7739232762833126
0.84;5.1669917498657014;0.84;5.7732786331325769
0.85;5.1544212084263563;0.85;5.7742455978586804
0.86;5.1344372707535513;0.86;5.7736009547079448
0.87;5.1702149656193797;0.87;5.7739232762833126
0.88;5.164090855687391;0.88;5.7739232762833126
0.89;5.1337926276028156;0.89;5.7742455978586804
0.9;5.1737605029484257;0.9;5.7739232762833126
0.91;5.1618346046598163;0.91;5.7742455978586804
0.92;5.1302470902737696;0.92;5.7742455978586804
0.93;5.1657024635642301;0.93;5.7745679194340482
0.94;5.1540988868509885;0.94;5.7745679194340482
0.95;5.1392720943840686;0.95;5.7742455978586804
0.96;5.1808515776065178;0.96;5.7736009547079448
0.97;5.1782730050035752;0.97;5.7745679194340482
0.98;5.1482970984943677;0.98;5.7742455978586804
0.99;5.1824631854833569;0.99;5.7745679194340482
1;5.1879426522646099;1;5.7742455978586804
1.01;5.1557104947278276;1.01;5.7745679194340482
1.02;5.186008722812403;1.02;5.7742455978586804
1.03;5.1831078286340926;1.03;5.7752125625847839
1.04;5.1589337104815058;1.04;5.7742455978586804
1.05;5.1866533659631386;1.05;5.7745679194340482
1.06;5.1985792642517481;1.06;5.7745679194340482
1.07;5.1747274676745292;1.07;5.7758572057355195
1.08;5.2014801584300585;1.08;5.7745679194340482
1.09;5.202447123156162;1.09;5.7752125625847839
1.1;5.1782730050035752;1.1;5.7745679194340482
1.11;5.1982569426763803;1.11;5.7761795273108874
1.12;5.2072819467866793;1.12;5.7745679194340482
1.13;5.1956783700734377;1.13;5.7752125625847839
1.14;5.2088935546635184;1.14;5.7748902410094161
1.15;5.2050256957591046;1.15;5.7755348841601517
1.16;5.1963230132241733;1.16;5.7748902410094161
1.17;5.2021248015807942;1.17;5.7755348841601517
1.18;5.2069596252113115;1.18;5.7748902410094161
1.19;5.2092158762388863;1.19;5.7755348841601517
1.2;5.2163069508969784;1.2;5.7748902410094161
1.21;5.2076042683620472;1.21;5.7755348841601517
1.22;5.2066373036359437;1.22;5.7752125625847839
1.23;5.2027694447315298;1.23;5.7742455978586804
1.24;5.196967656374909;1.24;5.7752125625847839
1.25;5.2047033741837367;1.25;5.7752125625847839
1.26;5.2105051625403576;1.26;5.7748902410094161
1.27;5.186008722812403;1.27;5.7755348841601517
1.28;5.2053480173344724;1.28;5.7752125625847839
1.29;5.1866533659631386;1.29;5.7755348841601517
1.3;5.1831078286340926;1.3;5.7752125625847839
1.31;5.2117944488418289;1.31;5.7755348841601517
1.32;5.2043810526083689;1.32;5.7752125625847839
1.33;5.1869756875385065;1.33;5.7758572057355195
1.34;5.211472127266461;1.34;5.7748902410094161
1.35;5.1985792642517481;1.35;5.7761795273108874
1.36;5.1763390755513683;1.36;5.7755348841601517
1.37;5.2069596252113115;1.37;5.7794027430645656
1.38;5.1953560484980699;1.38;5.7752125625847839
1.39;5.1698926440440118;1.39;5.7761795273108874
1.4;5.2001908721285872;1.4;5.7755348841601517
1.41;5.1908435464429203;1.41;5.7761795273108874
1.42;5.1621569262351841;1.42;5.7755348841601517
1.43;5.1924551543197595;1.43;5.7765018488862552
1.44;5.1927774758951273;1.44;5.7755348841601517
1.45;5.1582890673307702;1.45;5.7765018488862552
1.46;5.1908435464429203;1.46;5.7758572057355195
1.47;5.1924551543197595;1.47;5.7761795273108874
1.48;5.158611388906138;1.48;5.7758572057355195
1.49;5.1879426522646099;1.49;5.7765018488862552
1.5;5.1956783700734377;1.5;5.7755348841601517
1.51;5.1528096005495172;1.51;5.7765018488862552
1.52;5.1840747933601961;1.52;5.7758572057355195
1.53;5.1850417580862995;1.53;5.7765018488862552
1.54;5.1592560320568737;1.54;5.7761795273108874
1.55;5.1737605029484257;1.55;5.7761795273108874
1.56;5.1943890837719664;1.56;5.7761795273108874
1.57;5.1544212084263563;1.57;5.7771464920369908
1.58;5.175049789249897;1.58;5.7765018488862552
1.59;5.1898765817168169;1.59;5.7771464920369908
1.6;5.1631238909612875;1.6;5.7765018488862552
1.61;5.1818185423326213;1.61;5.776824170461623
1.62;5.1943890837719664;1.62;5.776824170461623
1.63;5.1692480008932762;1.63;5.776824170461623
