Time1;Lock_in;Time2;Potentiometer
0;0.012425116583472118;0;5.3297641454264522
0.01;0.0063010066514834762;0.01;5.3294418238510843
0.02;0.0056563635007478297;0.02;5.33008646700182
0.03;0.012102795008104295;0.03;5.3297641454264522
0.04;0.010491187131265178;0.04;5.33008646700182
0.05;0.0053340419253800064;0.05;5.3307311101525556
0.06;0.0092019008297938854;0.06;5.3323427180293947
0.07;0.012425116583472118;0.07;5.3297641454264522
0.08;0.0095242224051617086;0.08;5.3310534317279235
0.09;0.0059786850761156529;0.09;5.3310534317279235
0.1;0.010168865555897355;0.1;5.3310534317279235
0.11;0.011780473432736471;0.11;5.3310534317279235
0.12;0.0069456498022191226;0.12;5.3316980748786591
0.13;0.0069456498022191226;0.13;5.3307311101525556
0.14;0.012747438158839941;0.14;5.3316980748786591
0.15;0.012747438158839941;0.15;5.3313757533032913
0.16;0.0063010066514834762;0.16;5.3313757533032913
0.17;0.0088795792544260621;0.17;5.3320203964540269
0.18;0.014359046035679057;0.18;5.3320203964540269
0.19;0.012102795008104295;0.19;5.3320203964540269
0.2;0.0063010066514834762;0.2;5.3320203964540269
0.21;0.010491187131265178;0.21;5.3316980748786591
0.22;0.012747438158839941;0.22;5.3329873611801304
0.23;0.0079126145283225924;0.23;5.3323427180293947
0.24;0.0063010066514834762;0.24;5.3329873611801304
0.25;0.012747438158839941;0.25;5.3326650396047626
0.26;0.011780473432736471;0.26;5.333632004330866
0.27;0.0053340419253800064;0.27;5.3326650396047626
0.28;0.0069456498022191226;0.28;5.333632004330866
0.29;0.012425116583472118;0.29;5.3323427180293947
0.3;0.0098465439805295318;0.3;5.333632004330866
0.31;0.0040447556239087135;0.31;5.3342766474816017
0.32;0.0095242224051617086;0.32;5.3339543259062339
0.33;0.012747438158839941;0.33;5.3333096827554982
0.34;0.010168865555897355;0.34;5.3339543259062339
0.35;0.0072679713775869459;0.35;5.3333096827554982
0.36;0.012425116583472118;0.36;5.3345989690569695
0.37;0.013392081309575588;0.37;5.3345989690569695
0.38;0.0079126145283225924;0.38;5.333632004330866
0.39;0.0085572576790582389;0.39;5.3345989690569695
0.4;0.014036724460311234;0.4;5.3352436122077052
0.41;0.012747438158839941;0.41;5.3342766474816017
0.42;0.0066233282268512994;0.42;5.3342766474816017
0.43;0.0098465439805295318;0.43;5.335565933783073
0.44;0.014359046035679057;0.44;5.3349212906323373
0.45;0.010491187131265178;0.45;5.3349212906323373
0.46;0.0066233282268512994;0.46;5.3358882553584408
